acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Aulacorhynchus haematopygus (Gould, 1835)",4056,SPECIES,ACCEPTED,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,LC,Aulacorhynchus haematopygus,"(Gould, 1835)",Crimson-rumped Toucanet,"Aulacorhynchus haematopygus sexnotatus, 0.002967359050445104"
"Eubucco bourcierii (Lafresnaye, 1845)",6338,SPECIES,ACCEPTED,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,LC,Eubucco bourcierii,"(Lafresnaye, 1845)",Red-headed Barbet,"Eubucco bourcierii aequatorialis, 0.0006315124723713293"
"Capito squamatus Salvin, 1876",24,SPECIES,ACCEPTED,Capito,2479028.0,Capito squamatus,2479030.0,LC,Capito squamatus,"Salvin, 1876",Orange-fronted Barbet,
"Semnornis ramphastinus (Jardine, 1855)",987,SPECIES,ACCEPTED,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,NT,Semnornis ramphastinus,"(Jardine, 1855)",Toucan Barbet,"Semnornis ramphastinus ramphastinus, 0.0061162079510703364"
"Nothocercus julius (Bonaparte, 1854)",10,SPECIES,ACCEPTED,Nothocercus,2477468.0,Nothocercus julius,2477472.0,LC,Nothocercus julius,"(Bonaparte, 1854)",Tawny-breasted Tinamou,
"Crypturellus soui (Hermann, 1783)",64,SPECIES,ACCEPTED,Crypturellus,2477492.0,Crypturellus soui,2477507.0,LC,Crypturellus soui,"(Hermann, 1783)",Little Tinamou,
"Cyanolyca pulchra (Lawrence, 1876)",21,SPECIES,ACCEPTED,Cyanolyca,2482541.0,Cyanolyca pulchra,2482546.0,NT,Cyanolyca pulchra,"(Lawrence, 1876)",Beautiful Jay,
"Cyanolyca turcosa (Bonaparte, 1853)",85,SPECIES,ACCEPTED,Cyanolyca,2482541.0,Cyanolyca turcosa,2482549.0,LC,Cyanolyca turcosa,"(Bonaparte, 1853)",Turquoise Jay,
"Cyanolyca viridicyanus (Orbigny & Lafresnaye, 1838)",2,SPECIES,ACCEPTED,Cyanolyca,2482541.0,Cyanolyca viridicyanus,7342105.0,NT,Cyanolyca viridicyanus,"(Orbigny & Lafresnaye, 1838)",White-collared Jay,
"Snowornis cryptolophus (P.L.Sclater & Salvin, 1877)",54,SPECIES,ACCEPTED,Snowornis,2486235.0,Snowornis cryptolophus,2486238.0,LC,Snowornis cryptolophus,"(P.L.Sclater & Salvin, 1877)",Olivaceous Piha,
"Querula purpurata (Statius Muller, 1776)",11,SPECIES,ACCEPTED,Querula,2486252.0,Querula purpurata,2486253.0,LC,Querula purpurata,"(Statius Muller, 1776)",Purple-throated Fruitcrow,
"Pachyramphus cinnamomeus Lawrence, 1861",3996,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus cinnamomeus,5230338.0,LC,Pachyramphus cinnamomeus,"Lawrence, 1861",Cinnamon Becard,"Pachyramphus cinnamomeus cinnamomeus, 0.000500751126690035"
"Pachyramphus versicolor (Hartlaub, 1843)",76,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus versicolor,5230348.0,LC,Pachyramphus versicolor,"(Hartlaub, 1843)",Barred Becard,"Pachyramphus versicolor versicolor, 0.013333333333333334"
"Pachyramphus albogriseus P.L.Sclater, 1857",11,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus albogriseus,5230352.0,LC,Pachyramphus albogriseus,"P.L.Sclater, 1857",Black-and-white Becard,"Pachyramphus albogriseus guayaquilensis, 1.0; Pachyramphus albogriseus salvini, 0.1"
"Pachyramphus homochrous P.L.Sclater, 1859",1303,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus homochrous,5230358.0,LC,Pachyramphus homochrous,"P.L.Sclater, 1859",One-colored Becard,"Pachyramphus homochrous homochrous, 0.0015372790161414297"
"Pachyramphus polychopterus (Vieillot, 1818)",585,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus polychopterus,5230363.0,LC,Pachyramphus polychopterus,"(Vieillot, 1818)",White-winged Becard,"Pachyramphus polychopterus dorsalis, 0.003430531732418525"
"Pachyramphus salvini Richmond, 1899",684,SPECIES,ACCEPTED,Pachyramphus,2486256.0,Pachyramphus salvini,8120211.0,NE,Pachyramphus salvini,"Richmond, 1899",Cryptic Becard,
"Ampelioides tschudii (G.R.Gray, 1846)",790,SPECIES,ACCEPTED,Ampelioides,2486327.0,Ampelioides tschudii,2486328.0,LC,Ampelioides tschudii,"(G.R.Gray, 1846)",Scaled Fruiteater,
"Rupicola peruvianus (Latham, 1790)",2030,SPECIES,ACCEPTED,Rupicola,2486333.0,Rupicola peruvianus,5230374.0,LC,Rupicola peruvianus,"(Latham, 1790)",Andean Cock-Of-The-Rock,"Rupicola peruvianus sanguinolentus, 0.005448241703813769"
"Pipreola jucunda P.L.Sclater, 1860",43,SPECIES,ACCEPTED,Pipreola,2486358.0,Pipreola jucunda,2486363.0,LC,Pipreola jucunda,"P.L.Sclater, 1860",Orange-breasted Fruiteater,
"Pipreola arcuata (Lafresnaye, 1843)",3,SPECIES,ACCEPTED,Pipreola,2486358.0,Pipreola arcuata,2486368.0,LC,Pipreola arcuata,"(Lafresnaye, 1843)",Barred Fruiteater,"Pipreola arcuata arcuata, 0.5"
"Pipreola riefferii (Boissonneau, 1840)",51,SPECIES,ACCEPTED,Pipreola,2486358.0,Pipreola riefferii,2486371.0,LC,Pipreola riefferii,"(Boissonneau, 1840)",Green-and-black Fruiteater,"Pipreola riefferii occidentalis, 0.0625"
"Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)",16,SPECIES,ACCEPTED,Ampelion,2486416.0,Ampelion rubrocristatus,2486420.0,LC,Ampelion rubrocristatus,"(Orbigny & Lafresnaye, 1837)",Red-crested Cotinga,
"Schiffornis turdina veraepacis (P.L.Sclater & Salvin, 1860)",33,SPECIES,SYNONYM,Schiffornis,2486445.0,Schiffornis turdina,2486447.0,LC,Schiffornis veraepacis,"(P.L.Sclater & Salvin, 1860)",Northern Schiffornis,
"Tityra semifasciata (Spix, 1825)",1308,SPECIES,ACCEPTED,Tityra,2486465.0,Tityra semifasciata,2486467.0,LC,Tityra semifasciata,"(Spix, 1825)",Masked Tityra,"Tityra semifasciata nigriceps, 0.0007651109410864575"
"Tityra inquisitor (Lichtenstein, 1823)",285,SPECIES,ACCEPTED,Tityra,2486465.0,Tityra inquisitor,2486476.0,LC,Tityra inquisitor,"(Lichtenstein, 1823)",Black-crowned Tityra,
"Carpodectes hopkei Berlepsch, 1897",3,SPECIES,ACCEPTED,Carpodectes,2486494.0,Carpodectes hopkei,2486497.0,LC,Carpodectes hopkei,"Berlepsch, 1897",Black-tipped Cotinga,
"Cephalopterus penduliger P.L.Sclater, 1859",47,SPECIES,ACCEPTED,Cephalopterus,5959194.0,Cephalopterus penduliger,5959195.0,VU,Cephalopterus penduliger,"P.L.Sclater, 1859",Long-wattled Umbrellabird,
"Euphonia saturata (Cabanis, 1861)",824,SPECIES,ACCEPTED,Euphonia,2487948.0,Euphonia saturata,2487989.0,LC,Euphonia saturata,"(Cabanis, 1861)",Orange-crowned Euphonia,
"Euphonia laniirostris d'Orbigny & Lafresnaye, 1837",6088,SPECIES,ACCEPTED,Euphonia,2487948.0,Euphonia laniirostris,2487998.0,LC,Euphonia laniirostris,"d'Orbigny & Lafresnaye, 1837",Thick-billed Euphonia,
"Euphonia xanthogaster Sundevall, 1834",7895,SPECIES,ACCEPTED,Euphonia,2487948.0,Euphonia xanthogaster,2488011.0,LC,Euphonia xanthogaster,"Sundevall, 1834",Orange-bellied Euphonia,"Euphonia xanthogaster quitensis, 0.0006337135614702154"
"Euphonia cyanocephala (Vieillot, 1819)",999,SPECIES,SYNONYM,Euphonia,2487948.0,Euphonia cyanocephala,2488023.0,NE,Chlorophonia cyanocephala,"(Vieillot, 1819)",Golden-rumped Euphonia,
"Chlorophonia pyrrhophrys (P.L.Sclater, 1851)",4,SPECIES,ACCEPTED,Chlorophonia,2488311.0,Chlorophonia pyrrhophrys,2488312.0,LC,Chlorophonia pyrrhophrys,"(P.L.Sclater, 1851)",Chestnut-breasted Chlorophonia,
"Chlorophonia flavirostris P.L.Sclater, 1861",861,SPECIES,ACCEPTED,Chlorophonia,2488311.0,Chlorophonia flavirostris,2488313.0,LC,Chlorophonia flavirostris,"P.L.Sclater, 1861",Yellow-collared Chlorophonia,
"Chlorophonia cyanea (Thunberg, 1822)",1,SPECIES,ACCEPTED,Chlorophonia,2488311.0,Chlorophonia cyanea,2488315.0,LC,Chlorophonia cyanea,"(Thunberg, 1822)",Blue-naped Chlorophonia,
"Spinus psaltria (Say, 1822)",105,SPECIES,ACCEPTED,Spinus,8051475.0,Spinus psaltria,5231647.0,LC,Spinus psaltria,"(Say, 1822)",Lesser Goldfinch,"Spinus psaltria colombianus, 0.009615384615384616"
"Spinus magellanicus (Vieillot, 1805)",87,SPECIES,ACCEPTED,Spinus,8051475.0,Spinus magellanicus,7341745.0,LC,Spinus magellanicus,"(Vieillot, 1805)",Hooded Siskin,
"Spinus xanthogastrus (Du Bus de Gisignies, 1855)",378,SPECIES,ACCEPTED,Spinus,8051475.0,Spinus xanthogastrus,7341765.0,LC,Spinus xanthogastrus,"(Du Bus de Gisignies, 1855)",Yellow-bellied Siskin,"Spinus xanthogastrus xanthogastrus, 0.002652519893899204"
"Synallaxis unirufa Lafresnaye, 1843",96,SPECIES,ACCEPTED,Synallaxis,2484925.0,Synallaxis unirufa,2484927.0,LC,Synallaxis unirufa,"Lafresnaye, 1843",Rufous Spinetail,
"Synallaxis brachyura Lafresnaye, 1843",4140,SPECIES,ACCEPTED,Synallaxis,2484925.0,Synallaxis brachyura,2485023.0,LC,Synallaxis brachyura,"Lafresnaye, 1843",Slaty Spinetail,"Synallaxis brachyura chapmani, 0.0021797045289416324; Synallaxis brachyura nigrifumosa, 0.0004833252779120348"
"Synallaxis azarae Orbigny, 1835",295,SPECIES,ACCEPTED,Synallaxis,2484925.0,Synallaxis azarae,9492770.0,LC,Synallaxis azarae,"Orbigny, 1835",Azara'S Spinetail,
"Sclerurus guatemalensis (Hartlaub, 1844)",14,SPECIES,ACCEPTED,Sclerurus,2485208.0,Sclerurus guatemalensis,2485239.0,LC,Sclerurus guatemalensis,"(Hartlaub, 1844)",Scaly-throated Leaftosser,
"Sclerurus obscurior Hartert & Ejo, 1901",187,SPECIES,ACCEPTED,Sclerurus,2485208.0,Sclerurus obscurior,8867648.0,NE,Sclerurus obscurior,"Hartert & Ejo, 1901",Dusky Leaftosser,
"Thripadectes ignobilis (P.L.Sclater & Salvin, 1879)",82,SPECIES,ACCEPTED,Thripadectes,2485254.0,Thripadectes ignobilis,2485256.0,LC,Thripadectes ignobilis,"(P.L.Sclater & Salvin, 1879)",Uniform Treehunter,
"Thripadectes virgaticeps Lawrence, 1874",533,SPECIES,ACCEPTED,Thripadectes,2485254.0,Thripadectes virgaticeps,2485257.0,LC,Thripadectes virgaticeps,"Lawrence, 1874",Streak-capped Treehunter,"Thripadectes virgaticeps virgaticeps, 0.011385199240986717"
"Thripadectes holostictus (P.L.Sclater & Salvin, 1876)",90,SPECIES,ACCEPTED,Thripadectes,2485254.0,Thripadectes holostictus,2485265.0,LC,Thripadectes holostictus,"(P.L.Sclater & Salvin, 1876)",Striped Treehunter,"Thripadectes holostictus striatidorsus, 0.022727272727272728"
"Premnoplex brunnescens (P.L.Sclater, 1856)",670,SPECIES,ACCEPTED,Premnoplex,2485275.0,Premnoplex brunnescens,2485279.0,LC,Premnoplex brunnescens,"(P.L.Sclater, 1856)",Spotted Barbtail,"Premnoplex brunnescens brunnescens, 0.0029940119760479044"
"Cranioleuca erythrops (P.L.Sclater, 1860)",8351,SPECIES,ACCEPTED,Cranioleuca,2485286.0,Cranioleuca erythrops,2485336.0,LC,Cranioleuca erythrops,"(P.L.Sclater, 1860)",Red-faced Spinetail,"Cranioleuca erythrops erythrops, 0.0013189448441247003"
"Glyphorynchus spirurus (Vieillot, 1819)",568,SPECIES,ACCEPTED,Glyphorynchus,2485340.0,Glyphorynchus spirurus,2485341.0,LC,Glyphorynchus spirurus,"(Vieillot, 1819)",Wedge-billed Woodcreeper,"Glyphorynchus spirurus sublestus, 0.0035335689045936395"
