acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Syndactyla subalaris (P.L.Sclater, 1859)",3331,SPECIES,ACCEPTED,Syndactyla,2485356.0,Syndactyla subalaris,2485362.0,LC,Syndactyla subalaris,"(P.L.Sclater, 1859)",Lineated Foliage-Gleaner,"Syndactyla subalaris subalaris, 0.00210589651022864"
"Xiphocolaptes promeropirhynchus (Lesson, 1840)",1424,SPECIES,ACCEPTED,Xiphocolaptes,2485457.0,Xiphocolaptes promeropirhynchus,2485461.0,LC,Xiphocolaptes promeropirhynchus,"(Lesson, 1840)",Strong-billed Woodcreeper,
"Hyloctistes subulatus virgatus (Lawrence, 1867)",38,SPECIES,SYNONYM,Hyloctistes,2485498.0,Hyloctistes subulatus,2485499.0,LC,Automolus virgatus,"(Lawrence, 1867)",Western Woodhaunter,
"Xiphorhynchus erythropygius (P.L.Sclater, 1860)",4346,SPECIES,ACCEPTED,Xiphorhynchus,2485513.0,Xiphorhynchus erythropygius,5230172.0,LC,Xiphorhynchus erythropygius,"(P.L.Sclater, 1860)",Spotted Woodcreeper,"Xiphorhynchus erythropygius aequatorialis, 0.0023062730627306273"
"Xiphorhynchus erythropygius aequatorialis (Berlepsch & Taczanowski, 1884)",2,SPECIES,SYNONYM,Xiphorhynchus,2485513.0,Xiphorhynchus erythropygius,5230172.0,LC,Xiphorhynchus aequatorialis,"(von Berlepsch & Taczanowski, 1884)",,
"Xiphorhynchus lachrymosus (Lawrence, 1862)",1,SPECIES,ACCEPTED,Xiphorhynchus,2485513.0,Xiphorhynchus lachrymosus,5230187.0,LC,Xiphorhynchus lachrymosus,"(Lawrence, 1862)",Black-striped Woodcreeper,
"Premnornis guttuliger (P.L.Sclater, 1864)",57,SPECIES,ACCEPTED,Premnornis,2485609.0,Premnornis guttuliger,6100762.0,LC,Premnornis guttuliger,"(P.L.Sclater, 1864)",Rusty-winged Barbtail,"Premnornis guttuliger guttuliger, 0.017857142857142856"
"Pseudocolaptes boissonneautii (Lafresnaye, 1840)",73,SPECIES,ACCEPTED,Pseudocolaptes,2485613.0,Pseudocolaptes boissonneautii,2485617.0,NE,Pseudocolaptes boissonneautii,"(Lafresnaye, 1840)",Streaked Tuftedcheek,
"Pseudocolaptes johnsoni Lönnberg & Rendahl, 1922",42,SPECIES,ACCEPTED,Pseudocolaptes,2485613.0,Pseudocolaptes johnsoni,6100763.0,LC,Pseudocolaptes johnsoni,"Lönnberg & Rendahl, 1922",Pacific Tuftedcheek,
"Xenops rutilans Temminck, 1821",88,SPECIES,ACCEPTED,Xenops,2485652.0,Xenops rutilans,5230207.0,NE,Xenops rutilans,"Temminck, 1821",Streaked Xenops,
