taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2486476	Tityra inquisitor (Lichtenstein, 1823)	2486476	Tityra inquisitor (Lichtenstein, 1823)	285	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Tityra	2486465	Tityra inquisitor	2486476	LC
2488592	Tachyphonus delatrii Lafresnaye, 1847	2488592	Tachyphonus delatrii Lafresnaye, 1847	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Tachyphonus	2488565	Tachyphonus delatrii	2488592	LC
2482313	Aburria aburri (R.Lesson, 1828)	2482313	Aburria aburri (R.Lesson, 1828)	1400	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Cracidae	5237	Aburria	2482290	Aburria aburri	2482313	NT
6174347	Poecilotriccus ruficeps rufigenis (P.L.Sclater & Salvin, 1877)	6174347	Poecilotriccus ruficeps rufigenis (P.L.Sclater & Salvin, 1877)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Poecilotriccus	2483869	Poecilotriccus ruficeps	2483882	
2493957	Henicorhina leucophrys (Tschudi, 1844)	2493957	Henicorhina leucophrys (Tschudi, 1844)	5268	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Henicorhina	2493955	Henicorhina leucophrys	2493957	LC
2483935	Zimmerius viridiflavus (Tschudi, 1844)	2483935	Zimmerius viridiflavus (Tschudi, 1844)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Zimmerius	2483931	Zimmerius viridiflavus	2483935	LC
5231103	Zonotrichia capensis (P.L.S.Müller, 1776)	5231103	Zonotrichia capensis (P.L.S.Müller, 1776)	1681	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Zonotrichia	6173226	Zonotrichia capensis	5231103	LC
2476441	Amazilia tzacatl (de la Llave, 1833)	2476441	Amazilia tzacatl (de la Llave, 1833)	12433	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Trochilidae	5289	Amazilia	2476407	Amazilia tzacatl	2476441	LC
6093541	Arremon brunneinucha frontalis Tschudi, 1844	6093541	Arremon brunneinucha frontalis Tschudi, 1844	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passerellidae	9410667	Arremon	2491613	Arremon brunneinucha	7341947	
2485336	Cranioleuca erythrops (P.L.Sclater, 1860)	2485336	Cranioleuca erythrops (P.L.Sclater, 1860)	8340	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Cranioleuca	2485286	Cranioleuca erythrops	2485336	LC
5231437	Troglodytes solstitialis P.L.Sclater, 1859	5231437	Troglodytes solstitialis P.L.Sclater, 1859	195	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Troglodytidae	9355	Troglodytes	2493899	Troglodytes solstitialis	5231437	LC
5788712	Anisognathus flavinucha (d'Orbigny & Lafresnaye, 1837)	5230552	Anisognathus somptuosus flavinucha (d'Orbigny & Lafresnaye, 1837)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Anisognathus	2488031	Anisognathus somptuosus	5230547	LC
6100758	Furnarius cinnamomeus (R.P.Lesson, 1844)	6171298	Furnarius leucopus cinnamomeus (Lesson, 1844)	4063	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Furnariidae	5243	Furnarius	2485812	Furnarius leucopus	9309489	LC
