,scientificName,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,synScientificName,accScientificName,synSplitExtras,accSplitExtras,Unnamed: 0,sort v2024,14.1,speciesCode_eBird,scientificName_Clements,scientificName_IOC,commonName_Clements,commonName_IOC,rank_Clements,rank_IOC,species_Clements,genus_Clements,family_Clements,species_IOC,genus_IOC,family_IOC,family_english_Clements,order_IOC,order_english_Clements,authority_IOC,extinct_Clements,extinctYear_Clements,extinct_Clements.1,range_Clements,breedingRange_IOC,nonbreedingRange_IOC
169,"Setophaga virens (J.F.Gmelin, 1789)","Setophaga virens (J.F.Gmelin, 1789)",9,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga virens,6092631.0,LC,,Setophaga virens,,"(J.F.Gmelin, 1789)",27284,33928.0,32326,btnwar,Setophaga virens,Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Gmelin, JF, 1789)",,,,,"NA : c Canada to se Canada and ne, e and nc USA",Mexico to n SA and West Indies
170,"Setophaga striata (J.R.Forster, 1772)","Setophaga striata (J.R.Forster, 1772)",13,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga striata,6092935.0,NT,,Setophaga striata,,"(J.R.Forster, 1772)",27280,33853.0,32280,bkpwar,Setophaga striata,Setophaga striata,Blackpoll Warbler,Blackpoll Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Forster, JR, 1772)",,,,Alaska and Canada; winters Colombia to Peru and western Amazonian Brazil,"NA : Alaska to e, se Canada and ne USA","n, c SA"
171,"Setophaga pensylvanica (Linnaeus, 1766)","Setophaga pensylvanica (Linnaeus, 1766)",2,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga pensylvanica,6092942.0,LC,,Setophaga pensylvanica,,"(Linnaeus, 1766)",27218,33849.0,32279,chswar,Setophaga pensylvanica,Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Linnaeus, 1766)",,,,eastern North America; winters Guatemala to Panama (casual northern South America),"NA : sc, se Canada to nc, ne, e USA",Guatemala to n SA
172,"Setophaga fusca (Statius Müller, 1776)","Setophaga fusca (Statius Müller, 1776)",3204,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga fusca,6093199.0,LC,,Setophaga fusca,,"(Statius Müller, 1776)",27202,33805.0,32233,bkbwar,Setophaga fusca,Setophaga fusca,Blackburnian Warbler,Blackburnian Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Müller, PLS, 1776)",,,,eastern North America; winters Costa Rica to Bolivia,"NA : sc, se Canada to nc, ne, e USA",Costa Rica to Bolivia
173,"Setophaga castanea (A.Wilson, 1810)","Setophaga castanea (A.Wilson, 1810)",9,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga castanea,6093202.0,LC,,Setophaga castanea,,"(A.Wilson, 1810)",27183,33804.0,32232,babwar,Setophaga castanea,Setophaga castanea,Bay-breasted Warbler,Bay-breasted Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Wilson, A, 1810)",,,,Canada and northeastern USA; winters Panama and northwestern South America,"NA : s, se Canada and ne USA",to nw SA
174,"Setophaga cerulea (A.Wilson, 1810)","Setophaga cerulea (A.Wilson, 1810)",111,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga cerulea,6093350.0,NT,,Setophaga cerulea,,"(A.Wilson, 1810)",27184,33782.0,32219,cerwar,Setophaga cerulea,Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Wilson, A, 1810)",,,,eastern North America; winters mountains of Colombia to Venezuela and southward in Andes to western Bolivia,"NA : se Canada and nc, ne USA",Colombia to Peru
175,"Setophaga petechia (Linnaeus, 1766)","Setophaga petechia (Linnaeus, 1766)",11,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga petechia,7341834.0,LC,,Setophaga petechia,,"(Linnaeus, 1766)",27219,33807.0,32244,yelwar,Setophaga petechia,Setophaga petechia,Yellow Warbler,Mangrove Warbler,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Linnaeus, 1766)",,,,,"NA, MA, SA : extreme s USA through West Indies to coastal MA and SA",
176,"Setophaga pitiayumi (Vieillot, 1817)","Setophaga pitiayumi (Vieillot, 1817)",7808,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga pitiayumi,7341895.0,LC,,Setophaga pitiayumi,,"(Vieillot, 1817)",27267,33787.0,32221,tropar,Setophaga pitiayumi,Setophaga pitiayumi,Tropical Parula,Tropical Parula,species,Species,,Setophaga,Parulidae,,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Vieillot, 1817)",,,,,"MA, SA : widespread, also s Texas",
177,"Setophaga pitiayumi pacifica (von Berlepsch & Taczanowski, 1884)","Setophaga pitiayumi pacifica (von Berlepsch & Taczanowski, 1884)",3,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Setophaga,2489984.0,Setophaga pitiayumi,7341895.0,,,Setophaga pitiayumi pacifica,,"(von Berlepsch & Taczanowski, 1884)",27274,33795.0,32228,tropar10,Setophaga pitiayumi pacifica,Setophaga pitiayumi pacifica,,,subspecies,ssp,Setophaga pitiayumi,Setophaga,Parulidae,Setophaga pitiayumi,Setophaga,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Berlepsch & Taczanowski, 1884)",,,,"west side of Andes from Colombia to northwestern Peru, and east side of Andes of central and southern Peru and northern Bolivia",sw Colombia to nw Peru,
178,"Vermivora chrysoptera (Linnaeus, 1766)","Vermivora chrysoptera (Linnaeus, 1766)",17,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Vermivora,5230809.0,Vermivora chrysoptera,5230811.0,NT,,Vermivora chrysoptera,,"(Linnaeus, 1766)",31659,33679.0,32125,gowwar,Vermivora chrysoptera,Vermivora chrysoptera,Golden-winged Warbler,Golden-winged Warbler,species,Species,,Vermivora,Parulidae,,Vermivora,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Linnaeus, 1766)",,,,eastern North America; winters Guatemala to northwestern South America and Greater Antilles,"NA : nc, ne USA and se Canada",Guatemala to n SA
179,"Parkesia noveboracensis (J.F.Gmelin, 1789)","Parkesia noveboracensis (J.F.Gmelin, 1789)",1,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Parkesia,6093857.0,Parkesia noveboracensis,6093856.0,LC,,Parkesia noveboracensis,,"(J.F.Gmelin, 1789)",21091,33676.0,32122,norwat,Parkesia noveboracensis,Parkesia noveboracensis,Northern Waterthrush,Northern Waterthrush,species,Species,,Parkesia,Parulidae,,Parkesia,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Gmelin, JF, 1789)",,,,northern North America; winters to West Indies and northern South America,"NA : Alaska through Canada to nw, ne USA","MA, West Indies and n SA"
180,"Myiothlypis fulvicauda (von Spix, 1825)","Myiothlypis fulvicauda (von Spix, 1825)",1392,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Myiothlypis,7341612.0,Myiothlypis fulvicauda,7341658.0,LC,,Myiothlypis fulvicauda,,"(von Spix, 1825)",18854,34018.0,32346,burwar1,Myiothlypis fulvicauda,Myiothlypis fulvicauda,Buff-rumped Warbler,Buff-rumped Warbler,species,Species,,Myiothlypis,Parulidae,,Myiothlypis,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Spix, 1825)",,,,,"MA, SA : Honduras to n Bolivia",
181,"Myiothlypis chlorophrys (von Berlepsch, 1907)","Myiothlypis chlorophrys (von Berlepsch, 1907)",181,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Myiothlypis,7341612.0,Myiothlypis chlorophrys,7529367.0,LC,,Myiothlypis chlorophrys,,"(von Berlepsch, 1907)",18832,34034.0,32361,gobwar4,Myiothlypis chlorophrys,Myiothlypis chlorophrys,Choco Warbler,Choco Warbler,species,Species,,Myiothlypis,Parulidae,,Myiothlypis,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Berlepsch, 1907)",,,,tropical southwestern Colombia (Cauca and Nariño) to northwestern Ecuador,SA : Colombia and Ecuador,
182,"Myiothlypis coronata (Tschudi, 1844)","Myiothlypis coronata (Tschudi, 1844)",133,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Myiothlypis,7341612.0,Myiothlypis coronata,7646544.0,LC,,Myiothlypis coronata,,"(Tschudi, 1844)",18839,34044.0,32371,rucwar1,Myiothlypis coronata,Myiothlypis coronata,Russet-crowned Warbler,Russet-crowned Warbler,species,Species,,Myiothlypis,Parulidae,,Myiothlypis,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Tschudi, 1844)",,,,,SA : Venezuela to c Bolivia,
183,"Myiothlypis nigrocristata (Lafresnaye, 1840)","Myiothlypis nigrocristata (Lafresnaye, 1840)",49,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Myiothlypis,7341612.0,Myiothlypis nigrocristata,7811145.0,LC,,Myiothlypis nigrocristata,,"(Lafresnaye, 1840)",18872,34017.0,32345,blcwar2,Myiothlypis nigrocristata,Myiothlypis nigrocristata,Black-crested Warbler,Black-crested Warbler,species,Species,,Myiothlypis,Parulidae,,Myiothlypis,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Lafresnaye, 1840)",,,,"Andes of Colombia to northern Venezuela, Ecuador, and northern Peru",SA : Venezuela to Peru,
184,"Leiothlypis peregrina (A.Wilson, 1811)","Leiothlypis peregrina (A.Wilson, 1811)",21,SPECIES,ACCEPTED,Passeriformes,729.0,Parulidae,5263.0,Leiothlypis,7467942.0,Leiothlypis peregrina,7415507.0,LC,,Leiothlypis peregrina,,"(A.Wilson, 1811)",15620,33695.0,32142,tenwar,Leiothlypis peregrina,Leiothlypis peregrina,Tennessee Warbler,Tennessee Warbler,species,Species,,Leiothlypis,Parulidae,,Leiothlypis,Parulidae,Parulidae (New World Warblers),Passeriformes,Passeriformes,"(Wilson, A, 1811)",,,,southeastern Alaska and southern Yukon to northern USA; winters southern Mexico to northwestern South America,NA : se Alaska and nw Canada to se Canada and ne USA,Mexico to n SA
185,"Passer domesticus (Linnaeus, 1758)","Passer domesticus (Linnaeus, 1758)",40,SPECIES,ACCEPTED,Passeriformes,729.0,Passeridae,5264.0,Passer,2492321.0,Passer domesticus,5231190.0,LC,,Passer domesticus,,"(Linnaeus, 1758)",21186,31261.0,29199,houspa,Passer domesticus,Passer domesticus,House Sparrow,House Sparrow,species,Species,,Passer,Passeridae,,Passer,Passeridae,Passeridae (Old World Sparrows),Passeriformes,Passeriformes,"(Linnaeus, 1758)",,,,,"PAL, OR, AF : mainly subarctic to subtropical Palearctic and Oriental region in anthropogenic habitats: Faroe and British Isles, n Scandinavia e through subarctic Russia to Kamchatka; in s through Iberian Pen., n Africa including Nile Valley, n Eritrea, Arabian Pen., India and Sri Lanka, through n, c se Asia; introduced nearly worldwide",some short-range dispersal 
186,"Manacus manacus (Linnaeus, 1766)","Manacus manacus (Linnaeus, 1766)",85,SPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Manacus,2487665.0,Manacus manacus,2487672.0,LC,,Manacus manacus,,"(Linnaeus, 1766)",16916,15608.0,16356,whbman1,Manacus manacus,Manacus manacus,White-bearded Manakin,White-bearded Manakin,species,Species,,Manacus,Pipridae,,Manacus,Pipridae,Pipridae (Manakins),Passeriformes,Passeriformes,"(Linnaeus, 1766)",,,,,SA : widespread,
187,"Masius chrysopterus (Lafresnaye, 1843)","Masius chrysopterus (Lafresnaye, 1843)",568,SPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Masius,2487739.0,Masius chrysopterus,2487740.0,LC,,Masius chrysopterus,,"(Lafresnaye, 1843)",16993,15548.0,16303,gowman1,Masius chrysopterus,Masius chrysopterus,Golden-winged Manakin,Golden-winged Manakin,species,Species,,Masius,Pipridae,,Masius,Pipridae,Pipridae (Manakins),Passeriformes,Passeriformes,"(Lafresnaye, 1843)",,,,,SA : nw Venezuela to n Peru,
188,"Masius chrysopterus coronulatus P.L.Sclater, 1860","Masius chrysopterus coronulatus P.L.Sclater, 1860",2,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Masius,2487739.0,Masius chrysopterus,2487740.0,,,Masius chrysopterus coronulatus,,"P.L.Sclater, 1860",16996,15551.0,16306,gowman4,Masius chrysopterus coronulatus,Masius chrysopterus coronulatus,,,subspecies,ssp,Masius chrysopterus,Masius,Pipridae,Masius chrysopterus,Masius,Pipridae,Pipridae (Manakins),Passeriformes,Passeriformes,"Sclater, PL, 1860",,,,western Andes of Colombia (southwestern Cauca and Nariño) and western Ecuador,sw Colombia and w Ecuador,
189,"Machaeropterus deliciosus (P.L.Sclater, 1860)","Machaeropterus deliciosus (P.L.Sclater, 1860)",1710,SPECIES,ACCEPTED,Passeriformes,729.0,Pipridae,5270.0,Machaeropterus,2487746.0,Machaeropterus deliciosus,2487754.0,LC,,Machaeropterus deliciosus,,"(P.L.Sclater, 1860)",16628,15640.0,16395,clwman1,Machaeropterus deliciosus,Machaeropterus deliciosus,Club-winged Manakin,Club-winged Manakin,species,Species,,Machaeropterus,Pipridae,,Machaeropterus,Pipridae,Pipridae (Manakins),Passeriformes,Passeriformes,"(Sclater, PL, 1860)",,,,west slope of Andes of southwestern Colombia and western Ecuador,SA : sw Colombia to w Ecuador,
190,"Myornis senilis (Lafresnaye, 1840)","Myornis senilis (Lafresnaye, 1840)",8,SPECIES,ACCEPTED,Passeriformes,729.0,Rhinocryptidae,5281.0,Myornis,2490962.0,Myornis senilis,2490963.0,LC,,Myornis senilis,,"(Lafresnaye, 1840)",18922,14250.0,14755,asctap1,Myornis senilis,Myornis senilis,Ash-colored Tapaculo,Ash-colored Tapaculo,species,Species,,Myornis,Rhinocryptidae,,Myornis,Rhinocryptidae,Rhinocryptidae (Tapaculos),Passeriformes,Passeriformes,"(Lafresnaye, 1840)",,,,"Andes of Colombia, Ecuador, and northern Peru (south to Pasco)",SA : Colombia to Peru,
191,"Acropternis orthonyx (Lafresnaye, 1843)","Acropternis orthonyx (Lafresnaye, 1843)",35,SPECIES,ACCEPTED,Passeriformes,729.0,Rhinocryptidae,5281.0,Acropternis,2490974.0,Acropternis orthonyx,2490975.0,LC,,Acropternis orthonyx,,"(Lafresnaye, 1843)",265,14239.0,14720,ocetap1,Acropternis orthonyx,Acropternis orthonyx,Ocellated Tapaculo,Ocellated Tapaculo,species,Species,,Acropternis,Rhinocryptidae,,Acropternis,Rhinocryptidae,Rhinocryptidae (Tapaculos),Passeriformes,Passeriformes,"(Lafresnaye, 1843)",,,,,SA : nw Venezuela to nw Peru,
192,"Scytalopus spillmanni Stresemann, 1937","Scytalopus spillmanni Stresemann, 1937",56,SPECIES,ACCEPTED,Passeriformes,729.0,Rhinocryptidae,5281.0,Scytalopus,2490976.0,Scytalopus spillmanni,2490984.0,LC,,Scytalopus spillmanni,,"Stresemann, 1937",27011,14320.0,14824,spitap2,Scytalopus spillmanni,Scytalopus spillmanni,Spillmann's Tapaculo,Spillmann's Tapaculo,species,Species,,Scytalopus,Rhinocryptidae,,Scytalopus,Rhinocryptidae,Rhinocryptidae (Tapaculos),Passeriformes,Passeriformes,"Stresemann, 1937",,,,central Andes of Colombia to central Ecuador,SA : Colombia to Ecuador,
193,"Scytalopus vicinior Zimmer, 1939","Scytalopus vicinior Zimmer, 1939",327,SPECIES,ACCEPTED,Passeriformes,729.0,Rhinocryptidae,5281.0,Scytalopus,2490976.0,Scytalopus vicinior,2490999.0,LC,,Scytalopus vicinior,,"Zimmer, 1939",27019,14299.0,14804,nartap2,Scytalopus vicinior,Scytalopus vicinior,Nariño Tapaculo,Narino Tapaculo,species,Species,,Scytalopus,Rhinocryptidae,,Scytalopus,Rhinocryptidae,Rhinocryptidae (Tapaculos),Passeriformes,Passeriformes,"Zimmer, JT, 1939",,,,Pacific slope of southwestern Colombia (Risaralda) to Ecuador (Cotopaxi),SA : w Colombia to c Ecuador,
194,"Scytalopus latrans Hellmayr, 1924","Scytalopus latrans Hellmayr, 1924",5,SPECIES,ACCEPTED,Passeriformes,729.0,Rhinocryptidae,5281.0,Scytalopus,2490976.0,Scytalopus latrans,7340755.0,LC,,Scytalopus latrans,,"Hellmayr, 1924",26986,14292.0,14798,blatap1,Scytalopus latrans,Scytalopus latrans,Blackish Tapaculo,Blackish Tapaculo,species,Species,,Scytalopus,Rhinocryptidae,,Scytalopus,Rhinocryptidae,Rhinocryptidae (Tapaculos),Passeriformes,Passeriformes,"Hellmayr, 1924",,,,,SA : Colombia to Peru,
195,"Gymnopithys bicolor (Lawrence, 1863)","Gymnopithys leucaspis bicolor (Lawrence, 1863)",1,SPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Gymnopithys,2490002.0,Gymnopithys leucaspis,2490003.0,LC,Gymnopithys bicolor,Gymnopithys leucaspis bicolor,"(Lawrence, 1863)","(Lawrence, 1863)",13378,13939.0,14195,bicant2,Gymnopithys bicolor,Gymnopithys bicolor,Bicolored Antbird,Bicolored Antbird,species,Species,,Gymnopithys,Thamnophilidae,,Gymnopithys,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Lawrence, 1863)",,,,,"MA, SA : Honduras to w Ecuador",
196,"Euchrepomis callinota (P.L.Sclater, 1855)","Terenura callinota (P.L.Sclater, 1855)",263,SPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Terenura,2490011.0,Terenura callinota,2490016.0,LC,Euchrepomis callinota; Euchrepomis callinota callinota,Terenura callinota,"(P.L.Sclater, 1855); ","(P.L.Sclater, 1855)",11362,13308.0,13749,rurant1,Euchrepomis callinota,Euchrepomis callinota,Rufous-rumped Antwren,Rufous-rumped Antwren,species,Species,,Euchrepomis,Thamnophilidae,,Euchrepomis,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Sclater, PL, 1855)",,,,,"MA, SA : Costa Rica to c Peru, Guianas",
197,"Dysithamnus puncticeps Salvin, 1866","Dysithamnus puncticeps Salvin, 1866",2,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Dysithamnus,2490027.0,Dysithamnus puncticeps,2490029.0,LC,,Dysithamnus puncticeps,,"Salvin, 1866",10457,13522.0,14015,spcant1,Dysithamnus puncticeps,Dysithamnus puncticeps,Spot-crowned Antvireo,Spot-crowned Antvireo,species,Species,,Dysithamnus,Thamnophilidae,,Dysithamnus,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"Salvin, 1866",,,,southeastern Costa Rica to western Colombia and northwestern Ecuador,"MA, SA : Costa Rica to nw Ecuador",
198,"Dysithamnus mentalis (Temminck, 1823)","Dysithamnus mentalis (Temminck, 1823)",49,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Dysithamnus,2490027.0,Dysithamnus mentalis,2490033.0,LC,,Dysithamnus mentalis,,"(Temminck, 1823)",10434,13502.0,13995,plaant1,Dysithamnus mentalis,Dysithamnus mentalis,Plain Antvireo,Plain Antvireo,species,Species,,Dysithamnus,Thamnophilidae,,Dysithamnus,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Temminck, 1823)",,,,,"MA, SA : se Mexico to ne Argentina",
199,"Dysithamnus mentalis aequatorialis Todd, 1916","Dysithamnus mentalis aequatorialis Todd, 1916",1,SUBSPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Dysithamnus,2490027.0,Dysithamnus mentalis,2490033.0,,,Dysithamnus mentalis aequatorialis,,"Todd, 1916",10435,13506.0,14006,plaant5,Dysithamnus mentalis aequatorialis,Dysithamnus mentalis aequatorialis,,,subspecies,ssp,Dysithamnus mentalis,Dysithamnus,Thamnophilidae,Dysithamnus mentalis,Dysithamnus,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"Todd, 1916",,,,Pacific slope of western Ecuador and far northwestern Peru (Tumbes),w Ecuador and nw Peru,
200,"Thamnistes anabatinus P.L.Sclater & Salvin, 1860","Thamnistes anabatinus P.L.Sclater & Salvin, 1860",91,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Thamnistes,2490054.0,Thamnistes anabatinus,9485798.0,LC,,Thamnistes anabatinus,,"P.L.Sclater & Salvin, 1860",29608,13489.0,13771,rusant1,Thamnistes anabatinus,Thamnistes anabatinus,Russet Antshrike,Russet Antshrike,species,Species,,Thamnistes,Thamnophilidae,,Thamnistes,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"Sclater, PL & Salvin, 1860",,,,,"MA, SA : se Mexico to n Peru",
201,"Drymophila striaticeps Chapman, 1912","Drymophila striaticeps Chapman, 1912",301,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Drymophila,2490056.0,Drymophila striaticeps,7493446.0,LC,,Drymophila striaticeps,,"Chapman, 1912",10131,13742.0,14258,sthant1,Drymophila striaticeps,Drymophila striaticeps,Streak-headed Antbird,Streak-headed Antbird,species,Species,,Drymophila,Thamnophilidae,,Drymophila,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"Chapman, 1912",,,,,"SA : w, c Colombia, Ecuador, Peru and Bolivia along the main Andean cordillera",
202,"Cercomacroides tyrannina (P.L.Sclater, 1855)","Cercomacra tyrannina (P.L.Sclater, 1855)",39,SPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Cercomacra,2490128.0,Cercomacra tyrannina,2490136.0,LC,Cercomacroides tyrannina,Cercomacra tyrannina,"(P.L.Sclater, 1855)","(P.L.Sclater, 1855)",5346,13774.0,14299,dusant1,Cercomacroides tyrannina,Cercomacroides tyrannina,Dusky Antbird,Dusky Antbird,species,Species,,Cercomacroides,Thamnophilidae,,Cercomacroides,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Sclater, PL, 1855)",,,,,"MA, SA : se Mexico through n Amazonia",
203,"Poliocrania exsul (P.L.Sclater, 1859)","Myrmeciza exsul P.L.Sclater, 1859",1341,SPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmeciza,2490145.0,Myrmeciza exsul,2490163.0,LC,Poliocrania exsul,Myrmeciza exsul,"(P.L.Sclater, 1859)","P.L.Sclater, 1859",23836,13883.0,14368,chbant1,Poliocrania exsul,Poliocrania exsul,Chestnut-backed Antbird,Chestnut-backed Antbird,species,Species,,Poliocrania,Thamnophilidae,,Poliocrania,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Sclater, PL, 1859)",,,,,"MA, SA : Nicaragua to w Ecuador",
204,"Poliocrania exsul maculifer (Hellmayr, 1906)","Myrmeciza exsul maculifer (Hellmayr, 1906)",2,SUBSPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmeciza,2490145.0,Myrmeciza exsul,2490163.0,,Poliocrania exsul maculifer,Myrmeciza exsul maculifer,"(Hellmayr, 1906)","(Hellmayr, 1906)",23839,13890.0,14373,chbant13,Poliocrania exsul maculifer,Poliocrania exsul maculifer,,,subspecies,ssp,Poliocrania exsul,Poliocrania,Thamnophilidae,Poliocrania exsul,Poliocrania,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Hellmayr, 1906)",,,,Pacific slope of western Colombia and western Ecuador,w Colombia and w Ecuador,
205,"Hafferia zeledoni berlepschi (Ridgway, 1909)","Myrmeciza zeledoni Ridgway, 1909",2,SUBSPECIES,SYNONYM,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmeciza,2490145.0,Myrmeciza zeledoni,7459131.0,,Hafferia zeledoni berlepschi,Myrmeciza zeledoni,"(Ridgway, 1909)","Ridgway, 1909",13511,13920.0,14450,immant4,Hafferia zeledoni berlepschi,Hafferia zeledoni berlepschi,Zeledon's Antbird (Choco),,group (monotypic),ssp,Hafferia zeledoni,Hafferia,Thamnophilidae,Hafferia zeledoni,Hafferia,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Ridgway, 1909)",,,,eastern Panama (Darién) to western Colombia and western Ecuador,e Panama to w Ecuador,
206,"Myrmotherula pacifica Hellmayr, 1911","Myrmotherula pacifica Hellmayr, 1911",1227,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmotherula,2490167.0,Myrmotherula pacifica,2490172.0,LC,,Myrmotherula pacifica,,"Hellmayr, 1911",19077,13598.0,13845,pacant,Myrmotherula pacifica,Myrmotherula pacifica,Pacific Antwren,Pacific Antwren,species,Species,,Myrmotherula,Thamnophilidae,,Myrmotherula,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"Hellmayr, 1911",,,,Panama (Veraguas) to coastal Pacific Colombia and western Ecuador,"MA, SA : Panama to w Ecuador",
207,"Myrmotherula axillaris (Vieillot, 1817)","Myrmotherula axillaris (Vieillot, 1817)",9,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmotherula,2490167.0,Myrmotherula axillaris,2490191.0,LC,,Myrmotherula axillaris,,"(Vieillot, 1817)",19032,13606.0,13855,whfant2,Myrmotherula axillaris,Myrmotherula axillaris,White-flanked Antwren,White-flanked Antwren,species,Species,,Myrmotherula,Thamnophilidae,,Myrmotherula,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Vieillot, 1817)",,,,,"MA, SA : se Honduras through Amazonia",
208,"Myrmotherula schisticolor (Lawrence, 1865)","Myrmotherula schisticolor (Lawrence, 1865)",874,SPECIES,ACCEPTED,Passeriformes,729.0,Thamnophilidae,5286.0,Myrmotherula,2490167.0,Myrmotherula schisticolor,2490202.0,LC,,Myrmotherula schisticolor,,"(Lawrence, 1865)",19078,13614.0,13862,slaant1,Myrmotherula schisticolor,Myrmotherula schisticolor,Slaty Antwren,Slaty Antwren,species,Species,,Myrmotherula,Thamnophilidae,,Myrmotherula,Thamnophilidae,Thamnophilidae (Typical Antbirds),Passeriformes,Passeriformes,"(Lawrence, 1865)",,,,,"MA, SA : se Mexico to n Venezuela and Peru",
