internalTaxonId,scientificName,maincommonName,altcommonNames
22689559,Aegotheles savesi,Enigmatic Owlet-Nightjar,"New Caledonian Owlet-nightjar, New Caledonian Owlet-Nightjar"
22728459,Aegotheles tatei,Spangled Owlet-nightjar,
22689568,Aegotheles wallacii,Wallace's Owlet-Nightjar,Wallace's Owlet-nightjar
22695231,Aegypius monachus,Eurasian Black Vulture,"Black Vulture, Cinereous Vulture"
22678555,Aepypodius arfakianus,Wattled Brushturkey,Wattled Brush-turkey
22678559,Aepypodius bruijnii,Waigeo Brush-turkey,"Waigeo Brushturkey, Waigeo Brush-turkey"
22728583,Aerodramus bartschi,Mariana Swiftlet,
60824542,Aerodramus brevirostris,Himalayan Swiftlet,
22686507,Aerodramus elaphrus,Seychelles Swiftlet,
22686511,Aerodramus francicus,Mascarene Swiftlet,Mauritius Swiftlet
60847684,Aerodramus fuciphagus,Edible-nest Swiftlet,
22686525,Aerodramus hirundinaceus,Mountain Swiftlet,
22686522,Aerodramus infuscatus,Moluccan Swiftlet,
22686576,Aerodramus inquietus,Caroline Swiftlet,
60838951,Aerodramus leucophaeus,Polynesian Swiftlet,
22686610,Aerodramus maximus,Black-nest Swiftlet,
22686519,Aerodramus mearnsi,Philippine Swiftlet,
22728501,Aerodramus nuditarsus,Bare-legged Swiftlet,
22686555,Aerodramus orientalis,Mayr's Swiftlet,
22686552,Aerodramus papuensis,Papuan Swiftlet,
22686573,Aerodramus pelewensis,Palau Swiftlet,
22686558,Aerodramus salangana,Mossy-nest Swiftlet,
22686581,Aerodramus sawtelli,Atiu Swiftlet,"Sawtell's Swiftlet, Aitu Swiftlet"
22686528,Aerodramus spodiopygius,White-rumped Swiftlet,
22686534,Aerodramus terraereginae,Australian Swiftlet,
22686516,Aerodramus unicolor,Indian Swiftlet,
60835335,Aerodramus vanikorensis,Uniform Swiftlet,
22686543,Aerodramus vulcanorum,Volcano Swiftlet,
22686549,Aerodramus whiteheadi,Whitehead's Swiftlet,
22686739,Aeronautes andecolus,Andean Swift,
22686736,Aeronautes montivagus,White-tipped Swift,
22686733,Aeronautes saxatalis,White-throated Swift,
22694915,Aethia cristatella,Crested Auklet,
22694906,Aethia psittacula,Parakeet Auklet,
22694921,Aethia pusilla,Least Auklet,
22694918,Aethia pygmaea,Whiskered Auklet,
22704576,Aethomyias arfakianus,Grey-green Scrubwren,
22704527,Aethomyias nigrorufus,Bicolored Mouse-warbler,"Bicolored Mouse Warbler, Bicoloured Mouse-warbler, Bicoloured Scrubwren"
22704579,Aethomyias papuensis,Papuan Scrubwren,
22704573,Aethomyias perspicillatus,Buff-faced Scrubwren,
22704570,Aethomyias rufescens,Vogelkop Scrubwren,
22704582,Aethomyias spilodera,Pale-billed Scrubwren,
22732130,Aethopyga bella,Handsome Sunbird,
22718059,Aethopyga boltoni,Apo Sunbird,
103810484,Aethopyga christinae,Hainan Sunbird,
22718068,Aethopyga duyvenbodei,Sanghir Sunbird,"Elegant Sunbird, Duyvenbode’s Sunbird"
22718084,Aethopyga eximia,White-flanked Sunbird,
103805010,Aethopyga flagrans,Flaming Sunbird,
22718077,Aethopyga gouldiae,Gould's Sunbird,Mrs. Gould's Sunbird
103809131,Aethopyga guimarasensis,Maroon-naped Sunbird,
22718100,Aethopyga ignicauda,Fire-tailed Sunbird,
103810497,Aethopyga latouchii,Fork-tailed Sunbird,
22724518,Aethopyga linaraborae,Lina's Sunbird,
103810377,Aethopyga magnifica,Magnificent Sunbird,
103804351,Aethopyga mystacalis,Javan Sunbird,
22718081,Aethopyga nipalensis,Green-tailed Sunbird,
22718048,Aethopyga primigenia,Grey-hooded Sunbird,
22718065,Aethopyga pulcherrima,Metallic-winged Sunbird,
22718090,Aethopyga saturata,Black-throated Sunbird,
22734230,Aethopyga shelleyi,Lovely Sunbird,
103804411,Aethopyga siparaja,Crimson Sunbird,
103804369,Aethopyga temminckii,Temminck's Sunbird,
103804493,Aethopyga vigorsii,Sahyadri Sunbird,
22679430,Afropavo congensis,Congo Peafowl,Congo Peacock
22691975,Afrotis afra,Southern Black Bustard,
22691970,Afrotis afraoides,Northern Black Bustard,
22697200,Agamia agami,Agami Heron,
22685326,Agapornis canus,Grey-headed Lovebird,
22685346,Agapornis fischeri,Fischer's Lovebird,
22685356,Agapornis lilianae,Nyasa Lovebird,
22685360,Agapornis nigrigenis,Black-cheeked Lovebird,
22685352,Agapornis personatus,Yellow-collared Lovebird,
22685330,Agapornis pullarius,Red-headed Lovebird,
22685342,Agapornis roseicollis,Rosy-faced Lovebird,
22685338,Agapornis swindernianus,Black-collared Lovebird,
22685334,Agapornis taranta,Black-winged Lovebird,
103794964,Agelaioides badius,Bay-winged Cowbird,Greyish Baywing
103795103,Agelaioides fringillarius,Pale Baywing,
22729118,Agelaius assimilis,Red-shouldered Blackbird,
22724206,Agelaius humeralis,Tawny-shouldered Blackbird,
22724191,Agelaius phoeniceus,Red-winged Blackbird,
22724196,Agelaius tricolor,Tricolored Blackbird,Tricoloured Blackbird
