gbif_scientificName,wiki_commonName
Lepidocolaptes lacrymiger,Montane Woodcreeper
Lepidocolaptes lacrymiger aequatorialis,Montane Woodcreeper
Lepidocolaptes souleyetii,Streak-headed Woodcreeper
Lepidocolaptes souleyetii esmeraldae,Streak-headed Woodcreeper
Lepidocolaptes affinis,Spot-crowned Woodcreeper
Progne chalybea,Grey-breasted Martin
Riparia riparia,Sand Martin
Petrochelidon pyrrhonota,Cliff Swallow
Orochelidon murina,Brown-bellied Swallow
Pygochelidon cyanoleuca,Blue-and-white Swallow
Pygochelidon cyanoleuca cyanoleuca,Blue-and-white Swallow
Notiochelidon cyanoleuca cyanoleuca,Blue-and-white Swallow
Stelgidopteryx ruficollis,Southern Rough-Winged Swallow
Stelgidopteryx ruficollis uropygialis,Southern Rough-Winged Swallow
Atticora tibialis,White-thighed Swallow
Hirundo rustica,Barn Swallow
Mniotilta varia,Black-and-white Warbler
Cardellina canadensis,Canada Warbler
Geothlypis semiflava,Olive-crowned Yellowthroat
Geothlypis semiflava semiflava,Olive-crowned Yellowthroat
Geothlypis philadelphia,Mourning Warbler
Geothlypis auricularis,Black-lored Yellowthroat
Basileuterus tristriatus,Three-striped Warbler
Basileuterus tristriatus daedalus,Three-striped Warbler
Myioborus melanocephalus,Spectacled Whitestart
Myioborus miniatus,Slate-throated Whitestart
Myioborus miniatus ballux,Slate-throated Whitestart
Protonotaria citrea,Prothonotary Warbler
Setophaga ruticilla,American Redstart
Setophaga virens,Black-throated Green Warbler
Setophaga striata,Blackpoll Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Setophaga fusca,Blackburnian Warbler
Setophaga castanea,Bay-breasted Warbler
Setophaga cerulea,Cerulean Warbler
Setophaga petechia,Yellow Warbler
Setophaga pitiayumi,Tropical Parula
Setophaga pitiayumi pacifica,Tropical Parula
Vermivora chrysoptera,Golden-winged Warbler
Parkesia noveboracensis,Northern Waterthrush
Myiothlypis fulvicauda,Buff-rumped Warbler
Myiothlypis chlorophrys,Choco Warbler
Myiothlypis coronata,Russet-crowned Warbler
Myiothlypis nigrocristata,Black-crested Warbler
Leiothlypis peregrina,Tennessee Warbler
Passer domesticus,House Sparrow
Manacus manacus,White-bearded Manakin
Masius chrysopterus,Golden-winged Manakin
Masius chrysopterus coronulatus,Golden-winged Manakin
Machaeropterus regulus striolatus,Kinglet Manakin
Machaeropterus deliciosus,Club-winged Manakin
Myornis senilis,Ash-colored Tapaculo
Acropternis orthonyx,Ocellated Tapaculo
Scytalopus spillmanni,Spillmann'S Tapaculo
Scytalopus vicinior,Nariño Tapaculo
Scytalopus latrans,Blackish Tapaculo
Gymnopithys bicolor,Bicolored Antbird
Euchrepomis callinota,Rufous-rumped Antwren
Euchrepomis callinota callinota,Rufous-rumped Antwren
Terenura callinota callinota,Rufous-rumped Antwren
Dysithamnus puncticeps,Spot-crowned Antvireo
Dysithamnus mentalis,Plain Antvireo
Dysithamnus mentalis aequatorialis,Plain Antvireo
Thamnistes anabatinus,Russet Antshrike
Drymophila striaticeps,Streak-headed Antbird
Cercomacroides tyrannina,Dusky Antbird
Myrmeciza immaculata,Blue-lored Antbird
Poliocrania exsul,Chestnut-backed Antbird
Poliocrania exsul maculifer,Chestnut-backed Antbird
Hafferia zeledoni berlepschi,Zeledon'S Antbird
Myrmotherula pacifica,Pacific Antwren
Myrmotherula axillaris,White-flanked Antwren
Myrmotherula schisticolor,Slaty Antwren
Myrmotherula schisticolor schisticolor,Slaty Antwren
Taraba major,Great Antshrike
Taraba major transandeanus,Great Antshrike
Microrhopias quixensis,Dot-winged Antwren
Sipia nigricauda,Esmeraldas Antbird
Thamnophilus atrinucha,Black-crowned Antshrike
Thamnophilus unicolor,Uniform Antshrike
Thamnophilus unicolor unicolor,Uniform Antshrike
Epinecrophylla fulviventris,Checker-throated Stipplethroat
Hafferia zeledoni,Zeledon'S Antbird
Entomodestes coracinus,Black Solitaire
Turdus fuscater,Great Thrush
Turdus obsoletus,Pale-vented Thrush
Turdus maculirostris,Ecuadorian Thrush
Turdus serranus,Glossy-black Thrush
Turdus serranus fuscobrunneus,Glossy-black Thrush
Turdus leucops,Pale-eyed Thrush
Turdus daguae,Dagua Thrush
Turdus assimilis,White-throated Thrush
Catharus fuscater,Slaty-backed Nightingale-Thrush
Catharus maculatus,Speckled Nightingale-Thrush
Catharus maculatus maculatus,Speckled Nightingale-Thrush
Catharus ustulatus,Swainson'S Thrush
Catharus ustulatus swainsoni,Swainson'S Thrush
Myadestes ralloides,Andean Solitaire
Myadestes ralloides plumbeiceps,Andean Solitaire
Anairetes parulus,Tufted Tit-Tyrant
Leptopogon superciliaris,Slaty-capped Flycatcher
Leptopogon superciliaris superciliaris,Slaty-capped Flycatcher
Leptopogon superciliaris transandinus,Slaty-capped Flycatcher
Empidonax traillii,Willow Flycatcher
Empidonax virescens,Acadian Flycatcher
Mionectes striaticollis,Streak-necked Flycatcher
Mionectes oleagineus,Ochre-bellied Flycatcher
Mionectes olivaceus hederaceus,Olive-streaked Flycatcher
Mionectes olivaceus,Olive-streaked Flycatcher
Mionectes galbinus,Olive-striped Flycatcher
Mionectes galbinus hederaceus,Olive-striped Flycatcher
Fluvicola nengeta,Masked Water Tyrant
Fluvicola nengeta atripennis,Masked Water Tyrant
Myiornis atricapillus,Black-capped Pygmy Tyrant
Tolmomyias flavotectus,Yellow-winged Flatbill
Myiozetetes similis,Social Flycatcher
Myiozetetes cayanensis,Rusty-margined Flycatcher
Myiozetetes cayanensis hellmayri,Rusty-margined Flycatcher
Myiozetetes granadensis,Grey-capped Flycatcher
Legatus leucophaius,Piratic Flycatcher
Myiopagis viridicata,Greenish Elaenia
Knipolegus poecilurus,Rufous-tailed Tyrant
Platyrinchus mystaceus,White-throated Spadebill
Platyrinchus mystaceus albogularis,White-throated Spadebill
Elaenia flavogaster,Yellow-bellied Elaenia
Elaenia flavogaster semipagana,Yellow-bellied Elaenia
Elaenia albiceps,White-crested Elaenia
Elaenia brachyptera,Coopmans'S Elaenia
Elaenia pallatangae,Sierran Elaenia
Ochthoeca cinnamomeiventris,Slaty-backed Chat-Tyrant
Silvicultrix diadema,Yellow-bellied Chat-Tyrant
Ochthoeca frontalis,Crowned Chat-Tyrant
Pogonotriccus ophthalmicus,Marble-faced Bristle Tyrant
Pogonotriccus ophthalmicus ophthalmicus,Marble-faced Bristle Tyrant
Todirostrum nigriceps,Black-headed Tody-Flycatcher
Todirostrum cinereum,Common Tody-Flycatcher
Todirostrum cinereum sclateri,Common Tody-Flycatcher
Myiobius villosus,Tawny-breasted Myiobius
Myiobius villosus villosus,Tawny-breasted Myiobius
Myiobius sulphureipygius,Sulphur-rumped Myiobius
Myiotheretes striaticollis,Streak-throated Bush Tyrant
Myiotheretes fumigatus,Smoky Bush Tyrant
Tyrannus melancholicus,Tropical Kingbird
Tyrannus melancholicus melancholicus,Tropical Kingbird
Tyrannus niveigularis,Snowy-throated Kingbird
Tyrannus tyrannus,Eastern Kingbird
Tyrannus savana,Fork-tailed Flycatcher
Ornithion brunneicapillus,Brown-capped Tyrannulet
Lophotriccus pileatus,Scale-crested Pygmy Tyrant
Lophotriccus pileatus squamaecrista,Scale-crested Pygmy Tyrant
Lophotriccus pileatus luteiventris,Scale-crested Pygmy Tyrant
Megarynchus pitangua,Boat-billed Flycatcher
Rhynchocyclus pacificus,Pacific Flatbill
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill
Myiodynastes hemichrysus,Golden-bellied Flycatcher
Myiodynastes hemichrysus minor,Golden-bellied Flycatcher
Myiodynastes chrysocephalus,Golden-crowned Flycatcher
Myiodynastes chrysocephalus minor,Golden-crowned Flycatcher
Myiodynastes maculatus,Streaked Flycatcher
Camptostoma obsoletum,Southern Beardless Tyrannulet
Camptostoma obsoletum sclateri,Southern Beardless Tyrannulet
Myiarchus tuberculifer,Dusky-capped Flycatcher
Myiarchus tuberculifer nigriceps,Dusky-capped Flycatcher
Sayornis nigricans,Black Phoebe
Sayornis nigricans angustirostris,Black Phoebe
Attila spadiceus,Bright-rumped Attila
Attila spadiceus parambae,Bright-rumped Attila
Pyrocephalus rubinus,Scarlet Flycatcher
Myiotriccus ornatus,Ornate Flycatcher
Myiotriccus ornatus stellatus,Ornate Flycatcher
Rhytipterna holerythra,Rufous Mourner
Contopus virens,Eastern Wood Pewee
Contopus cooperi,Olive-sided Flycatcher
Contopus sordidulus,Western Wood Pewee
Contopus fumigatus,Smoke-colored Pewee
Contopus fumigatus zarumae,Smoke-colored Pewee
Lathrotriccus griseipectus,Grey-breasted Flycatcher
Pseudotriccus pelzelni,Bronze-olive Pygmy Tyrant
Pseudotriccus pelzelni annectens,Bronze-olive Pygmy Tyrant
Pseudotriccus ruficeps,Rufous-headed Pygmy Tyrant
Mecocerculus leucophrys,White-throated Tyrannulet
Mecocerculus poecilocercus,White-tailed Tyrannulet
Mecocerculus calopterus,Rufous-winged Tyrannulet
Capsiempis flaveola,Yellow Tyrannulet
Capsiempis flaveola magnirostris,Yellow Tyrannulet
Tyrannulus elatus,Yellow-crowned Tyrannulet
Poecilotriccus ruficeps,Rufous-crowned Tody-Flycatcher
Poecilotriccus ruficeps rufigenis,Rufous-crowned Tody-Flycatcher
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher
Pyrrhomyias cinnamomeus pyrrhopterus,Cinnamon Flycatcher
Zimmerius viridiflavus,Peruvian Tyrannulet
Zimmerius albigularis,Choco Tyrannulet
Zimmerius chrysops,Golden-faced Tyrannulet
Serpophaga cinerea,Torrent Tyrannulet
Serpophaga cinerea cinerea,Torrent Tyrannulet
Colonia colonus,Long-tailed Tyrant
Phyllomyias griseiceps,Sooty-headed Tyrannulet
Phyllomyias nigrocapillus,Black-capped Tyrannulet
Phyllomyias cinereiceps,Ashy-headed Tyrannulet
Phyllomyias uropygialis,Tawny-rumped Tyrannulet
Phyllomyias zeledoni,White-fronted Tyrannulet
Nephelomyias pulcher,Handsome Flycatcher
