sort v2024,species_code,English name,scientific name
570.0,rebduc1,Red-billed Duck,Anas erythrorhyncha
571.0,norpin,Northern Pintail,Anas acuta
579.0,eatpin1,Eaton's Pintail,Anas eatoni
582.0,yebpin1,Yellow-billed Pintail,Anas georgica
588.0,gnwtea,Green-winged Teal,Anas crecca
602.0,spetea3,Andean Teal,Anas andium
605.0,yebtea1,Yellow-billed Teal,Anas flavirostris
610.0,mauduc1,Mauritius Duck,Anas theodori
611.0,andtea1,Andaman Teal,Anas albogularis
612.0,suntea1,Sunda Teal,Anas gibberifrons
613.0,gretea1,Gray Teal,Anas gracilis
617.0,chetea1,Chestnut Teal,Anas castanea
623.0,bertea1,Bernier's Teal,Anas bernieri
624.0,auitea1,Auckland Islands Teal,Anas aucklandica
625.0,caitea1,Campbell Islands Teal,Anas nesiotis
626.0,brotea1,Brown Teal,Anas chlorotis
631.0,pieduc1,Pink-eared Duck,Malacorhynchus membranaceus
632.0,martea1,Marbled Duck,Marmaronetta angustirostris
633.0,pihduc1,Pink-headed Duck,Rhodonessa caryophyllacea
634.0,whwduc1,White-winged Duck,Asarcornis scutulata
635.0,recpoc,Red-crested Pochard,Netta rufina
637.0,soupoc1,Southern Pochard,Netta erythrophthalma
640.0,robpoc1,Rosy-billed Pochard,Netta peposaca
641.0,canvas,Canvasback,Aythya valisineria
642.0,redhea,Redhead,Aythya americana
645.0,compoc,Common Pochard,Aythya ferina
648.0,rinduc,Ring-necked Duck,Aythya collaris
652.0,ferduc,Ferruginous Duck,Aythya nyroca
655.0,madpoc1,Madagascar Pochard,Aythya innotata
656.0,baepoc1,Baer's Pochard,Aythya baeri
660.0,wheduc1,Hardhead,Aythya australis
662.0,tufduc,Tufted Duck,Aythya fuligula
668.0,nezsca1,New Zealand Scaup,Aythya novaeseelandiae
669.0,gresca,Greater Scaup,Aythya marila
675.0,lessca,Lesser Scaup,Aythya affinis
685.0,steeid,Steller's Eider,Polysticta stelleri
686.0,labduc,Labrador Duck,Camptorhynchus labradorius
687.0,speeid,Spectacled Eider,Somateria fischeri
688.0,kineid,King Eider,Somateria spectabilis
690.0,comeid,Common Eider,Somateria mollissima
702.0,harduc,Harlequin Duck,Histrionicus histrionicus
703.0,sursco,Surf Scoter,Melanitta perspicillata
704.0,whwsco3,Velvet Scoter,Melanitta fusca
705.0,whwsco2,White-winged Scoter,Melanitta deglandi
706.0,whwsco1,Stejneger's Scoter,Melanitta stejnegeri
711.0,blksco1,Common Scoter,Melanitta nigra
712.0,blksco2,Black Scoter,Melanitta americana
716.0,lotduc,Long-tailed Duck,Clangula hyemalis
717.0,buffle,Bufflehead,Bucephala albeola
718.0,comgol,Common Goldeneye,Bucephala clangula
723.0,bargol,Barrow's Goldeneye,Bucephala islandica
727.0,smew,Smew,Mergellus albellus
729.0,hoomer,Hooded Merganser,Lophodytes cucullatus
736.0,auimer1,Auckland Islands Merganser,Mergus australis
737.0,commer,Common Merganser,Mergus merganser
744.0,bramer1,Brazilian Merganser,Mergus octosetaceus
745.0,rebmer,Red-breasted Merganser,Mergus serrator
749.0,scsmer1,Scaly-sided Merganser,Mergus squamatus
751.0,blhduc1,Black-headed Duck,Heteronetta atricapilla
752.0,masduc,Masked Duck,Nomonyx dominicus
753.0,rudduc,Ruddy Duck,Oxyura jamaicensis
755.0,andduc1,Andean Duck,Oxyura ferruginea
758.0,whhduc1,White-headed Duck,Oxyura leucocephala
760.0,macduc1,Maccoa Duck,Oxyura maccoa
761.0,lakduc1,Lake Duck,Oxyura vittata
763.0,blbduc1,Blue-billed Duck,Oxyura australis
764.0,musduc1,Musk Duck,Biziura lobata
770.0,ausbrt1,Australian Brushturkey,Alectura lathami
773.0,watbrt1,Wattled Brushturkey,Aepypodius arfakianus
776.0,brubrt1,Waigeo Brushturkey,Aepypodius bruijnii
777.0,rebbrt1,Red-billed Brushturkey,Talegalla cuvieri
780.0,bkbbrt1,Yellow-legged Brushturkey,Talegalla fuscirostris
785.0,bncbrt1,Red-legged Brushturkey,Talegalla jobiensis
789.0,mallee1,Malleefowl,Leipoa ocellata
790.0,maleo1,Maleo,Macrocephalon maleo
791.0,molscr1,Moluccan Megapode,Eulipoa wallacei
792.0,niuscr1,Tongan Megapode,Megapodius pritchardii
793.0,micscr1,Micronesian Megapode,Megapodius laperouse
796.0,nicscr1,Nicobar Megapode,Megapodius nicobariensis
799.0,tabscr1,Philippine Megapode,Megapodius cumingii
807.0,sulscr1,Sula Megapode,Megapodius bernsteinii
808.0,tanscr1,Tanimbar Megapode,Megapodius tenimberensis
809.0,dusscr1,Dusky Megapode,Megapodius freycinet
817.0,dusscr3,Biak Megapode,Megapodius geelvinkianus
818.0,melscr1,Melanesian Megapode,Megapodius eremita
819.0,vanscr1,Vanuatu Megapode,Megapodius layardi
820.0,negscr1,New Guinea Megapode,Megapodius decollatus
821.0,orfscr1,Orange-footed Megapode,Megapodius reinwardt
828.0,placha,Plain Chachalaca,Ortalis vetula
833.0,grhcha1,Gray-headed Chachalaca,Ortalis cinereiceps
834.0,chwcha1,Chestnut-winged Chachalaca,Ortalis garrula
835.0,ruvcha1,Rufous-vented Chachalaca,Ortalis ruficauda
