taxonKey	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity	relativeRatio	relativePercent	splitScientificName	splitExtras
7811145	7811145	Myiothlypis nigrocristata (Lafresnaye, 1840)	49	SPECIES	ACCEPTED	Passeriformes	729.0	Parulidae	5263.0	Myiothlypis	7341612.0	Myiothlypis nigrocristata	7811145.0	LC	7.553056367380662e-05	Uncommon	0.02792022792022792	2.79%	Myiothlypis nigrocristata	(Lafresnaye, 1840)
7415507	7415507	Leiothlypis peregrina (A.Wilson, 1811)	21	SPECIES	ACCEPTED	Passeriformes	729.0	Parulidae	5263.0	Leiothlypis	7467942.0	Leiothlypis peregrina	7415507.0	LC	3.237024157448855e-05	Rare	1.0	100.0%	Leiothlypis peregrina	(A.Wilson, 1811)
5231190	5231190	Passer domesticus (Linnaeus, 1758)	40	SPECIES	ACCEPTED	Passeriformes	729.0	Passeridae	5264.0	Passer	2492321.0	Passer domesticus	5231190.0	LC	6.165760299902582e-05	Uncommon	1.0	100.0%	Passer domesticus	(Linnaeus, 1758)
2487672	2487672	Manacus manacus (Linnaeus, 1766)	85	SPECIES	ACCEPTED	Passeriformes	729.0	Pipridae	5270.0	Manacus	2487665.0	Manacus manacus	2487672.0	LC	0.00013102240637292983	Uncommon	1.0	100.0%	Manacus manacus	(Linnaeus, 1766)
2487740	2487740	Masius chrysopterus (Lafresnaye, 1843)	568	SPECIES	ACCEPTED	Passeriformes	729.0	Pipridae	5270.0	Masius	2487739.0	Masius chrysopterus	2487740.0	LC	0.0008755379625861665	Uncommon	0.9964912280701754	99.6%	Masius chrysopterus	(Lafresnaye, 1843)
6171777	6171777	Masius chrysopterus coronulatus P.L.Sclater, 1860	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Pipridae	5270.0	Masius	2487739.0	Masius chrysopterus	2487740.0		3.0828801499512905e-06	Rare	0.0035087719298245615	0.351%	Masius chrysopterus	coronulatus P.L.Sclater, 1860
6171703	6171703	Machaeropterus regulus striolatus (Bonaparte, 1838)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Pipridae	5270.0	Machaeropterus	2487746.0	Machaeropterus regulus	2487747.0		1.5414400749756452e-06	Very Rare	0.0005844535359438924	0.058%	Machaeropterus regulus	striolatus (Bonaparte, 1838)
2487754	2487754	Machaeropterus deliciosus (P.L.Sclater, 1860)	1710	SPECIES	ACCEPTED	Passeriformes	729.0	Pipridae	5270.0	Machaeropterus	2487746.0	Machaeropterus deliciosus	2487754.0	LC	0.0026358625282083535	Common	0.9994155464640561	99.9%	Machaeropterus deliciosus	(P.L.Sclater, 1860)
2490963	2490963	Myornis senilis (Lafresnaye, 1840)	8	SPECIES	ACCEPTED	Passeriformes	729.0	Rhinocryptidae	5281.0	Myornis	2490962.0	Myornis senilis	2490963.0	LC	1.2331520599805162e-05	Rare	1.0	100.0%	Myornis senilis	(Lafresnaye, 1840)
2490975	2490975	Acropternis orthonyx (Lafresnaye, 1843)	35	SPECIES	ACCEPTED	Passeriformes	729.0	Rhinocryptidae	5281.0	Acropternis	2490974.0	Acropternis orthonyx	2490975.0	LC	5.395040262414758e-05	Uncommon	1.0	100.0%	Acropternis orthonyx	(Lafresnaye, 1843)
