taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory	absoluteRatio	rarity
9485798	Thamnistes anabatinus P.L.Sclater & Salvin, 1860	9485798	Thamnistes anabatinus P.L.Sclater & Salvin, 1860	91	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Thamnistes	2490054.0	Thamnistes anabatinus	9485798.0	LC	0.00014027104682278371	Uncommon
7493446	Drymophila striaticeps Chapman, 1912	7493446	Drymophila striaticeps Chapman, 1912	301	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Drymophila	2490056.0	Drymophila striaticeps	7493446.0	LC	0.00046397346256766924	Uncommon
8354252	Cercomacroides tyrannina (P.L.Sclater, 1855)	2490136	Cercomacra tyrannina (P.L.Sclater, 1855)	39	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Cercomacra	2490128.0	Cercomacra tyrannina	2490136.0	LC	6.0116162924050165e-05	Uncommon
2490153	Myrmeciza immaculata (Lafresnaye, 1845)	2490153	Myrmeciza immaculata (Lafresnaye, 1845)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza immaculata	2490153.0	NE	1.5414400749756452e-06	Very Rare
9599432	Poliocrania exsul (P.L.Sclater, 1859)	2490163	Myrmeciza exsul P.L.Sclater, 1859	1341	SPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza exsul	2490163.0	LC	0.00206707114054234	Common
9577438	Poliocrania exsul maculifer (Hellmayr, 1906)	6090729	Myrmeciza exsul maculifer (Hellmayr, 1906)	2	SUBSPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza exsul	2490163.0		3.0828801499512905e-06	Rare
9524245	Hafferia zeledoni berlepschi (Ridgway, 1909)	7459131	Myrmeciza zeledoni Ridgway, 1909	2	SUBSPECIES	SYNONYM	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmeciza	2490145.0	Myrmeciza zeledoni	7459131.0		3.0828801499512905e-06	Rare
2490172	Myrmotherula pacifica Hellmayr, 1911	2490172	Myrmotherula pacifica Hellmayr, 1911	1227	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula pacifica	2490172.0	LC	0.0018913469719951167	Common
2490191	Myrmotherula axillaris (Vieillot, 1817)	2490191	Myrmotherula axillaris (Vieillot, 1817)	9	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula axillaris	2490191.0	LC	1.3872960674780808e-05	Rare
2490202	Myrmotherula schisticolor (Lawrence, 1865)	2490202	Myrmotherula schisticolor (Lawrence, 1865)	874	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula schisticolor	2490202.0	LC	0.001347218625528714	Common
7341689	Myrmotherula schisticolor schisticolor	7341689	Myrmotherula schisticolor schisticolor	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Myrmotherula	2490167.0	Myrmotherula schisticolor	2490202.0		7.707200374878227e-06	Rare
2490224	Taraba major (Vieillot, 1816)	2490224	Taraba major (Vieillot, 1816)	423	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Taraba	2490223.0	Taraba major	2490224.0	LC	0.0006520291517146979	Uncommon
6093898	Taraba major transandeanus (P.L.Sclater, 1855)	6093898	Taraba major transandeanus (P.L.Sclater, 1855)	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Taraba	2490223.0	Taraba major	2490224.0		1.5414400749756452e-06	Very Rare
2490240	Microrhopias quixensis (Cornalia, 1849)	2490240	Microrhopias quixensis (Cornalia, 1849)	25	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Microrhopias	2490239.0	Microrhopias quixensis	2490240.0	LC	3.853600187439113e-05	Uncommon
5788647	Sipia nigricauda (Cassin, 1850)	5788647	Sipia nigricauda (Cassin, 1850)	274	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Sipia	4846854.0	Sipia nigricauda	5788647.0	LC	0.0004223545805433268	Uncommon
5959200	Thamnophilus atrinucha Salvin & Godman, 1892	5959200	Thamnophilus atrinucha Salvin & Godman, 1892	26	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Thamnophilus	5959199.0	Thamnophilus atrinucha	5959200.0	LC	4.0077441949366774e-05	Uncommon
5959212	Thamnophilus unicolor (P.L.Sclater, 1859)	5959212	Thamnophilus unicolor (P.L.Sclater, 1859)	346	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Thamnophilus	5959199.0	Thamnophilus unicolor	5959212.0	LC	0.0005333382659415733	Uncommon
7341890	Thamnophilus unicolor unicolor	7341890	Thamnophilus unicolor unicolor	6	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Thamnophilus	5959199.0	Thamnophilus unicolor	5959212.0		9.248640449853871e-06	Rare
5788655	Epinecrophylla fulviventris (Lawrence, 1862)	5788655	Epinecrophylla fulviventris (Lawrence, 1862)	7	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Epinecrophylla	7341726.0	Epinecrophylla fulviventris	5788655.0	LC	1.0790080524829517e-05	Rare
9379128	Hafferia zeledoni (Pelzeln, 1868)	9379128	Hafferia zeledoni (Pelzeln, 1868)	2571	SPECIES	ACCEPTED	Passeriformes	729.0	Thamnophilidae	5286.0	Hafferia	9581587.0	Hafferia zeledoni	9379128.0	LC	0.003963042432762384	Common
2490712	Entomodestes coracinus (Berlepsch, 1897)	2490712	Entomodestes coracinus (Berlepsch, 1897)	58	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Entomodestes	2490711.0	Entomodestes coracinus	2490712.0	LC	8.940352434858743e-05	Uncommon
2490717	Turdus fuscater Orbigny & Lafresnaye, 1837	2490717	Turdus fuscater Orbigny & Lafresnaye, 1837	190	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus fuscater	2490717.0	LC	0.0002928736142453726	Uncommon
2490754	Turdus obsoletus Lawrence, 1862	2490754	Turdus obsoletus Lawrence, 1862	70	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus obsoletus	2490754.0	LC	0.00010790080524829516	Uncommon
2490776	Turdus maculirostris Berlepsch & Taczanowski, 1884	2490776	Turdus maculirostris Berlepsch & Taczanowski, 1884	7381	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus maculirostris	2490776.0	LC	0.011377369193395237	Abundant
2490784	Turdus serranus Tschudi, 1844	2490784	Turdus serranus Tschudi, 1844	195	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus serranus	2490784.0	LC	0.0003005808146202508	Uncommon
6093940	Turdus serranus fuscobrunneus (Chapman, 1912)	6093940	Turdus serranus fuscobrunneus (Chapman, 1912)	3	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus serranus	2490784.0		4.624320224926936e-06	Rare
5789052	Turdus leucops Taczanowski, 1877	5789052	Turdus leucops Taczanowski, 1877	261	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus leucops	5789052.0	LC	0.0004023158595686434	Uncommon
6100894	Turdus daguae Berlepsch, 1897	6100894	Turdus daguae Berlepsch, 1897	2	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus daguae	6100894.0	NE	3.0828801499512905e-06	Rare
9529632	Turdus assimilis Cabanis, 1850	9529632	Turdus assimilis Cabanis, 1850	10	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Turdus	2490714.0	Turdus assimilis	9529632.0	LC	1.5414400749756454e-05	Rare
2490802	Catharus fuscater (Lafresnaye, 1845)	2490802	Catharus fuscater (Lafresnaye, 1845)	49	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Catharus	2490799.0	Catharus fuscater	2490802.0	LC	7.553056367380662e-05	Uncommon
9784421	Catharus maculatus (P.L.Sclater, 1858)	6086112	Catharus dryas maculatus (P.L.Sclater, 1858)	105	SPECIES	SYNONYM	Passeriformes	729.0	Turdidae	5290.0	Catharus	2490799.0	Catharus dryas	2490808.0	LC	0.00016185120787244275	Uncommon
9651823	Catharus maculatus maculatus	6086112	Catharus dryas maculatus (P.L.Sclater, 1858)	4	SUBSPECIES	SYNONYM	Passeriformes	729.0	Turdidae	5290.0	Catharus	2490799.0	Catharus dryas	2490808.0		6.165760299902581e-06	Rare
2490821	Catharus ustulatus (Nuttall, 1840)	2490821	Catharus ustulatus (Nuttall, 1840)	3630	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Catharus	2490799.0	Catharus ustulatus	2490821.0	LC	0.005595427472161592	Common
6171849	Catharus ustulatus swainsoni (Tschudi, 1845)	6171849	Catharus ustulatus swainsoni (Tschudi, 1845)	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Catharus	2490799.0	Catharus ustulatus	2490821.0		3.0828801499512905e-06	Rare
2490848	Myadestes ralloides (Orbigny, 1840)	2490848	Myadestes ralloides (Orbigny, 1840)	1793	SPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Myadestes	2490834.0	Myadestes ralloides	2490848.0	LC	0.002763802054431332	Common
6086489	Myadestes ralloides plumbeiceps Hellmayr, 1921	6086489	Myadestes ralloides plumbeiceps Hellmayr, 1921	6	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Turdidae	5290.0	Myadestes	2490834.0	Myadestes ralloides	2490848.0		9.248640449853871e-06	Rare
2482688	Anairetes parulus (Kittlitz, 1830)	2482688	Anairetes parulus (Kittlitz, 1830)	13	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Anairetes	2482676.0	Anairetes parulus	2482688.0	LC	2.0038720974683387e-05	Rare
5229505	Leptopogon superciliaris Tschudi, 1844	5229505	Leptopogon superciliaris Tschudi, 1844	3762	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Leptopogon	2482709.0	Leptopogon superciliaris	5229505.0	LC	0.005798897562058377	Common
7192090	Leptopogon superciliaris superciliaris	7192090	Leptopogon superciliaris superciliaris	10	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Leptopogon	2482709.0	Leptopogon superciliaris	5229505.0		1.5414400749756454e-05	Rare
5229507	Leptopogon superciliaris transandinus Berlepsch & Taczanowski, 1884	5229507	Leptopogon superciliaris transandinus Berlepsch & Taczanowski, 1884	3	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Leptopogon	2482709.0	Leptopogon superciliaris	5229505.0		4.624320224926936e-06	Rare
2482786	Empidonax traillii (Audubon, 1828)	2482786	Empidonax traillii (Audubon, 1828)	2	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Empidonax	2482766.0	Empidonax traillii	2482786.0	LC	3.0828801499512905e-06	Rare
2482802	Empidonax virescens (Vieillot, 1818)	2482802	Empidonax virescens (Vieillot, 1818)	569	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Empidonax	2482766.0	Empidonax virescens	2482802.0	LC	0.0008770794026611422	Uncommon
5229534	Mionectes striaticollis (Orbigny & Lafresnaye, 1837)	5229534	Mionectes striaticollis (Orbigny & Lafresnaye, 1837)	274	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes striaticollis	5229534.0	LC	0.0004223545805433268	Uncommon
5229541	Mionectes oleagineus (Lichtenstein, 1823)	5229541	Mionectes oleagineus (Lichtenstein, 1823)	4	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes oleagineus	5229541.0	LC	6.165760299902581e-06	Rare
5229529	Mionectes olivaceus hederaceus Bangs, 1910	5229529	Mionectes olivaceus hederaceus Bangs, 1910	8	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes olivaceus	9504121.0		1.2331520599805162e-05	Rare
9504121	Mionectes olivaceus Lawrence, 1868	9504121	Mionectes olivaceus Lawrence, 1868	2	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes olivaceus	9504121.0	LC	3.0828801499512905e-06	Rare
10803607	Mionectes galbinus Bangs, 1902	10803607	Mionectes galbinus Bangs, 1902	245	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes galbinus	10803607.0	LC	0.0003776528183690331	Uncommon
12239740	Mionectes galbinus hederaceus Bangs, 1910	12239740	Mionectes galbinus hederaceus Bangs, 1910	3	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Mionectes	2482811.0	Mionectes galbinus	10803607.0		4.624320224926936e-06	Rare
5229568	Fluvicola nengeta (Linnaeus, 1766)	5229568	Fluvicola nengeta (Linnaeus, 1766)	2192	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Fluvicola	2482857.0	Fluvicola nengeta	5229568.0	LC	0.0033788366443466143	Common
5229569	Fluvicola nengeta atripennis P.L.Sclater, 1860	5229569	Fluvicola nengeta atripennis P.L.Sclater, 1860	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Fluvicola	2482857.0	Fluvicola nengeta	5229568.0		1.5414400749756452e-06	Very Rare
2482867	Myiornis atricapillus (Lawrence, 1875)	2482867	Myiornis atricapillus (Lawrence, 1875)	12	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiornis	2482865.0	Myiornis atricapillus	2482867.0	LC	1.8497280899707743e-05	Rare
6101060	Tolmomyias flavotectus (Hartert & Ejo, 1902)	6174946	Tolmomyias assimilis flavotectus (Hartert, 1902)	31	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Tolmomyias	2482872.0	Tolmomyias assimilis	2482899.0	LC	4.7784642324245e-05	Uncommon
2482913	Myiozetetes similis (Spix, 1825)	2482913	Myiozetetes similis (Spix, 1825)	2735	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiozetetes	2482912.0	Myiozetetes similis	2482913.0	LC	0.00421583860505839	Common
2482921	Myiozetetes cayanensis (Linnaeus, 1766)	2482921	Myiozetetes cayanensis (Linnaeus, 1766)	5763	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiozetetes	2482912.0	Myiozetetes cayanensis	2482921.0	LC	0.008883319152084644	Abundant
6174610	Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917	6174610	Myiozetetes cayanensis hellmayri Hartert & Goodson, 1917	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiozetetes	2482912.0	Myiozetetes cayanensis	2482921.0		7.707200374878227e-06	Rare
2482929	Myiozetetes granadensis Lawrence, 1862	2482929	Myiozetetes granadensis Lawrence, 1862	479	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiozetetes	2482912.0	Myiozetetes granadensis	2482929.0	LC	0.0007383497959133341	Uncommon
2482940	Legatus leucophaius (Vieillot, 1818)	2482940	Legatus leucophaius (Vieillot, 1818)	362	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Legatus	2482939.0	Legatus leucophaius	2482940.0	LC	0.0005580013071411836	Uncommon
2482947	Myiopagis viridicata (Vieillot, 1817)	2482947	Myiopagis viridicata (Vieillot, 1817)	75	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiopagis	2482944.0	Myiopagis viridicata	2482947.0	LC	0.00011560800562317339	Uncommon
2483043	Knipolegus poecilurus (P.L.Sclater, 1862)	2483043	Knipolegus poecilurus (P.L.Sclater, 1862)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Knipolegus	2483026.0	Knipolegus poecilurus	2483043.0	LC	1.5414400749756452e-06	Very Rare
9701018	Platyrinchus mystaceus Vieillot, 1818	9701018	Platyrinchus mystaceus Vieillot, 1818	315	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Platyrinchus	2483053.0	Platyrinchus mystaceus	9701018.0	LC	0.00048555362361732825	Uncommon
5229588	Platyrinchus mystaceus albogularis P.L.Sclater, 1860	5229588	Platyrinchus mystaceus albogularis P.L.Sclater, 1860	6	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Platyrinchus	2483053.0	Platyrinchus mystaceus	9701018.0		9.248640449853871e-06	Rare
5229606	Elaenia flavogaster (Thunberg, 1822)	5229606	Elaenia flavogaster (Thunberg, 1822)	1255	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Elaenia	2483089.0	Elaenia flavogaster	5229606.0	LC	0.0019345072940944348	Common
5229610	Elaenia flavogaster semipagana P.L.Sclater, 1862	5229610	Elaenia flavogaster semipagana P.L.Sclater, 1862	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Elaenia	2483089.0	Elaenia flavogaster	5229606.0		1.5414400749756452e-06	Very Rare
5229651	Elaenia albiceps (Orbigny & Lafresnaye, 1837)	5229651	Elaenia albiceps (Orbigny & Lafresnaye, 1837)	128	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Elaenia	2483089.0	Elaenia albiceps	5229651.0	LC	0.0001973043295968826	Uncommon
8921536	Elaenia brachyptera Berlepsch, 1907	8921536	Elaenia brachyptera Berlepsch, 1907	678	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Elaenia	2483089.0	Elaenia brachyptera	8921536.0	LC	0.0010450963708334875	Uncommon
9514023	Elaenia pallatangae P.L.Sclater, 1862	9514023	Elaenia pallatangae P.L.Sclater, 1862	117	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Elaenia	2483089.0	Elaenia pallatangae	9514023.0	LC	0.00018034848877215048	Uncommon
2483152	Ochthoeca cinnamomeiventris (Lafresnaye, 1843)	2483152	Ochthoeca cinnamomeiventris (Lafresnaye, 1843)	55	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Ochthoeca	2483148.0	Ochthoeca cinnamomeiventris	2483152.0	LC	8.477920412366049e-05	Uncommon
2483175	Silvicultrix diadema (Hartlaub, 1843)	2483172	Ochthoeca diadema (Hartlaub, 1843)	22	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Ochthoeca	2483148.0	Ochthoeca diadema	2483172.0	LC	3.39116816494642e-05	Uncommon
2483194	Ochthoeca frontalis (Lafresnaye, 1847)	2483194	Ochthoeca frontalis (Lafresnaye, 1847)	1	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Ochthoeca	2483148.0	Ochthoeca frontalis	2483194.0	LC	1.5414400749756452e-06	Very Rare
6101062	Pogonotriccus ophthalmicus Taczanowski, 1874	2483217	Phylloscartes ophthalmicus (Taczanowski, 1874)	923	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Phylloscartes	2483199.0	Phylloscartes ophthalmicus	2483217.0	LC	0.0014227491892025205	Common
8983717	Pogonotriccus ophthalmicus ophthalmicus	2483217	Phylloscartes ophthalmicus (Taczanowski, 1874)	3	SUBSPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Phylloscartes	2483199.0	Phylloscartes ophthalmicus	2483217.0		4.624320224926936e-06	Rare
2483261	Todirostrum nigriceps P.L.Sclater, 1855	2483261	Todirostrum nigriceps P.L.Sclater, 1855	37	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Todirostrum	2483258.0	Todirostrum nigriceps	2483261.0	LC	5.7033282774098876e-05	Uncommon
2483274	Todirostrum cinereum (Linnaeus, 1766)	2483274	Todirostrum cinereum (Linnaeus, 1766)	1480	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Todirostrum	2483258.0	Todirostrum cinereum	2483274.0	LC	0.002281331310963955	Common
6174501	Todirostrum cinereum sclateri (Cabanis & Heine, 1859)	6174501	Todirostrum cinereum sclateri (Cabanis & Heine, 1859)	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Todirostrum	2483258.0	Todirostrum cinereum	2483274.0		3.0828801499512905e-06	Rare
2483293	Myiobius villosus P.L.Sclater, 1860	2483293	Myiobius villosus P.L.Sclater, 1860	378	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiobius	2483292.0	Myiobius villosus	2483293.0	LC	0.0005826643483407939	Uncommon
7192071	Myiobius villosus villosus	7192071	Myiobius villosus villosus	5	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiobius	2483292.0	Myiobius villosus	2483293.0		7.707200374878227e-06	Rare
2483310	Myiobius sulphureipygius (P.L.Sclater, 1857)	6174533	Myiobius barbatus sulphureipygius (P.L.Sclater, 1857)	41	SPECIES	SYNONYM	Passeriformes	729.0	Tyrannidae	5291.0	Myiobius	2483292.0	Myiobius barbatus	2483306.0	LC	6.319904307400145e-05	Uncommon
2483326	Myiotheretes striaticollis (P.L.Sclater, 1853)	2483326	Myiotheretes striaticollis (P.L.Sclater, 1853)	9	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiotheretes	2483325.0	Myiotheretes striaticollis	2483326.0	LC	1.3872960674780808e-05	Rare
2483329	Myiotheretes fumigatus (Boissonneau, 1840)	2483329	Myiotheretes fumigatus (Boissonneau, 1840)	4	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiotheretes	2483325.0	Myiotheretes fumigatus	2483329.0	LC	6.165760299902581e-06	Rare
5229662	Tyrannus melancholicus Vieillot, 1819	5229662	Tyrannus melancholicus Vieillot, 1819	10188	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannus	2483336.0	Tyrannus melancholicus	5229662.0	LC	0.015704191483851875	Abundant
7060955	Tyrannus melancholicus melancholicus	7060955	Tyrannus melancholicus melancholicus	4	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannus	2483336.0	Tyrannus melancholicus	5229662.0		6.165760299902581e-06	Rare
5229677	Tyrannus niveigularis P.L.Sclater, 1860	5229677	Tyrannus niveigularis P.L.Sclater, 1860	87	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannus	2483336.0	Tyrannus niveigularis	5229677.0	LC	0.00013410528652288114	Uncommon
5229688	Tyrannus tyrannus (Linnaeus, 1758)	5229688	Tyrannus tyrannus (Linnaeus, 1758)	6	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannus	2483336.0	Tyrannus tyrannus	5229688.0	LC	9.248640449853871e-06	Rare
5229693	Tyrannus savana Vieillot, 1808	5229693	Tyrannus savana Vieillot, 1808	7	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Tyrannus	2483336.0	Tyrannus savana	5229693.0	LC	1.0790080524829517e-05	Rare
2483382	Ornithion brunneicapillus (Lawrence, 1862)	2483382	Ornithion brunneicapillus (Lawrence, 1862)	51	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Ornithion	2483379.0	Ornithion brunneicapillus	2483382.0	LC	7.861344382375791e-05	Uncommon
2483402	Lophotriccus pileatus (Tschudi, 1844)	2483402	Lophotriccus pileatus (Tschudi, 1844)	5134	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Lophotriccus	2483395.0	Lophotriccus pileatus	2483402.0	LC	0.007913753344924963	Abundant
6174878	Lophotriccus pileatus squamaecrista (Lafresnaye, 1846)	6174878	Lophotriccus pileatus squamaecrista (Lafresnaye, 1846)	14	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Lophotriccus	2483395.0	Lophotriccus pileatus	2483402.0		2.1580161049659035e-05	Rare
6174879	Lophotriccus pileatus luteiventris Taczanowski, 1884	6174879	Lophotriccus pileatus luteiventris Taczanowski, 1884	1	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Lophotriccus	2483395.0	Lophotriccus pileatus	2483402.0		1.5414400749756452e-06	Very Rare
2483410	Megarynchus pitangua (Linnaeus, 1766)	2483410	Megarynchus pitangua (Linnaeus, 1766)	121	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Megarynchus	2483409.0	Megarynchus pitangua	2483410.0	LC	0.00018651424907205309	Uncommon
5229712	Rhynchocyclus pacificus (Chapman, 1914)	5229712	Rhynchocyclus pacificus (Chapman, 1914)	13	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Rhynchocyclus	2483432.0	Rhynchocyclus pacificus	5229712.0	LC	2.0038720974683387e-05	Rare
5229713	Rhynchocyclus fulvipectus (P.L.Sclater, 1860)	5229713	Rhynchocyclus fulvipectus (P.L.Sclater, 1860)	32	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Rhynchocyclus	2483432.0	Rhynchocyclus fulvipectus	5229713.0	LC	4.932608239922065e-05	Uncommon
2483489	Myiodynastes hemichrysus (Cabanis, 1861)	2483489	Myiodynastes hemichrysus (Cabanis, 1861)	2837	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiodynastes	2483488.0	Myiodynastes hemichrysus	2483489.0	LC	0.004373065492705905	Common
12250463	Myiodynastes hemichrysus minor Taczanowski & Berlepsch, 1885	12250463	Myiodynastes hemichrysus minor Taczanowski & Berlepsch, 1885	17	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiodynastes	2483488.0	Myiodynastes hemichrysus	2483489.0		2.6204481274585968e-05	Rare
2483490	Myiodynastes chrysocephalus (Tschudi, 1844)	2483490	Myiodynastes chrysocephalus (Tschudi, 1844)	6	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiodynastes	2483488.0	Myiodynastes chrysocephalus	2483490.0	LC	9.248640449853871e-06	Rare
6174744	Myiodynastes chrysocephalus minor Taczanowski & Berlepsch, 1885	6174744	Myiodynastes chrysocephalus minor Taczanowski & Berlepsch, 1885	2	SUBSPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiodynastes	2483488.0	Myiodynastes chrysocephalus	2483490.0		3.0828801499512905e-06	Rare
2483497	Myiodynastes maculatus (Statius Muller, 1776)	2483497	Myiodynastes maculatus (Statius Muller, 1776)	317	SPECIES	ACCEPTED	Passeriformes	729.0	Tyrannidae	5291.0	Myiodynastes	2483488.0	Myiodynastes maculatus	2483497.0	LC	0.0004886365037672795	Uncommon
