"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"2480876","kleinwitreier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2441044","klipspringer","afr","af","Afrikaans","afrikaans","Afrikaans"
"2498001","knobbeleend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2475250","knysnaloerie","afr","af","Afrikaans","afrikaans","Afrikaans"
"5220183","koedoe","afr","af","Afrikaans","afrikaans","Afrikaans"
"2420726","koesterhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"2418184","kolsterhaai","afr","af","Afrikaans","afrikaans","Afrikaans"
"5216248","kortvin-mako","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440605","kortvinloodswalvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2777537","kransaalwyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"5178282","kreef","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480391","kroonarend","afr","af","Afrikaans","afrikaans","Afrikaans"
"2482054","kuifkopdobbertjie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2473325","kuifkoptarentaal","afr","af","Afrikaans","afrikaans","Afrikaans"
"2480564","langbeenjakkalsvoël","afr","af","Afrikaans","afrikaans","Afrikaans"
"2474850","langbeenkorhaan","afr","af","Afrikaans","afrikaans","Afrikaans"
"7282135","langdoringkaktus","afr","af","Afrikaans","afrikaans","Afrikaans"
"5216288","langkam-saagvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"5201089","langneus-seeperdjie","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440596","langvinloodswalvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"1938125","lemoen-swaelstert","afr","af","Afrikaans","afrikaans","Afrikaans"
"5213048","madagaskar-bontpaling","afr","af","Afrikaans","afrikaans","Afrikaans"
"5229385","magellaanpikkewyn","afr","af","Afrikaans","afrikaans","Afrikaans"
"5228229","mahem","afr","af","Afrikaans","afrikaans","Afrikaans"
"9451184","makpou","afr","af","Afrikaans","afrikaans","Afrikaans"
"2435294","mami wata","afr","af","Afrikaans","afrikaans","Afrikaans"
"2435037","miershooptier","afr","af","Afrikaans","afrikaans","Afrikaans"
"2350050","miljoenvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440728","minke-walvis","afr","af","Afrikaans","afrikaans","Afrikaans"
"2440483","moordvis","afr","af","Afrikaans","afrikaans","Afrikaans"
