sort v2024,species_code,English name,scientific name,taxonKey,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory,absoluteRatio,rarity,relativeRatio,relativePercent,splitScientificName,splitExtras
11737.0,goowoo1,Golden-olive Woodpecker,Colaptes rubiginosus,6540192,6540192,"Colaptes rubiginosus rubripileus (Salvadori & Festa, 1900)",3,SUBSPECIES,ACCEPTED,Piciformes,724.0,Picidae,9333.0,Colaptes,11016979.0,Colaptes rubiginosus,7340161.0,,4.624320224926936e-06,Rare,0.0009104704097116,0.091%,Colaptes rubiginosus,"rubripileus (Salvadori & Festa, 1900)"
10830.0,chotou1,Choco Toucan,Ramphastos brevis,2478769,2478769,"Ramphastos brevis Meyer de Schauensee, 1945",6618,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos brevis,2478769.0,LC,0.0102012504161888,Abundant,0.5032699619771863,50.3%,Ramphastos brevis,"Meyer de Schauensee, 1945"
10817.0,bkmtou1,Yellow-throated Toucan,Ramphastos ambiguus,2478779,2478779,"Ramphastos ambiguus Swainson, 1823",6526,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,NT,0.010059437929291,Abundant,0.4962737642585551,49.6%,Ramphastos ambiguus,"Swainson, 1823"
10817.0,bkmtou1,Yellow-throated Toucan,Ramphastos ambiguus,6540199,6540199,"Ramphastos ambiguus swainsonii Gould, 1833",6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Ramphastos,2478764.0,Ramphastos ambiguus,2478779.0,,9.248640449853871e-06,Rare,0.0004562737642585,0.046%,Ramphastos ambiguus,"swainsonii Gould, 1833"
10778.0,colara1,Collared Aracari,Pteroglossus torquatus,2478838,2478838,"Pteroglossus torquatus (J.F.Gmelin, 1788)",5337,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,LC,0.008226665680145,Abundant,0.9778307072187614,97.8%,Pteroglossus torquatus,"(J.F.Gmelin, 1788)"
10778.0,colara1,Collared Aracari,Pteroglossus torquatus,5844039,5844039,Pteroglossus torquatus erythropygius,57,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus torquatus,2478838.0,,8.786208427361178e-05,Uncommon,0.0104433858556247,1.04%,Pteroglossus torquatus,erythropygius
,,,,2478842,2478842,"Pteroglossus erythropygius Gould, 1843",64,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Pteroglossus,2478813.0,Pteroglossus erythropygius,2478842.0,LC,9.86521647984413e-05,Uncommon,0.0117259069256137,1.17%,Pteroglossus erythropygius,"Gould, 1843"
10769.0,bbmtou1,Black-billed Mountain-Toucan,Andigena nigrirostris,6176849,6176849,"Andigena nigrirostris spilorhynchus Gould, 1858",1,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena nigrirostris,2478854.0,,1.5414400749756452e-06,Very Rare,0.0051020408163265,0.510%,Andigena nigrirostris,"spilorhynchus Gould, 1858"
10767.0,pbmtou1,Plate-billed Mountain-Toucan,Andigena laminirostris,2478861,2478861,"Andigena laminirostris Gould, 1851",195,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Andigena,2478852.0,Andigena laminirostris,2478861.0,NT,0.0003005808146202,Uncommon,0.9948979591836736,99.5%,Andigena laminirostris,"Gould, 1851"
10758.0,crrtou1,Crimson-rumped Toucanet,Aulacorhynchus haematopygus,5229025,5229025,"Aulacorhynchus haematopygus (Gould, 1835)",4044,SPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,LC,0.0062335836632015,Common,0.9970414201183432,99.7%,Aulacorhynchus haematopygus,"(Gould, 1835)"
10758.0,crrtou1,Crimson-rumped Toucanet,Aulacorhynchus haematopygus,5229026,5229026,"Aulacorhynchus haematopygus sexnotatus Gould, 1868",12,SUBSPECIES,ACCEPTED,Piciformes,724.0,Ramphastidae,9343.0,Aulacorhynchus,2478937.0,Aulacorhynchus haematopygus,5229025.0,,1.8497280899707743e-05,Rare,0.0029585798816568,0.296%,Aulacorhynchus haematopygus,"sexnotatus Gould, 1868"
10711.0,rehbar1,Red-headed Barbet,Eubucco bourcierii,2478979,2478979,"Eubucco bourcierii (Lafresnaye, 1845)",6334,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,LC,0.0097634814348957,Abundant,0.999368886083938,99.9%,Eubucco bourcierii,"(Lafresnaye, 1845)"
10711.0,rehbar1,Red-headed Barbet,Eubucco bourcierii,6177007,6177007,"Eubucco bourcierii aequatorialis (Salvadori & Festa, 1900)",4,SUBSPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Eubucco,2478968.0,Eubucco bourcierii,2478979.0,,6.165760299902581e-06,Rare,0.0006311139160618,0.063%,Eubucco bourcierii,"aequatorialis (Salvadori & Festa, 1900)"
10683.0,orfbar1,Orange-fronted Barbet,Capito squamatus,2479030,2479030,"Capito squamatus Salvin, 1876",24,SPECIES,ACCEPTED,Piciformes,724.0,Capitonidae,3242201.0,Capito,2479028.0,Capito squamatus,2479030.0,LC,3.6994561799415486e-05,Uncommon,1.0,100.0%,Capito squamatus,"Salvin, 1876"
10725.0,toubar1,Toucan Barbet,Semnornis ramphastinus,2478863,2478863,"Semnornis ramphastinus (Jardine, 1855)",981,SPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,NT,0.0015121527135511,Common,0.993920972644377,99.4%,Semnornis ramphastinus,"(Jardine, 1855)"
10725.0,toubar1,Toucan Barbet,Semnornis ramphastinus,7059909,7059909,Semnornis ramphastinus ramphastinus,6,SUBSPECIES,ACCEPTED,Piciformes,724.0,Semnornithidae,6101214.0,Semnornis,2478862.0,Semnornis ramphastinus,2478863.0,,9.248640449853871e-06,Rare,0.0060790273556231,0.608%,Semnornis ramphastinus,ramphastinus
41.0,tabtin1,Tawny-breasted Tinamou,Nothocercus julius,2477472,2477472,"Nothocercus julius (Bonaparte, 1854)",10,SPECIES,ACCEPTED,Tinamiformes,726.0,Tinamidae,9353.0,Nothocercus,2477468.0,Nothocercus julius,2477472.0,LC,1.5414400749756454e-05,Rare,1.0,100.0%,Nothocercus julius,"(Bonaparte, 1854)"
