scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Myiodynastes hemichrysus,131358269,Golden-bellied Flycatcher,,Myiodynastes hemichrysus,gobfly1,Golden-bellied Flycatcher,Golden-bellied Flycatcher
Myiodynastes luteiventris,22700580,Sulphur-bellied Flycatcher,,,subfly,Sulphur-bellied Flycatcher,Sulphur-bellied Flycatcher
Myiodynastes maculatus,103682222,Northern Streaked Flycatcher,,,strfly1,Streaked Flycatcher,Streaked Flycatcher
Myiodynastes solitarius,22731714,Southern Streaked Flycatcher,Solitary Flycatcher,,,,
Myiomela cambodiana,22734062,Cambodian Blue Robin,Cambodian White-tailed Robin,,,,
Myiomela diana,22710114,Sunda Blue Robin,Sunda Robin,Cinclidium diana,sunrob1,Sunda Robin,Javan Blue Robin
Myiomela leucura,103768823,White-tailed Blue Robin,,Cinclidium leucurum,whtrob2,White-tailed Robin,White-tailed Robin
Myiopagis caniceps,103681536,Atlantic Grey Elaenia,,,gryela3,Gray-headed Elaenia,Grey-headed Elaenia
Myiopagis cinerea,103681580,Amazonian Grey Elaenia,,,gryela2,Amazonian Elaenia,Amazonian Elaenia
Myiopagis cotta,22699245,Small Jamaican Elaenia,Jamaican Elaenia,,jamela1,Jamaican Elaenia,Jamaican Elaenia
Myiopagis flavivertex,22699242,Yellow-crowned Elaenia,,,yecela1,Yellow-crowned Elaenia,Yellow-crowned Elaenia
Myiopagis gaimardii,22699230,Forest Elaenia,,,forela1,Forest Elaenia,Forest Elaenia
Myiopagis olallai,22729451,Foothill Elaenia,,,fooela1,Foothill Elaenia,Foothill Elaenia
Myiopagis parambae,103681584,Choco Grey Elaenia,,,gryela1,Choco Elaenia,Choco Elaenia
Myiopagis subplacens,22699239,Pacific Elaenia,,,pacela1,Pacific Elaenia,Pacific Elaenia
Myiopagis viridicata,22699248,Greenish Elaenia,,,greela,Greenish Elaenia,Greenish Elaenia
Myiophobus crypterythrus,103682414,Mouse-grey Flycatcher,,,brcfly4,Mouse-gray Flycatcher,Mouse-grey Flycatcher
Myiophobus cryptoxanthus,22699708,Olive-chested Flycatcher,,,olcfly1,Olive-chested Flycatcher,Olive-chested Flycatcher
Myiophobus fasciatus,103682408,Bran-colored Flycatcher,,,brcfly1,Bran-colored Flycatcher,Bran-colored Flycatcher
Myiophobus flavicans,22699668,Flavescent Flycatcher,,,flafly2,Flavescent Flycatcher,Flavescent Flycatcher
Myiophobus inornatus,22699674,Unadorned Flycatcher,,,unafly1,Unadorned Flycatcher,Unadorned Flycatcher
Myiophobus phoenicomitra,22699671,Orange-crested Flycatcher,,,orcfly1,Orange-crested Flycatcher,Orange-crested Flycatcher
Myiophobus roraimae,22699677,Roraiman Flycatcher,,,rorfly1,Roraiman Flycatcher,Roraiman Flycatcher
Myiophobus rufescens,103682419,Rufescent Flycatcher,,,brcfly3,Rufescent Flycatcher,Rufescent Flycatcher
Myiopsitta luchsi,45427286,Cliff Parakeet,,,,,Cliff Parakeet
Myiopsitta monachus,45427277,Monk Parakeet,,,monpar,Monk Parakeet,Monk Parakeet
Myiornis albiventris,22699534,White-bellied Pygmy-tyrant,"White-bellied Pygmy Tyrant, White-bellied Pygmy-Tyrant",,wbptyr1,White-bellied Pygmy-Tyrant,White-bellied Pygmy Tyrant
Myiornis atricapillus,22699544,Black-capped Pygmy-tyrant,"Black-capped Pygmy Tyrant, Black-capped Pygmy-Tyrant",,bcptyr1,Black-capped Pygmy-Tyrant,Black-capped Pygmy Tyrant
Myiornis auricularis,22699539,Eared Pygmy-tyrant,"Eared Pygmy Tyrant, Eared Pygmy-Tyrant",,eaptyr1,Eared Pygmy-Tyrant,Eared Pygmy Tyrant
Myiornis ecaudatus,22699549,Short-tailed Pygmy-tyrant,"Short-tailed Pygmy Tyrant, Short-tailed Pygmy-Tyrant",,stptyr1,Short-tailed Pygmy-Tyrant,Short-tailed Pygmy Tyrant
Myiotheretes fumigatus,22699997,Smoky Bush-tyrant,"Smoky Bush Tyrant, Smoky Bush-Tyrant",,smbtyr2,Smoky Bush-Tyrant,Smoky Bush Tyrant
Myiotheretes fuscorufus,22700002,Rufous-bellied Bush-tyrant,"Rufous-bellied Bush Tyrant, Rufous-bellied Bush-Tyrant",,rbbtyr1,Rufous-bellied Bush-Tyrant,Rufous-bellied Bush Tyrant
Myiotheretes pernix,22699992,Santa Marta Bush-tyrant,"Santa Marta Bush Tyrant, Santa Marta Bush-Tyrant",,smbtyr1,Santa Marta Bush-Tyrant,Santa Marta Bush Tyrant
Myiotheretes striaticollis,22699987,Streak-throated Bush-tyrant,"Streak-throated Bush Tyrant, Streak-throated Bush-Tyrant",,stbtyr1,Streak-throated Bush-Tyrant,Streak-throated Bush Tyrant
Myiothlypis basilica,22721982,Santa Marta Warbler,,Basileuterus basilicus,samwar1,Santa Marta Warbler,Santa Marta Warbler
Myiothlypis bivittata,103799746,Two-banded Warbler,,,twbwar1,Two-banded Warbler,Two-banded Warbler
Myiothlypis chlorophrys,103800433,Choco Warbler,,,gobwar4,Choco Warbler,Choco Warbler
Myiothlypis chrysogaster,103799796,Golden-bellied Warbler,,,gobwar3,Cuzco Warbler,Cuzco Warbler
Myiothlypis cinereicollis,22721985,Grey-throated Warbler,Gray-throated Warbler,Basileuterus cinereicollis,gytwar1,Gray-throated Warbler,Grey-throated Warbler
Myiothlypis conspicillata,22721989,White-lored Warbler,,Basileuterus conspicillatus,whlwar1,White-lored Warbler,White-lored Warbler
Myiothlypis coronata,22721992,Russet-crowned Warbler,,Basileuterus coronatus,rucwar1,Russet-crowned Warbler,Russet-crowned Warbler
Myiothlypis euophrys,105296143,Bolivian Citrine Warbler,,,,,
Myiothlypis flaveola,22722038,Flavescent Warbler,,Basileuterus flaveolus,flawar1,Flavescent Warbler,Flavescent Warbler
Myiothlypis fraseri,22721958,Grey-and-gold Warbler,Gray-and-gold Warbler,Basileuterus fraseri,gagwar2,Gray-and-gold Warbler,Grey-and-gold Warbler
Myiothlypis fulvicauda,22722041,Buff-rumped Warbler,,"Basileuterus fulvicauda fulvicauda, Phaeothlypis fulvicauda",burwar1,Buff-rumped Warbler,Buff-rumped Warbler
Myiothlypis leucoblephara,22722031,White-rimmed Warbler,White-browed Warbler,Basileuterus leucoblepharus,whbwar2,White-browed Warbler,White-rimmed Warbler
Myiothlypis leucophrys,22722035,White-striped Warbler,,Basileuterus leucophrys,whswar2,White-striped Warbler,White-striped Warbler
Myiothlypis luteoviridis,105296047,Northern Citrine Warbler,,,citwar1,Citrine Warbler,Citrine Warbler
Myiothlypis mesoleuca,103799622,Northern Riverbank Warbler,,Myiothlypis mesoleucus,,,
Myiothlypis nigrocristata,22721975,Black-crested Warbler,,Basileuterus nigrocristatus,blcwar2,Black-crested Warbler,Black-crested Warbler
Myiothlypis rivularis,103799599,Southern Riverbank Warbler,,,rivwar1,Riverbank Warbler,Riverbank Warbler
Myiothlypis roraimae,103799761,Roraiman Warbler,,,,,Roraiman Warbler
Myiothlypis signata,22721969,Pale-legged Warbler,,Basileuterus signatus,palwar1,Pale-legged Warbler,Pale-legged Warbler
Myiothlypis striaticeps,105296089,Peruvian Citrine Warbler,,,,,
Myiotriccus ornatus,103680660,Western Ornate Flycatcher,,,ornfly1,Ornate Flycatcher,Ornate Flycatcher
Myiotriccus phoenicurus,103680670,Eastern Ornate Flycatcher,,,,,
Myiozetetes cayanensis,22700583,Rusty-margined Flycatcher,,,rumfly1,Rusty-margined Flycatcher,Rusty-margined Flycatcher
Myiozetetes granadensis,22700589,Grey-capped Flycatcher,Gray-capped Flycatcher,,grcfly1,Gray-capped Flycatcher,Grey-capped Flycatcher
Myiozetetes luteiventris,22700593,Dusky-chested Flycatcher,,,ducfly2,Dusky-chested Flycatcher,Dusky-chested Flycatcher
Myiozetetes similis,22700586,Social Flycatcher,,,socfly1,Social Flycatcher,Social Flycatcher
Myophonus blighi,22708292,Sri Lanka Whistling-thrush,"Ceylon Whistling-Thrush, Sri Lanka Whistling Thrush","Myiophonus blighi, Myiophoneus blighi",ceywht1,Sri Lanka Whistling-Thrush,Sri Lanka Whistling Thrush
Myophonus borneensis,22732973,Bornean Whistling-thrush,,,borwht1,Bornean Whistling-Thrush,Bornean Whistling Thrush
Myophonus caeruleus,22708329,Blue Whistling-thrush,"Blue Whistling Thrush, Blue Whistling-Thrush",,blwthr1,Blue Whistling-Thrush,Blue Whistling Thrush
Myophonus castaneus,22732967,Sumatran Whistling-thrush,"Brown-winged Whistling Thrush, Chestnut-winged Whistling-thrush",,chwwht1,Sumatran Whistling-Thrush,Brown-winged Whistling Thrush
Myophonus glaucinus,22733656,Javan Whistling-thrush,Sunda Whistling Thrush,,javwht1,Javan Whistling-Thrush,Javan Whistling Thrush
Myophonus horsfieldii,22708324,Malabar Whistling-thrush,"Malabar Whistling Thrush, Malabar Whistling-Thrush",,mawthr1,Malabar Whistling-Thrush,Malabar Whistling Thrush
Myophonus insularis,22708334,Taiwan Whistling-thrush,"Formosan Whistling-Thrush, Taiwan Whistling Thrush",,fowthr1,Taiwan Whistling-Thrush,Taiwan Whistling Thrush
Myophonus melanurus,22708303,Shiny Whistling-thrush,"Shiny Whistling Thrush, Shiny Whistling-Thrush",,shwthr1,Shiny Whistling-Thrush,Shiny Whistling Thrush
Myophonus robinsoni,22708313,Malay Whistling-thrush,"Malayan Whistling Thrush, Malayan Whistling-Thrush, Malaysian Whistling-thrush","Myiophoneus robinsoni robinsoni, Myiophonus robinsoni robinsoni",mawthr2,Malayan Whistling-Thrush,Malayan Whistling Thrush
Myopornis boehmi,22709234,Böhm's Flycatcher,Boehm's Flycatcher,"Muscicapa boehmi, Bradornis boehmi",,,Böhm's Flycatcher
Myornis senilis,22703483,Ash-colored Tapaculo,Ash-coloured Tapaculo,,asctap1,Ash-colored Tapaculo,Ash-colored Tapaculo
Myrmeciza longipes,22701786,White-bellied Antbird,,,whbant1,White-bellied Antbird,White-bellied Antbird
Myrmecocichla aethiops,22710400,Northern Anteater-chat,"Ant Chat, Anteater Chat, Northern Anteater Chat, Northern Anteater-Chat, Northern Ant-eating Chat",,noacha1,Northern Anteater-Chat,Anteater Chat
Myrmecocichla arnotti,22710432,Arnot's Chat,"Arnott's Chat, White-headed Black-chat, White-headed Black-Chat",Myrmecocichla arnotti arnotti,whbcha2,Arnot's Chat,Arnot's Chat
Myrmecocichla formicivora,22710409,Southern Anteater-chat,"Ant-eating Chat, Southern Anteater-Chat, Southern Ant-eating Chat",,soacha1,Southern Anteater-Chat,Ant-eating Chat
Myrmecocichla melaena,22710420,Rüppell's Chat,"Rueppell's Chat, Rüppell's Black Chat",,ruecha1,Rüppell's Chat,Rüppell's Black Chat
Myrmecocichla monticola,22710263,Mountain Wheatear,Mountain Chat,Oenanthe monticola,mouwhe1,Mountain Wheatear,Mountain Wheatear
Myrmecocichla nigra,22710416,Sooty Chat,,,soocha1,Sooty Chat,Sooty Chat
Myrmecocichla tholloni,22710394,Congo Moor-chat,"Congo Moor Chat, Congo Moor-Chat",,conmoo1,Congo Moor Chat,Congo Moor Chat
Myrmelastes brunneiceps,22736163,Brownish-headed Antbird,,Schistocichla brunneiceps,brhant1,Brownish-headed Antbird,Brownish-headed Antbird
Myrmelastes caurensis,22701770,Caura Antbird,,"Percnostola caurensis, Schistocichla caurensis",cauant2,Caura Antbird,Caura Antbird
Myrmelastes humaythae,22736158,Humaita Antbird,,Schistocichla humaythae,humant1,Humaita Antbird,Humaita Antbird
Myrmelastes hyperythrus,22701832,Plumbeous Antbird,,Myrmeciza hyperythra,pluant1,Plumbeous Antbird,Plumbeous Antbird
Myrmelastes leucostigma,22736153,Spot-winged Antbird,,Schistocichla leucostigma,spwant3,Spot-winged Antbird,Spot-winged Antbird
Myrmelastes rufifacies,22736168,Rufous-faced Antbird,,Schistocichla rufifacies,rufant4,Rufous-faced Antbird,Rufous-faced Antbird
Myrmelastes saturatus,22735305,Roraiman Antbird,,Schistocichla saturata,rorant2,Roraiman Antbird,Roraiman Antbird
Myrmelastes schistaceus,22701755,Slate-colored Antbird,Slate-coloured Antbird,"Percnostola schistacea, Schistocichla schistacea",slcant3,Slate-colored Antbird,Slate-colored Antbird
Myrmia micrura,22688248,Short-tailed Woodstar,,,shtwoo1,Short-tailed Woodstar,Short-tailed Woodstar
Myrmoborus leucophrys,22701717,White-browed Antbird,,,whbant6,White-browed Antbird,White-browed Antbird
Myrmoborus lophotes,22701776,White-lined Antbird,,Percnostola lophotes,whlant1,White-lined Antbird,White-lined Antbird
Myrmoborus lugubris,22701720,Ash-breasted Antbird,,,asbant1,Ash-breasted Antbird,Ash-breasted Antbird
Myrmoborus melanurus,22701726,Black-tailed Antbird,,,bltant1,Black-tailed Antbird,Black-tailed Antbird
Myrmoborus myotherinus,22701723,Black-faced Antbird,,,blfant2,Black-faced Antbird,Black-faced Antbird
Myrmochanes hemileucus,22701743,Black-and-white Antbird,,,bawant1,Black-and-white Antbird,Black-and-white Antbird
Myrmoderus eowilsoni,155256702,Cordillera Azul Antbird,,,whiant1,Cordillera Azul Antbird,Cordillera Azul Antbird
Myrmoderus ferrugineus,22701792,Ferruginous-backed Antbird,,"Turdus ferrugineus, Myrmeciza ferruginea",febant1,Ferruginous-backed Antbird,Ferruginous-backed Antbird
Myrmoderus loricatus,22701798,White-bibbed Antbird,,Myrmeciza loricata,whbant4,White-bibbed Antbird,White-bibbed Antbird
Myrmoderus ruficauda,22701795,Scalloped Antbird,,Myrmeciza ruficauda,scaant3,Scalloped Antbird,Scalloped Antbird
Myrmoderus squamosus,22701801,Squamate Antbird,,Myrmeciza squamosa,squant1,Squamate Antbird,Squamate Antbird
Myrmophylax atrothorax,22701851,Black-throated Antbird,,Myrmeciza atrothorax,bltant2,Black-throated Antbird,Black-throated Antbird
Myrmorchilus strigilatus,22701546,Stripe-backed Antbird,,,stbant2,Stripe-backed Antbird,Stripe-backed Antbird
Myrmornis stictoptera,22724765,Northern Wing-banded Antbird,,,,,
Myrmornis torquata,103660209,Southern Wing-banded Antbird,,,wibant1,Wing-banded Antbird,Wing-banded Antbird
Myrmothera campanisona,22703355,Thrush-like Antpitta,,,thlant2,Thrush-like Antpitta,Thrush-like Antpitta
Myrmothera simplex,22703358,Tepui Antpitta,Brown-breasted Antpitta,,tepant1,Tepui Antpitta,Tepui Antpitta
Myrmotherula ambigua,22701442,Yellow-throated Antwren,,,yetant1,Yellow-throated Antwren,Yellow-throated Antwren
Myrmotherula assimilis,22701540,Leaden Antwren,,,leaant1,Leaden Antwren,Leaden Antwren
Myrmotherula axillaris,103657467,White-flanked Antwren,,,whfant2,White-flanked Antwren,White-flanked Antwren
Myrmotherula behni,22701530,Plain-winged Antwren,,,plwant2,Plain-winged Antwren,Plain-winged Antwren
Myrmotherula brachyura,22733626,Pygmy Antwren,,,pygant1,Pygmy Antwren,Pygmy Antwren
Myrmotherula cherriei,22701451,Cherrie's Antwren,,,cheant1,Cherrie's Antwren,Cherrie's Antwren
Myrmotherula grisea,22701520,Ashy Antwren,Yungas Antwren,,ashant1,Ashy Antwren,Yungas Antwren
Myrmotherula ignota,22731673,Moustached Antwren,,,mouant,Moustached Antwren,Moustached Antwren
Myrmotherula iheringi,22701517,Ihering's Antwren,,,iheant1,Ihering's Antwren,Ihering's Antwren
Myrmotherula klagesi,22701439,Klages's Antwren,,,klaant1,Klages's Antwren,Klages's Antwren
Myrmotherula longicauda,22701454,Stripe-chested Antwren,,,stcant4,Stripe-chested Antwren,Stripe-chested Antwren
Myrmotherula longipennis,22701511,Long-winged Antwren,,,lowant1,Long-winged Antwren,Long-winged Antwren
Myrmotherula luctuosa,103657471,Silvery-flanked Antwren,,Myrmotherula fluminensis,rdjant2,Rio de Janeiro Antwren,Rio de Janeiro Antwren
Myrmotherula menetriesii,22701536,Grey Antwren,Gray Antwren,,gryant1,Gray Antwren,Grey Antwren
Myrmotherula minor,22701514,Salvadori's Antwren,,,salant1,Salvadori's Antwren,Salvadori's Antwren
Myrmotherula multostriata,22733159,Amazonian Streaked Antwren,Amazonian Streaked-Antwren,,amasta1,Amazonian Streaked-Antwren,Amazonian Streaked Antwren
Myrmotherula pacifica,22729067,Pacific Antwren,,,pacant,Pacific Antwren,Pacific Antwren
Myrmotherula schisticolor,22701505,Slaty Antwren,,,slaant1,Slaty Antwren,Slaty Antwren
Myrmotherula sclateri,22701436,Sclater's Antwren,,,sclant1,Sclater's Antwren,Sclater's Antwren
Myrmotherula snowi,22724407,Alagoas Antwren,,,alaant1,Alagoas Antwren,Alagoas Antwren
Myrmotherula sunensis,22701508,Rio Suno Antwren,,,risant1,Rio Suno Antwren,Rio Suno Antwren
Myrmotherula surinamensis,22701445,Guianan Streaked Antwren,Guianan Streaked-Antwren,,guista1,Guianan Streaked-Antwren,Guianan Streaked Antwren
Myrmotherula unicolor,22701524,Unicolored Antwren,Unicoloured Antwren,,uniant1,Unicolored Antwren,Unicolored Antwren
Myrmotherula urosticta,22701533,Band-tailed Antwren,,,batant3,Band-tailed Antwren,Band-tailed Antwren
Myrtis fanny,22688241,Purple-collared Woodstar,,,pucwoo1,Purple-collared Woodstar,Purple-collared Woodstar
Mystacornis crossleyi,22716772,Crossley's Vanga,Crossley's Babbler,,crobab1,Crossley's Vanga,Crossley's Vanga
Myza celebensis,22704307,Dark-eared Myza,,,daehon1,Dark-eared Myza,Dark-eared Myza
Myza sarasinorum,22704310,White-eared Myza,,,grshon1,White-eared Myza,White-eared Myza
Myzomela adolphinae,22703834,Mountain Myzomela,Midget Myzomela,,moumyz1,Elfin Myzomela,Mountain Myzomela
Myzomela albigula,22703813,White-chinned Myzomela,,,whcmyz1,White-chinned Myzomela,White-chinned Myzomela
Myzomela batjanensis,103686945,Bacan Myzomela,,,,,Bacan Myzomela
Myzomela blasii,22703810,Drab Myzomela,,,sermyz1,Seram Myzomela,Drab Myzomela
Myzomela boiei,22703855,Banda Myzomela,,,banmyz1,Banda Myzomela,Banda Myzomela
Myzomela caledonica,22703862,New Caledonian Myzomela,,,necmyz1,New Caledonian Myzomela,New Caledonian Myzomela
Myzomela cardinalis,22703868,Cardinal Myzomela,,,carmyz1,Cardinal Myzomela,Cardinal Myzomela
Myzomela chermesina,22703871,Rotuma Myzomela,,,rotmyz1,Rotuma Myzomela,Rotuma Myzomela
Myzomela chloroptera,103686853,Sulawesi Myzomela,,,sulmyz1,Sulawesi Myzomela,Sulawesi Myzomela
Myzomela cineracea,103686550,Ashy Myzomela,,,ashmyz1,Ashy Myzomela,Ashy Myzomela
Myzomela cruentata,103686661,Red Myzomela,,,redmyz1,Red Myzomela,Red Myzomela
Myzomela dammermani,22703842,Sumba Myzomela,,,summyz1,Sumba Myzomela,Sumba Myzomela
Myzomela eichhorni,22703884,Crimson-rumped Myzomela,Yellow-vented Myzomela,,yevmyz1,Yellow-vented Myzomela,Crimson-rumped Myzomela
Myzomela eques,103686493,Ruby-throated Myzomela,,,retmyz1,Ruby-throated Myzomela,Ruby-throated Myzomela
Myzomela erythrina,103686707,Reddish Myzomela,,,,,Reddish Myzomela
Myzomela erythrocephala,22703845,Red-headed Myzomela,Red-headed Honeyeater,,rehmyz1,Red-headed Myzomela,Red-headed Myzomela
Myzomela erythromelas,22703902,Black-bellied Myzomela,Splendid Myzomela,,blbmyz1,Black-bellied Myzomela,Black-bellied Myzomela
Myzomela jugularis,22703898,Orange-breasted Myzomela,Sulphur-breasted Myzomela,,orbmyz1,Orange-breasted Myzomela,Sulphur-breasted Myzomela
Myzomela kuehni,22703838,Wetar Myzomela,Crimson-hooded Myzomela,,crhmyz1,Crimson-hooded Myzomela,Wetar Myzomela
Myzomela lafargei,22703880,Red-capped Myzomela,Scarlet-naped Myzomela,,scnmyz1,Scarlet-naped Myzomela,Red-capped Myzomela
Myzomela longirostris,103687306,Long-billed Myzomela,,,,,Long-billed Myzomela
Myzomela malaitae,22703891,Malaita Myzomela,"Red-bellied Myzomela, Red-vested Myzomela",,rebmyz1,Red-bellied Myzomela,Red-vested Myzomela
Myzomela melanocephala,22703888,Black-headed Myzomela,,,blhmyz1,Black-headed Myzomela,Black-headed Myzomela
Myzomela nigrita,22703827,Papuan Black Myzomela,Black Myzomela,,blamyz1,Papuan Black Myzomela,Papuan Black Myzomela
Myzomela obscura,103686571,Dusky Myzomela,,,dusmyz1,Dusky Myzomela,Dusky Myzomela
Myzomela pammelaena,22703877,Bismarck Black Myzomela,Ebony Myzomela,,ebomyz1,Bismarck Black Myzomela,Bismarck Black Myzomela
Myzomela prawiradilagae,216552510,Alor Myzomela,,,alomyz1,Alor Myzomela,Alor Myzomela
Myzomela pulchella,22703830,New Ireland Myzomela,"Crimson-fronted Myzomela, Olive-yellow Myzomela",,neimyz1,New Ireland Myzomela,New Ireland Myzomela
Myzomela rosenbergii,103687293,Red-collared Myzomela,,,recmyz1,Red-collared Myzomela,Red-collared Myzomela
Myzomela rubratra,22703865,Micronesian Myzomela,,,micmyz1,Micronesian Myzomela,Micronesian Myzomela
Myzomela rubrobrunnea,103686589,Red-brown Myzomela,,,,,Biak Myzomela
Myzomela rubrotincta,103686620,Obi Myzomela,,,,,Red-tinged Myzomela
Myzomela sanguinolenta,22703858,Scarlet Myzomela,Scarlet Honeyeater,,scamyz1,Scarlet Myzomela,Scarlet Myzomela
Myzomela sclateri,22703874,Sclater's Myzomela,Scarlet-bibbed Myzomela,,scbmyz1,Sclater's Myzomela,Sclater's Myzomela
Myzomela simplex,103686603,Moluccan Myzomela,,,,,Moluccan Myzomela
Myzomela tristrami,22703895,Sooty Myzomela,,,soomyz1,Sooty Myzomela,Sooty Myzomela
Myzomela vulnerata,22703906,Black-breasted Myzomela,Red-rumped Myzomela,,bkbmyz1,Black-breasted Myzomela,Black-breasted Myzomela
Myzomela wakoloensis,22703852,Wakolo Myzomela,,,wakmyz1,Wakolo Myzomela,Wakolo Myzomela
Myzornis pyrrhoura,22716760,Fire-tailed Myzornis,,,fitmyz1,Fire-tailed Myzornis,Fire-tailed Myzornis
Namibornis herero,22709974,Herero Chat,,"Namibornis herero, Melaenornis herero",hercha1,Herero Chat,
Nannococcyx psix,22728841,Saint Helena Cuckoo,St Helena Cuckoo,,sthcuc1,St. Helena Cuckoo,
Nannopsittaca dachilleae,22686000,Amazonian Parrotlet,"Amazonian Parakeet, Manu Parrotlet",,amapar1,Amazonian Parrotlet,Manu Parrotlet
Nannopsittaca panychlora,22685997,Tepui Parrotlet,,,teppar1,Tepui Parrotlet,Tepui Parrotlet
Nannopterum auritus,22696776,Double-crested Cormorant,,Phalacrocorax auritus,,,
Nannopterum brasilianus,22696773,Neotropical Cormorant,,Phalacrocorax brasilianus,,,
Nannopterum harrisi,22696756,Flightless Cormorant,Galapagos Cormorant,"Phalacrocorax harrisi, Nannopterum harrisi",flicor1,Flightless Cormorant,Flightless Cormorant
Napothera albostriata,22734523,Sumatran Wren-babbler,,Rimator albostriatus,sumwrb1,Sumatran Wren-Babbler,Sumatran Wren-Babbler
Napothera danjoui,103869790,Indochinese Wren-babbler,,"Jabouilleia danjoui, Rimator danjoui",stsbab1,Short-tailed Scimitar-Babbler,Short-tailed Scimitar Babbler
Napothera epilepidota,22716094,Eyebrowed Wren-babbler,Eyebrowed Wren-Babbler,,eywbab1,Eyebrowed Wren-Babbler,Eyebrowed Wren-Babbler
Napothera malacoptila,22735139,Long-billed Wren-babbler,Long-billed Wren-Babbler,Rimator malacoptilus,lbwbab1,Long-billed Wren-Babbler,Long-billed Wren-Babbler
Napothera naungmungensis,103870218,Naung Mung Wren-babbler,,Rimator naungmungensis,namscb1,Naung Mung Scimitar-Babbler,Naung Mung Scimitar Babbler
Napothera pasquieri,22734528,White-throated Wren-babbler,,Rimator pasquieri,whtwrb1,White-throated Wren-Babbler,White-throated Wren-Babbler
Nasica longirostris,22703049,Long-billed Woodcreeper,,,lobwoo1,Long-billed Woodcreeper,Long-billed Woodcreeper
Neafrapus boehmi,22686672,Böhm's Spinetail,,,balspi1,Bat-like Spinetail,Böhm's Spinetail
Neafrapus cassini,22686668,Cassin's Spinetail,,,casspi1,Cassin's Spinetail,Cassin's Spinetail
Necropsar rodericanus,22710836,Rodrigues Starling,Rodriguez Starling,,rodsta2,Rodrigues Starling,
Necropsittacus rodricanus,22728851,Rodrigues Parrot,,Necropsittacus rodericanus,rodpar1,Rodrigues Parrot,
Necrosyrtes monachus,22695185,Hooded Vulture,,,hoovul1,Hooded Vulture,Hooded Vulture
Nectarinia bocagii,22717966,Bocage's Sunbird,,,bocsun2,Bocage's Sunbird,Bocage's Sunbird
Nectarinia famosa,22717979,Malachite Sunbird,Yellow-tufted Malachite Sunbird,,malsun1,Malachite Sunbird,Malachite Sunbird
Nectarinia johnstoni,22717984,Red-tufted Sunbird,"Scarlet-tufted Malachite Sunbird, Scarlet-tufted Sunbird",,retsun2,Red-tufted Sunbird,Scarlet-tufted Sunbird
Nectarinia kilimensis,22717970,Bronze Sunbird,Bronzy Sunbird,,brosun1,Bronze Sunbird,Bronzy Sunbird
Nectarinia purpureiventris,22717962,Purple-breasted Sunbird,,,pubsun3,Purple-breasted Sunbird,Purple-breasted Sunbird
Nectarinia tacazze,22717958,Tacazze Sunbird,,,tacsun1,Tacazze Sunbird,Tacazze Sunbird
Nemosia pileata,22722290,Hooded Tanager,,,hootan1,Hooded Tanager,Hooded Tanager
Nemosia rourei,22722293,Cherry-throated Tanager,,,chttan1,Cherry-throated Tanager,Cherry-throated Tanager
Neochen jubata,22679987,Orinoco Goose,,Neochen jubatus jubatus,,,Orinoco Goose
Neochmia evangelinae,103817919,White-bellied Crimson Finch,,,,,
Neochmia modesta,22719676,Plum-headed Finch,,,,,
Neochmia phaeton,103817894,Black-bellied Crimson Finch,,,crifin1,Crimson Finch,Crimson Finch
Neochmia ruficauda,22719673,Star Finch,,,,,
Neochmia temporalis,22719666,Red-browed Finch,Red-browed Firetail,,rebfir1,Red-browed Firetail,Red-browed Finch
Neocichla gutturalis,22710799,Babbling Starling,White-winged Starling,,babsta1,Babbling Starling,Babbling Starling
Neocossyphus poensis,22708195,White-tailed Ant-thrush,"White-tailed Ant Thrush, White-tailed Ant-Thrush, White-tailed Rufous Thrush",,wtathr1,White-tailed Ant-Thrush,White-tailed Ant Thrush
Neocossyphus rufus,22708188,Red-tailed Ant-thrush,"Red-tailed Ant Thrush, Red-tailed Ant-Thrush, Red-tailed Rufous Thrush",,rtathr1,Red-tailed Ant-Thrush,Red-tailed Ant Thrush
Neocrex colombiana,22692740,Colombian Crake,,"Neocrex columbianus, Neocrex colombianus",,,Colombian Crake
Neocrex erythrops,22692760,Paint-billed Crake,,,,,Paint-billed Crake
Neoctantes niger,22701355,Black Bushbird,,,blabus1,Black Bushbird,Black Bushbird
Neodrepanis coruscans,22698771,Common Sunbird-Asity,"Sunbird Asity, Wattled Sunbird-Asity",,sunasi1,Common Sunbird-Asity,Common Sunbird-Asity
Neodrepanis hypoxantha,22698777,Yellow-bellied Sunbird-asity,"Small-billed Asity, Yellow-bellied Asity",Neodrepanis hypoxanthus,yebasi1,Yellow-bellied Sunbird-Asity,Yellow-bellied Sunbird-Asity
Neohierax insignis,22696317,White-rumped Pygmy-falcon,"Fielden's Falconet, White-rumped Falconet",Polihierax insignis,whrfal1,White-rumped Falcon,White-rumped Falcon
Neolalage banksiana,22707210,Buff-bellied Monarch,,,bubmon1,Buff-bellied Monarch,Buff-bellied Monarch
Neolestes torquatus,22713256,Black-collared Bulbul,,,blcbul1,Black-collared Bulbul,Black-collared Bulbul
Neomixis pallidior,103771124,Subdesert Jery,,,,,
Neomixis striatigula,103771036,Stripe-throated Jery,,,sttjer1,Stripe-throated Jery,Stripe-throated Jery
