scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Acrocephalus mendanae,104012371,Southern Marquesan Reed-warbler,,,marwar2,Southern Marquesan Reed Warbler,Southern Marquesan Reed Warbler
Acrocephalus musae,22735592,Forster's Reed-warbler,"Leeward Islands Reed-warbler, Leeward Islands Reed Warbler",,soirew1,Society Islands Reed Warbler,
Acrocephalus newtoni,22714865,Madagascar Swamp-warbler,"Madagascar Swamp Warbler, Madagascar Swamp-Warbler",,maswar1,Madagascar Swamp Warbler,Madagascar Swamp Warbler
Acrocephalus nijoi,103780109,Aguijan Reed-warbler,,,agurew1,Aguiguan Reed Warbler,
Acrocephalus orientalis,22734033,Oriental Reed-warbler,"Oriental Reed Warbler, Oriental Reed-Warbler",,orrwar1,Oriental Reed Warbler,Oriental Reed Warbler
Acrocephalus orinus,22729551,Large-billed Reed-warbler,Large-billed Reed Warbler,,labrew1,Large-billed Reed Warbler,Large-billed Reed Warbler
Acrocephalus paludicola,22714696,Aquatic Warbler,,,aquwar1,Aquatic Warbler,Aquatic Warbler
Acrocephalus palustris,22714741,Marsh Warbler,,,marwar3,Marsh Warbler,Marsh Warbler
Acrocephalus percernis,104011899,Northern Marquesan Reed-warbler,,,marrew2,Northern Marquesan Reed Warbler,Northern Marquesan Reed Warbler
Acrocephalus rehsei,22714791,Nauru Reed-warbler,"Finsch's Reed-warbler, Nauru Reed Warbler, Nauru Reed-Warbler",,narwar1,Nauru Reed Warbler,Nauru Reed Warbler
Acrocephalus rimitarae,22714826,Rimatara Reed-warbler,Rimatara Reed-Warbler,Acrocephalus rimatarae,rimrew1,Rimitara Reed Warbler,Rimatara Reed Warbler
Acrocephalus rodericanus,22714874,Rodrigues Warbler,Rodriguez Brush-Warbler,Bebrornis rodericanus rodericanus,rodbrw1,Rodrigues Warbler,Rodrigues Warbler
Acrocephalus rufescens,22714846,Greater Swamp-warbler,"Greater Swamp Warbler, Greater Swamp-Warbler",,grswar2,Greater Swamp Warbler,Greater Swamp Warbler
