scientificName,eBird_Species_Code,eBird_common_name
Hypocnemis flavescens,imewaa1,Imeri Warbling-Antbird
Hypocnemis peruviana,perwaa1,Peruvian Warbling-Antbird
Hypocnemis subflava,yebwaa1,Yellow-breasted Warbling-Antbird
Hypocnemis ochrogyna,ronwaa1,Rondonia Warbling-Antbird
Hypocnemis striata,spiwaa1,Spix's Warbling-Antbird
Hypocnemis rondoni,manwaa1,Manicore Warbling-Antbird
Hypocnemis hypoxantha,yebant3,Yellow-browed Antbird
Terenura sicki,orbant1,Orange-bellied Antwren
Terenura maculata,stcant3,Streak-capped Antwren
Cercomacroides laeta,wilant1,Willis's Antbird
Cercomacroides parkeri,parant2,Parker's Antbird
Cercomacroides tyrannina,dusant1,Dusky Antbird
Cercomacroides serva,blaant2,Black Antbird
Cercomacroides nigrescens,blaant4,Blackish Antbird
Cercomacroides fuscicauda,blaant5,Riparian Antbird
Cercomacra manu,manant1,Manu Antbird
Cercomacra cinerascens,gryant2,Gray Antbird
Cercomacra brasiliana,rdjant1,Rio de Janeiro Antbird
Cercomacra melanaria,magant1,Mato Grosso Antbird
Cercomacra ferdinandi,banant1,Bananal Antbird
Cercomacra nigricans,jetant1,Jet Antbird
Cercomacra carbonaria,ribant1,Rio Branco Antbird
Pyriglena maura,wesfie1,Western Fire-eye
Pyriglena similis,whbfie9,Tapajos Fire-eye
Pyriglena leuconota,eaafie1,East Amazonian Fire-eye
Pyriglena atra,fbfeye1,Fringe-backed Fire-eye
Pyriglena leucoptera,wsfeye1,White-shouldered Fire-eye
Rhopornis ardesiacus,sleant1,Slender Antbird
Myrmoborus leucophrys,whbant6,White-browed Antbird
Myrmoborus lugubris,asbant1,Ash-breasted Antbird
Myrmoborus myotherinus,blfant2,Black-faced Antbird
Myrmoborus melanurus,bltant1,Black-tailed Antbird
Myrmoborus lophotes,whlant1,White-lined Antbird
Hypocnemoides melanopogon,blcant3,Black-chinned Antbird
Hypocnemoides maculicauda,batant1,Band-tailed Antbird
Myrmochanes hemileucus,bawant1,Black-and-white Antbird
Gymnocichla nudiceps,bacant1,Bare-crowned Antbird
Sclateria naevia,silant1,Silvered Antbird
Percnostola rufifrons,blhant3,Black-headed Antbird
Percnostola arenarum,allant1,Allpahuayo Antbird
Myrmelastes schistaceus,slcant3,Slate-colored Antbird
Myrmelastes saturatus,rorant2,Roraiman Antbird
Myrmelastes hyperythrus,pluant1,Plumbeous Antbird
Myrmelastes leucostigma,spwant3,Spot-winged Antbird
Myrmelastes humaythae,humant1,Humaita Antbird
Myrmelastes brunneiceps,brhant1,Brownish-headed Antbird
Myrmelastes rufifacies,rufant4,Rufous-faced Antbird
Myrmelastes caurensis,cauant2,Caura Antbird
Myrmeciza longipes,whbant1,White-bellied Antbird
Poliocrania exsul,chbant1,Chestnut-backed Antbird
Ampelornis griseiceps,gyhant1,Gray-headed Antbird
Sipia laemosticta,dumant1,Dull-mantled Antbird
Sipia palliata,dumant3,Magdalena Antbird
Sipia nigricauda,esmant1,Esmeraldas Antbird
Sipia berlepschi,sttant3,Stub-tailed Antbird
Sciaphylax hemimelaena,chtant2,Chestnut-tailed Antbird
Sciaphylax castanea,zimant1,Zimmer's Antbird
Myrmoderus ferrugineus,febant1,Ferruginous-backed Antbird
Myrmoderus eowilsoni,whiant1,Cordillera Azul Antbird
Myrmoderus ruficauda,scaant3,Scalloped Antbird
Myrmoderus loricatus,whbant4,White-bibbed Antbird
Myrmoderus squamosus,squant1,Squamate Antbird
Akletos melanoceps,whsant1,White-shouldered Antbird
Akletos goeldii,goeant1,Goeldi's Antbird
Hafferia fortis,sooant1,Sooty Antbird
Hafferia zeledoni,zelant1,Zeledon's Antbird
Hafferia immaculata,immant1,Blue-lored Antbird
Aprositornis disjuncta,yapant1,Yapacana Antbird
Myrmophylax atrothorax,bltant2,Black-throated Antbird
Ammonastes pelzelni,gybant1,Gray-bellied Antbird
Myrmornis torquata,wibant1,Wing-banded Antbird
Pithys albifrons,whpant1,White-plumed Antbird
Pithys castaneus,whmant2,White-masked Antbird
Gymnopithys bicolor,bicant2,Bicolored Antbird
Gymnopithys leucaspis,whcant1,White-cheeked Antbird
Gymnopithys rufigula,rutant4,Rufous-throated Antbird
Oneillornis salvini,whtant1,White-throated Antbird
Oneillornis lunulatus,lunant2,Lunulated Antbird
Rhegmatorhina gymnops,baeant1,Bare-eyed Antbird
Rhegmatorhina berlepschi,harant1,Harlequin Antbird
Rhegmatorhina hoffmannsi,whbant5,White-breasted Antbird
Rhegmatorhina cristata,chcant1,Chestnut-crested Antbird
Rhegmatorhina melanosticta,hacant1,Hairy-crested Antbird
Hylophylax naevioides,spoant1,Spotted Antbird
Hylophylax naevius,spbant6,Spot-backed Antbird
Hylophylax punctulatus,dobant2,Dot-backed Antbird
