CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,layduc,Laysan Duck,Anas laysanensis
species,hawduc,Hawaiian Duck,Anas wyvilliana
species,phiduc1,Philippine Duck,Anas luzonica
species,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha
species,spbduc,Eastern Spot-billed Duck,Anas zonorhyncha
species,mallar3,Mallard,Anas platyrhynchos
species,mexduc,Mexican Duck,Anas diazi
species,ambduc,American Black Duck,Anas rubripes
species,motduc,Mottled Duck,Anas fulvigula
species,captea1,Cape Teal,Anas capensis
species,whcpin,White-cheeked Pintail,Anas bahamensis
species,rebduc1,Red-billed Duck,Anas erythrorhyncha
species,norpin,Northern Pintail,Anas acuta
species,eatpin1,Eaton's Pintail,Anas eatoni
species,yebpin1,Yellow-billed Pintail,Anas georgica
species,gnwtea,Green-winged Teal,Anas crecca
species,spetea3,Andean Teal,Anas andium
species,yebtea1,Yellow-billed Teal,Anas flavirostris
species,mauduc1,Mauritius Duck,Anas theodori
species,andtea1,Andaman Teal,Anas albogularis
species,suntea1,Sunda Teal,Anas gibberifrons
species,gretea1,Gray Teal,Anas gracilis
species,chetea1,Chestnut Teal,Anas castanea
species,bertea1,Bernier's Teal,Anas bernieri
species,auitea1,Auckland Islands Teal,Anas aucklandica
species,caitea1,Campbell Islands Teal,Anas nesiotis
species,brotea1,Brown Teal,Anas chlorotis
species,pieduc1,Pink-eared Duck,Malacorhynchus membranaceus
species,martea1,Marbled Teal,Marmaronetta angustirostris
species,pihduc1,Pink-headed Duck,Rhodonessa caryophyllacea
species,whwduc1,White-winged Duck,Asarcornis scutulata
species,recpoc,Red-crested Pochard,Netta rufina
species,soupoc1,Southern Pochard,Netta erythrophthalma
species,robpoc1,Rosy-billed Pochard,Netta peposaca
species,canvas,Canvasback,Aythya valisineria
species,redhea,Redhead,Aythya americana
species,compoc,Common Pochard,Aythya ferina
species,rinduc,Ring-necked Duck,Aythya collaris
species,ferduc,Ferruginous Duck,Aythya nyroca
species,madpoc1,Madagascar Pochard,Aythya innotata
species,baepoc1,Baer's Pochard,Aythya baeri
species,wheduc1,Hardhead,Aythya australis
species,tufduc,Tufted Duck,Aythya fuligula
species,nezsca1,New Zealand Scaup,Aythya novaeseelandiae
species,gresca,Greater Scaup,Aythya marila
species,lessca,Lesser Scaup,Aythya affinis
species,steeid,Steller's Eider,Polysticta stelleri
species,labduc,Labrador Duck,Camptorhynchus labradorius
species,speeid,Spectacled Eider,Somateria fischeri
species,kineid,King Eider,Somateria spectabilis
species,comeid,Common Eider,Somateria mollissima
species,harduc,Harlequin Duck,Histrionicus histrionicus
species,sursco,Surf Scoter,Melanitta perspicillata
species,whwsco3,Velvet Scoter,Melanitta fusca
species,whwsco2,White-winged Scoter,Melanitta deglandi
species,whwsco1,Stejneger's Scoter,Melanitta stejnegeri
species,blksco1,Common Scoter,Melanitta nigra
species,blksco2,Black Scoter,Melanitta americana
species,lotduc,Long-tailed Duck,Clangula hyemalis
species,buffle,Bufflehead,Bucephala albeola
species,comgol,Common Goldeneye,Bucephala clangula
species,bargol,Barrow's Goldeneye,Bucephala islandica
species,smew,Smew,Mergellus albellus
species,hoomer,Hooded Merganser,Lophodytes cucullatus
species,auimer1,Auckland Islands Merganser,Mergus australis
species,commer,Common Merganser,Mergus merganser
species,bramer1,Brazilian Merganser,Mergus octosetaceus
species,rebmer,Red-breasted Merganser,Mergus serrator
species,scsmer1,Scaly-sided Merganser,Mergus squamatus
