scientificName,altcommonNames,internalTaxonId,maincommonName,Synonym
Goura sclaterii,,45014476,Sclater's Crowned-pigeon,
Goura victoria,"Victoria Crowned Pigeon, Victoria Crowned-Pigeon, Victoria Goura",22691874,Victoria Crowned-pigeon,
Gracula indica,,103878766,Southern Hill Myna,
Gracula ptilogenys,"Ceylon Myna, Sri Lanka Myna",22710988,Sri Lanka Hill Myna,
Gracula religiosa,Hill Myna,103878755,Common Hill Myna,
Gracula robusta,,103878817,Nias Hill Myna,
Gracula venerata,,103878806,Tenggara Hill Myna,
Gracupica contra,,216912703,Indian Pied Starling,
Gracupica floweri,,216913021,Thai Pied Starling,Sturnopastor floweri
Gracupica jalla,,103890801,Javan Pied Starling,
Gracupica nigricollis,,22710903,Black-collared Starling,Sturnus nigricollis
Grafisia torquata,,22710591,White-collared Starling,
Grallaria albigula,,22703302,White-throated Antpitta,
Grallaria alleni,,22703252,Moustached Antpitta,
Grallaria alticola,,103660427,Northern Tawny Antpitta,
Grallaria andicolus,,22703281,Stripe-headed Antpitta,Grallaria andicola andicola
Grallaria atuensis,,103660431,Southern Tawny Antpitta,
Grallaria bangsi,,22703271,Santa Marta Antpitta,
Grallaria blakei,,22703327,Chestnut Antpitta,
Grallaria capitalis,,22703314,Bay Antpitta,
Grallaria carrikeri,,22703299,Pale-billed Antpitta,
Grallaria chthonia,Táchira Antpitta,22703255,Tachira Antpitta,
Grallaria dignissima,,22703262,Ochre-striped Antpitta,
Grallaria eludens,,22703265,Elusive Antpitta,
Grallaria erythroleuca,,22703317,Red-and-white Antpitta,
Grallaria erythrotis,,22703330,Rufous-faced Antpitta,
Grallaria excelsa,,22703243,Great Antpitta,
Grallaria fenwickorum,Antioquia Antpitta,22736345,Urrao Antpitta,Grallaria urraoensis
Grallaria flavotincta,,22703305,Yellow-breasted Antpitta,
Grallaria gigantea,,22703240,Giant Antpitta,
Grallaria griseonucha,Gray-naped Antpitta,22703320,Grey-naped Antpitta,
Grallaria guatimalensis,,22703249,Scaled Antpitta,
Grallaria haplonota,,22703259,Plain-backed Antpitta,
Grallaria hypoleuca,,22703308,White-bellied Antpitta,
Grallaria kaestneri,,22703268,Cundinamarca Antpitta,
Grallaria milleri,,22703336,Brown-banded Antpitta,
Grallaria nuchalis,,22703296,Chestnut-naped Antpitta,
Grallaria przewalskii,,22703311,Rusty-tinged Antpitta,
Grallaria quitensis,,103660417,Western Tawny Antpitta,
Grallaria ridgelyi,,22724628,Jocotoco Antpitta,
Grallaria ruficapilla,,22703274,Chestnut-crowned Antpitta,
Grallaria rufocinerea,Bicoloured Antpitta,22703292,Bicolored Antpitta,
Grallaria rufula,,103660383,Rufous Antpitta,
Grallaria saltuensis,,103660400,Perija Antpitta,
Grallaria squamigera,,22703237,Undulated Antpitta,
Grallaria varia,,22703246,Variegated Antpitta,
Grallaria watkinsi,Scrub Antpitta,22703277,Watkins's Antpitta,
Grallaricula cucullata,,22703392,Hooded Antpitta,
Grallaricula cumanensis,,22736456,Sucre Antpitta,
Grallaricula ferrugineipectus,,103660906,Rusty-breasted Antpitta,
Grallaricula flavirostris,,22703362,Ochre-breasted Antpitta,
Grallaricula leymebambae,,103660917,Rufous-breasted Antpitta,
Grallaricula lineifrons,,22703389,Crescent-faced Antpitta,
Grallaricula loricata,,22703378,Scallop-breasted Antpitta,
Grallaricula nana,Slaty-crowned Antpitta,22724986,Slate-crowned Antpitta,
Grallaricula ochraceifrons,,22703384,Ochre-fronted Antpitta,
Grallaricula peruviana,,22703381,Peruvian Antpitta,
Grallina bruijnii,Torrentlark,22707429,Torrent-lark,
Grallina cyanoleuca,Magpielark,22707425,Magpie-lark,
Graminicola bengalensis,,103870362,Indian Grass-babbler,
Graminicola striatus,,103870381,Chinese Grass-babbler,
Grammatoptila striata,,22715620,Striated Laughingthrush,Garrulax striatus
Granatellus francescae,,103804320,Tres Marias Chat,
Granatellus paraensis,,103804365,Rose-bellied Chat,
Granatellus pelzelni,,103804346,Rose-breasted Chat,
Granatellus sallaei,Gray-throated Chat,22722065,Grey-throated Chat,
Granatellus venustus,,103804301,Red-breasted Chat,
Granatina granatina,Common Grenadier,22719508,Violet-eared Waxbill,"Uraeginthus granatina granatina, Uraeginthus granatinus"
Granatina ianthinogaster,,22719504,Purple Grenadier,Uraeginthus ianthinogaster
Grandala coelicolor,,22710120,Grandala,
Grantiella picta,,22704412,Painted Honeyeater,
Graueria vittata,,22715019,Grauer's Warbler,
Graydidascalus brachyurus,,22686172,Short-tailed Parrot,
Griseotyrannus aurantioatrocristatus,Crowned Slaty-Flycatcher,22700523,Crowned Slaty Flycatcher,"Griseotyrannus aurantioatrocristatus aurantioatrocristatus, Empidonomus aurantioatrocristatus"
Grus americana,,22692156,Whooping Crane,
Grus antigone,,22692064,Sarus Crane,"Antigone antigone, Ardea antigone"
Grus canadensis,,22692078,Sandhill Crane,Antigone canadensis
Grus grus,Crane,22692146,Common Crane,
Grus japonensis,"Japanese Crane, Manchurian Crane",22692167,Red-crowned Crane,Ardea japonensis
Grus monacha,,22692151,Hooded Crane,
Grus nigricollis,Tibetan Crane,22692162,Black-necked Crane,
Grus rubicunda,,22692067,Brolga,"Grus rubicundus, Grus rubicunda, Antigone rubicunda"
Grus vipio,White-necked Crane,22692073,White-naped Crane,"Grus vipio, Antigone vipio"
Guadalcanaria inexpectata,,22704027,Guadalcanal Honeyeater,
Guaruba guarouba,Golden Conure,22724703,Golden Parakeet,"Guarouba guarouba, Aratinga guarouba"
Gubernatrix cristata,,22721578,Yellow Cardinal,
Gubernetes yetapa,,22700312,Streamer-tailed Tyrant,
Guira guira,,22684441,Guira Cuckoo,
Gulosus aristotelis,Shag,22696894,European Shag,Phalacrocorax aristotelis
Guttera edouardi,,22725223,Southern Crested Guineafowl,
Guttera plumifera,,22679560,Plumed Guineafowl,
Guttera pucherani,Crested Guineafowl,22725212,Eastern Crested Guineafowl,
Guttera verreauxi,,45479083,Western Crested Guineafowl,
Guyramemua affinis,Chapada Suiriri,22729445,Chapada Flycatcher,"Suiriri islerorum, Suiriri affinis"
Gygis alba,Atlantic Fairytern,216558622,Atlantic White Tern,
Gygis candida,Common Fairytern,216558801,Common White Tern,
Gygis microrhyncha,Little White-Tern,22694830,Little White Tern,
Gymnobucco bonapartei,,22726032,Grey-throated Barbet,
Gymnobucco calvus,,22726016,Naked-faced Barbet,
Gymnobucco cinereiceps,,22726043,Grey-headed Barbet,
Gymnobucco peli,,22681699,Bristle-nosed Barbet,
Gymnobucco sladeni,,22681703,Sladen's Barbet,
Gymnobucco vernayi,,22726026,Pale-throated Barbet,
Gymnocichla nudiceps,,22701746,Bare-crowned Antbird,
Gymnocrex plumbeiventris,,22692609,Bare-eyed Rail,
Gymnocrex rosenbergii,"Bald-faced Rail, Schlegel's Rail",22692604,Blue-faced Rail,
Gymnocrex talaudensis,,22728616,Talaud Rail,
Gymnoderus foetidus,,22700916,Bare-necked Fruitcrow,
Gymnogyps californianus,,22697636,California Condor,
Gymnomystax mexicanus,,22724166,Oriole Blackbird,
Gymnomyza aubryana,,22704320,Crow Honeyeater,
Gymnomyza brunneirostris,,103685875,Giant Honeyeater,
Gymnomyza samoensis,,22704317,Mao,
Gymnomyza viridis,,103685849,Yellow-billed Honeyeater,
Gymnophaps albertisii,"Papuan Mountain Pigeon, Papuan Mountain-Pigeon",22691850,Papuan Mountain-pigeon,
Gymnophaps mada,,45448755,Buru Mountain-pigeon,
Gymnophaps solomonensis,"Pale Mountain Pigeon, Pale Mountain-Pigeon",22691860,Pale Mountain-pigeon,
Gymnophaps stalkeri,,45448758,Seram Mountain-pigeon,
Gymnopithys bicolor,,22730409,Bicolored Antbird,
Gymnopithys leucaspis,,22730404,White-cheeked Antbird,
Gymnopithys rufigula,,22701869,Rufous-throated Antbird,
Gymnorhina tibicen,,22706288,Australian Magpie,Cracticus tibicen
Gymnorhinus cyanocephalus,,22705608,Pinyon Jay,
Gymnoris dentata,Bush Petronia,22718303,Sahel Bush-sparrow,Petronia dentata
Gymnoris pyrgita,Yellow-spotted Petronia,22718290,Yellow-spotted Bush-sparrow,Petronia pyrgita
Gymnoris superciliaris,Yellow-throated Petronia,22718299,Yellow-throated Bush-sparrow,Petronia superciliaris
Gymnoris xanthocollis,"Chestnut-shouldered Petronia, Chestnut-shouldered Sparrow, Yellow-throated Sparrow",22718294,Chestnut-shouldered Bush-sparrow,Petronia xanthocollis
Gypaetus barbatus,Lammergeyer,22695174,Bearded Vulture,
Gypohierax angolensis,,22695170,Palm-nut Vulture,
Gyps africanus,,22695189,White-backed Vulture,
Gyps bengalensis,"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture",22695194,White-rumped Vulture,
Gyps coprotheres,Cape Griffon,22695225,Cape Vulture,
Gyps fulvus,"Eurasian Griffon, Eurasian Griffon Vulture",22695219,Griffon Vulture,
Gyps himalayensis,Himalayan Griffon,22695215,Himalayan Griffon,
Gyps indicus,"Indian Griffon, Long-billed Griffon, Long-billed Vulture, Painted Vulture",22729731,Indian Vulture,
Gyps rueppelli,"Rueppell's Griffon, Rüppell's Griffon Vulture, Ruppell's Vulture",22695207,Rüppell's Vulture,Gyps rueppellii
Gyps tenuirostris,,22729460,Slender-billed Vulture,
Gypsophila brevicaudata,Streaked Wren-Babbler,22716075,Streaked Wren-babbler,"Napothera brevicaudata, Turdinus brevicaudatus"
Gypsophila calcicola,,103869689,Rufous Limestone-babbler,Turdinus calcicola
Gypsophila crassa,Mountain Wren-Babbler,22716079,Mountain Wren-babbler,"Napothera crassa, Turdinus crassus, Corythocichla crassa"
Gypsophila crispifrons,,103869618,Greyish Limestone-babbler,Turdinus crispifrons
Gypsophila rufipecta,Rusty-breasted Wren-Babbler,22716040,Rusty-breasted Wren-babbler,"Napothera rufipectus, Turdinus rufipectus"
Habia atrimaxillaris,"Black-cheeked Ant Tanager, Black-cheeked Ant-Tanager",22722430,Black-cheeked Ant-tanager,
Habia carmioli,,103811314,Carmiol's Tanager,
Habia cristata,"Crested Ant Tanager, Crested Ant-Tanager",22722437,Crested Ant-tanager,
Habia frenata,,103811345,Yellow-lored Tanager,
Habia fuscicauda,"Red-throated Ant Tanager, Red-throated Ant-Tanager",22722416,Red-throated Ant-tanager,
Habia gutturalis,"Sooty Ant Tanager, Sooty Ant-Tanager",22722423,Sooty Ant-tanager,
Habia olivacea,,22722330,Lemon-spectacled Tanager,Chlorothraupis olivacea
Habia rubica,"Red-crowned Ant Tanager, Red-crowned Ant-Tanager",22722409,Red-crowned Ant-tanager,
Habia stolzmanni,,22722335,Ochre-breasted Tanager,Chlorothraupis stolzmanni
Habroptila wallacii,Wallace's Rail,22692781,Drummer Rail,
Haematoderus militaris,,22700919,Crimson Fruitcrow,Haemotoderus militaris
Haematopus ater,,62015238,Blackish Oystercatcher,Haematopus bachmani
Haematopus chathamensis,"Chatham Island Pied Oystercatcher, Chatham Oystercatcher",22693656,Chatham Islands Oystercatcher,
Haematopus finschi,South Island Pied Oystercatcher,22693632,South Island Oystercatcher,
Haematopus fuliginosus,,22693663,Sooty Oystercatcher,
Haematopus leucopodus,,22693669,Magellanic Oystercatcher,
Haematopus longirostris,Australian Pied Oystercatcher,22693647,Pied Oystercatcher,
Haematopus meadewaldoi,Canarian Black Oystercatcher,22693621,Canarian Oystercatcher,
Haematopus moquini,African Black Oystercatcher,22693627,African Oystercatcher,
Haematopus ostralegus,"European Oystercatcher, Oystercatcher",22693613,Eurasian Oystercatcher,
Haematopus palliatus,,22693644,American Oystercatcher,
Haematopus unicolor,,22693651,Variable Oystercatcher,
Haematortyx sanguiniceps,,22679103,Crimson-headed Partridge,
Haemorhous cassinii,,22720560,Cassin's Finch,Carpodacus cassinii
Haemorhous mexicanus,,22720563,House Finch,Carpodacus mexicanus
Haemorhous purpureus,,22720553,Purple Finch,Carpodacus purpureus
Hafferia fortis,,22701841,Sooty Antbird,Myrmeciza fortis
Hafferia immaculata,,103660125,Blue-lored Antbird,
Hafferia zeledoni,,103660162,Zeledon's Antbird,
Halcyon albiventris,Brown-headed Kingfisher,22683273,Brown-hooded Kingfisher,
Halcyon badia,,22683237,Chocolate-backed Kingfisher,
Halcyon chelicuti,,22683278,Striped Kingfisher,
Halcyon coromanda,,22683234,Ruddy Kingfisher,
Halcyon cyanoventris,,22683252,Javan Kingfisher,
Halcyon gularis,,22725856,White-throated Kingfisher,
Halcyon leucocephala,Chestnut-bellied Kingfisher,22683255,Grey-headed Kingfisher,
Halcyon malimbica,,22683269,Blue-breasted Kingfisher,
Halcyon pileata,,22683249,Black-capped Kingfisher,
Halcyon senegalensis,Senegal Kingfisher,22683260,Woodland Kingfisher,
Halcyon senegaloides,,22683265,Mangrove Kingfisher,
Halcyon smyrnensis,White-throated Kingfisher,22725846,White-breasted Kingfisher,
Haliaeetus albicilla,Grey Sea Eagle,22695137,White-tailed Sea-eagle,
Haliaeetus leucocephalus,,22695144,Bald Eagle,
Haliaeetus leucogaster,"White-bellied Fish-Eagle, White-bellied Sea Eagle, White-bellied Sea-Eagle",22695097,White-bellied Sea-eagle,
Haliaeetus leucoryphus,"Band-tailed Fish-eagle, Pallas's Fish Eagle, Pallas's Sea-Eagle",22695130,Pallas's Fish-eagle,
Haliaeetus pelagicus,"Steller's Sea Eagle, Steller's Sea-Eagle",22695147,Steller's Sea-eagle,
Haliaeetus sanfordi,"Forest Fish Eagle, Sanford's Fish-Eagle, Solomon Fish-eagle",22695105,Sanford's Sea-eagle,
Haliaeetus vocifer,"African Fish Eagle, African Fish-Eagle",22695115,African Fish-eagle,
Haliaeetus vociferoides,"Madagascar Fish Eagle, Madagascar Fish-Eagle",22695121,Madagascar Fish-eagle,
Haliastur indus,,22695094,Brahminy Kite,
Haliastur sphenurus,,22695091,Whistling Kite,
Halobaena caerulea,,22698102,Blue Petrel,
Hamirostra melanosternon,,22695014,Black-breasted Buzzard,
Hapalopsittaca amazonina,,22686158,Rusty-faced Parrot,
Hapalopsittaca fuertesi,Fuertes's Parrot,22686163,Indigo-winged Parrot,Pionopsitta fuertesi
Hapalopsittaca melanotis,,22686155,Black-winged Parrot,
Hapalopsittaca pyrrhops,,22686168,Red-faced Parrot,
Hapaloptila castanea,,22682322,White-faced Nunbird,
Haplophaedia assimilis,,22733901,Buff-thighed Puffleg,
Haplophaedia aureliae,,22733896,Greenish Puffleg,
Haplophaedia lugens,,22687957,Hoary Puffleg,
Haplospiza unicolor,,22723125,Uniform Finch,
Harpactes ardens,,22682839,Philippine Trogon,
Harpactes diardii,,22682836,Diard's Trogon,
Harpactes duvaucelii,,22682848,Scarlet-rumped Trogon,
Harpactes erythrocephalus,,22682854,Red-headed Trogon,
Harpactes fasciatus,,22682830,Malabar Trogon,
Harpactes kasumba,,22682833,Red-naped Trogon,
Harpactes oreskios,,22682851,Orange-breasted Trogon,
Harpactes orrhophaeus,,22682845,Cinnamon-rumped Trogon,
Harpactes wardi,,22682857,Ward's Trogon,
Harpactes whiteheadi,,22682842,Whitehead's Trogon,
Harpagus bidentatus,,22695060,Double-toothed Kite,
Harpagus diodon,,22695063,Rufous-thighed Kite,
Harpia harpyja,American Harpy Eagle,22695998,Harpy Eagle,
Harpyopsis novaeguineae,Papuan Eagle,22696007,Papuan Eagle,
Hartertula flavoviridis,Wedge-tailed Jery,22716161,Wedge-tailed Tetraka,"Hartertula flavoviridis, Neomixis flavoviridis"
Hartlaubius auratus,,22710825,Madagascar Starling,Saroglossa aurata
Hedydipna collaris,,22717668,Collared Sunbird,Anthreptes collaris
Hedydipna metallica,,22717676,Nile Valley Sunbird,Anthreptes metallicus
Hedydipna pallidigaster,,22717653,Amani Sunbird,Anthreptes pallidigaster
Hedydipna platura,,22717672,Pygmy Sunbird,Anthreptes platurus
Heinrichia calligyna,,103866279,Great Shortwing,
Heinrichia simplex,,103866352,Minahasa Shortwing,
Heleia crassirostris,Thick-billed Heleia,22714323,Thick-billed White-eye,
Heleia dohertyi,Crested Ibon,22714315,Crested White-eye,Lophozosterops dohertyi
Heleia goodfellowi,"Black-masked White-eye, Mindanao Ibon",22714303,Mindanao White-eye,Lophozosterops goodfellowi
Heleia javanica,Grey-throated Ibon,22714295,Javan Grey-throated White-eye,Lophozosterops javanicus
Heleia muelleri,"Spot-breasted Heleia, Timor White-eye",22714327,Spot-breasted White-eye,
Heleia pinaiae,Grey-hooded Ibon,22714311,Grey-hooded White-eye,Lophozosterops pinaiae
Heleia squamiceps,"Streak-headed Ibon, Streaky-headed White-eye",22714299,Streak-headed White-eye,Lophozosterops squamiceps
Heleia squamifrons,Pygmy Ibon,22714319,Pygmy White-eye,Oculocincta squamifrons
Heleia superciliaris,"Cream-browed Ibon, White-browed White-eye, Yellow-browed White-eye",22714307,Cream-browed White-eye,Lophozosterops superciliaris
Heleia wallacei,Yellow-ringed White-eye,22714115,Yellow-spectacled White-eye,Zosterops wallacei
Heliactin bilophus,,22688119,Horned Sungem,"Heliactin bilophum bilophum, Heliactin cornuta cornuta"
Heliangelus amethysticollis,,60859997,Amethyst-throated Sunangel,
Heliangelus clarisse,,60859989,Longuemare's Sunangel,
Heliangelus exortis,,22687893,Tourmaline Sunangel,
Heliangelus mavors,,22687877,Orange-throated Sunangel,
Heliangelus micraster,Flame-throated Sunangel,22729181,Little Sunangel,Heliangelus micrastur
Heliangelus regalis,,22687901,Royal Sunangel,
Heliangelus spencei,Mérida Sunangel,60860042,Merida Sunangel ,
Heliangelus strophianus,,22687890,Gorgeted Sunangel,
Heliangelus viola,,22687898,Purple-throated Sunangel,
Helicolestes hamatus,,22695051,Slender-billed Kite,Rostrhamus hamatus
Heliobletus contaminatus,,22702981,Sharp-billed Treehunter,
Heliodoxa aurescens,,22687731,Gould's Brilliant,Polyplancta aurescens aurescens
Heliodoxa branickii,,22687725,Rufous-webbed Brilliant,
Heliodoxa gularis,,22687721,Pink-throated Brilliant,
Heliodoxa imperatrix,,22687715,Empress Brilliant,
Heliodoxa jacula,,22687740,Green-crowned Brilliant,
Heliodoxa leadbeateri,,22687743,Violet-fronted Brilliant,
Heliodoxa rubinoides,,22687737,Fawn-breasted Brilliant,
Heliodoxa schreibersii,,45450140,Black-throated Brilliant,
Heliodoxa whitelyana,,45450143,Black-breasted Brilliant,
Heliodoxa xanthogonys,,22687718,Velvet-browed Brilliant,
Heliomaster constantii,,22688135,Plain-capped Starthroat,
Heliomaster furcifer,,22688144,Blue-tufted Starthroat,
Heliomaster longirostris,,22688138,Long-billed Starthroat,
Heliomaster squamosus,,22688141,Stripe-breasted Starthroat,
Heliopais personatus,Asian Finfoot,22692181,Masked Finfoot,Heliopais personata
Heliornis fulica,,22692192,Sungrebe,
Heliothraupis oneilli,Kill Bill Tanager,216557638,Inti Tanager,
Heliothryx auritus,,22688111,Black-eared Fairy,Heliothryx aurita
Heliothryx barroti,,22688108,Purple-crowned Fairy,
Hellmayrea gularis,,22702405,White-browed Spinetail,
Helmitheros vermivorum,,22721768,Worm-eating Warbler,Helmitheros vermivorus
Helopsaltes amnicola,,22734059,Sakhalin Grasshopper-warbler,Locustella amnicola
Helopsaltes certhiola,"Pallas's Grasshopper Warbler, Pallas's Grasshopper-Warbler",22714664,Pallas's Grasshopper-warbler,Locustella certhiola
Helopsaltes fasciolatus,,103783163,Gray's Grasshopper-warbler,Locustella fasciolata
Helopsaltes ochotensis,"Middendorff's Grasshopper Warbler, Middendorff's Grasshopper-Warbler",22714669,Middendorff's Grasshopper-warbler,Locustella ochotensis
Helopsaltes pleskei,"Pleske's Grasshopper-Warbler, Styan's Grasshopper Warbler",22714674,Pleske's Grasshopper-warbler,Locustella pleskei
Helopsaltes pryeri,Japanese Marsh Warbler,22715480,Marsh Grassbird,"Megalurus pryeri, Locustella pryeri"
Hemicircus canente,,22681572,Heart-spotted Woodpecker,
Hemicircus concretus,Grey-and-buff Woodpecker,22727212,Red-crested Woodpecker,
Hemicircus sordidus,,22727220,Grey-and-buff Woodpecker,
Hemignathus affinis,,103823664,Maui Nukupuu,
Hemignathus hanapepe,,103823616,Kauai Nukupuu,
Hemignathus lucidus,,103823595,Oahu Nukupuu,
Hemignathus wilsoni,'Akiapola'au,22720799,Akiapolaau,"Hemignathus wilsoni, Hemignathus munroi"
Hemimacronyx chloris,,22718444,Yellow-breasted Pipit,"Hemimacronyx chloris, Anthus chloris"
Hemiphaga chathamensis,Chatham Pigeon,22732918,Chatham Islands Pigeon,
Hemiphaga novaeseelandiae,,22727557,New Zealand Pigeon,
Hemiprocne comata,,22686900,Whiskered Treeswift,
Hemiprocne coronata,,22686891,Crested Treeswift,
Hemiprocne longipennis,,22686894,Grey-rumped Treeswift,
Hemiprocne mystacea,,22686897,Moustached Treeswift,
Hemipus hirundinaceus,,22706772,Black-winged Flycatcher-shrike,
Hemipus picatus,,22706769,Bar-winged Flycatcher-shrike,
Hemitesia neumanni,Neumann's Short-tailed Warbler,22715145,Neumann's Warbler,
Hemitesia pallidipes,"Pale-footed Bush Warbler, Pale-footed Bush-Warbler",22714371,Pale-footed Bush-warbler,Cettia pallidipes
Hemithraupis flavicollis,,22722278,Yellow-backed Tanager,
Hemithraupis guira,,22722272,Guira Tanager,
Hemithraupis ruficapilla,,22722275,Rufous-headed Tanager,
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-Tyrant,22698949,Cinnamon-breasted Tody-tyrant,
Hemitriccus cohnhafti,,103680575,Acre Tody-tyrant,
Hemitriccus diops,"Drab-breasted Bamboo Tyrant, Drab-breasted Bamboo-Tyrant, Drab-breasted Pygmy-Tyrant",22698876,Drab-breasted Bamboo-tyrant,
Hemitriccus flammulatus,"Flammulated Bamboo Tyrant, Flammulated Bamboo-Tyrant, Flammulated Pygmy-Tyrant",22698870,Flammulated Bamboo-tyrant,
Hemitriccus furcatus,"Fork-tailed Pygmy-tyrant, Fork-tailed Pygmy-Tyrant",22698964,Fork-tailed Tody-tyrant,Ceratotriccus furcatus furcatus
Hemitriccus granadensis,Black-throated Tody-Tyrant,22698941,Black-throated Tody-tyrant,
Hemitriccus griseipectus,"White-bellied Tody-Tyrant, White-bellied Tody-Tyrant ",22733103,White-bellied Tody-tyrant,
Hemitriccus inornatus,Pelzeln's Tody-Tyrant,22698937,Pelzeln's Tody-tyrant,
Hemitriccus iohannis,"Johannes's Tody-tyrant, Johannes's Tody-Tyrant",22698914,Joao's Tody-tyrant,
Hemitriccus josephinae,Boat-billed Tody-Tyrant,22698863,Boat-billed Tody-tyrant,Microcochlearius josephinae josephinae
Hemitriccus kaempferi,Kaempfer's Tody-Tyrant,22698957,Kaempfer's Tody-tyrant,Idioptilon kaempferi
Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,22698933,Pearly-vented Tody-tyrant,
Hemitriccus minimus,"Dwarf Tody-Tyrant, Zimmer's Tody-Tyrant",22698893,Zimmer's Tody-tyrant,"Idioptilon aenigma, Hemitriccus aenigma"
Hemitriccus minor,Snethlage's Tody-Tyrant,22698859,Snethlage's Tody-tyrant,
Hemitriccus mirandae,Buff-breasted Tody-Tyrant,22698953,Buff-breasted Tody-tyrant,
Hemitriccus nidipendulus,Hangnest Tody-Tyrant,22698922,Hangnest Tody-tyrant,Idioptilon nidipendulum nidipendulum
Hemitriccus obsoletus,"Brown-breasted Bamboo Tyrant, Brown-breasted Bamboo-Tyrant, Brown-breasted Pygmy-Tyrant",22698882,Brown-breasted Bamboo-tyrant,
Hemitriccus orbitatus,Eye-ringed Tody-Tyrant,22698907,Eye-ringed Tody-tyrant,Idioptilon orbitatum orbitatum
Hemitriccus rufigularis,Buff-throated Tody-Tyrant,22698945,Buff-throated Tody-tyrant,
Hemitriccus spodiops,Yungas Tody-Tyrant,22698929,Yungas Tody-tyrant,
Hemitriccus striaticollis,Stripe-necked Tody-Tyrant,22698918,Stripe-necked Tody-tyrant,
Hemitriccus zosterops,White-eyed Tody-Tyrant,22733826,White-eyed Tody-tyrant,
Hemixos castanonotus,,22713204,Chestnut Bulbul,
Hemixos cinereus,,103822693,Cinereous Bulbul,
Hemixos connectens,,103822666,Green-winged Bulbul,
Hemixos flavala,,103822632,Ashy Bulbul,
Hemixos leucogrammicus,,22712610,Cream-striped Bulbul,Pycnonotus leucogrammicus
Henicopernis infuscatus,"Black Honey Buzzard, New Britain Honey-buzzard",22694980,Black Honey-buzzard,Henicopernis infuscata
Henicopernis longicauda,Long-tailed Honey Buzzard,22694976,Long-tailed Honey-buzzard,
Henicophaps albifrons,,22690661,New Guinea Bronzewing,
Henicophaps foersteri,,22690664,New Britain Bronzewing,
Henicorhina anachoreta,,103889855,Hermit Wood-wren,
Henicorhina leucophrys,,103889800,Grey-breasted Wood-wren,
Henicorhina leucoptera,"Bar-winged Wood Wren, Bar-winged Wood-Wren",22711532,Bar-winged Wood-wren,
Henicorhina leucosticta,"White-breasted Wood Wren, White-breasted Wood-Wren",22711521,White-breasted Wood-wren,
Henicorhina negreti,"Munchique Wood Wren, Munchique Wood-Wren",22733110,Munchique Wood-wren,
Herpetotheres cachinnans,,22696267,Laughing Falcon,
Herpsilochmus atricapillus,,22701555,Black-capped Antwren,
Herpsilochmus axillaris,,22701583,Yellow-breasted Antwren,
Herpsilochmus dorsimaculatus,,22701571,Spot-backed Antwren,
Herpsilochmus dugandi,,22729224,Dugand's Antwren,
Herpsilochmus gentryi,,22724610,Ancient Antwren,
Herpsilochmus longirostris,,22701580,Large-billed Antwren,
Herpsilochmus motacilloides,,22701552,Creamy-bellied Antwren,
Herpsilochmus parkeri,,22701549,Ash-throated Antwren,
Herpsilochmus pectoralis,,22701577,Pectoral Antwren,
Herpsilochmus pileatus,Pileated Antwren,22729474,Bahia Antwren,
Herpsilochmus praedictus,,103657630,Predicted Antwren,
Herpsilochmus roraimae,,22701574,Roraiman Antwren,
Herpsilochmus rufimarginatus,,103657703,Southern Rufous-winged Antwren,
Herpsilochmus scapularis,,103657707,Northern Rufous-winged Antwren,
Herpsilochmus sellowi,,22701558,Caatinga Antwren,
Herpsilochmus stictocephalus,,22701568,Todd's Antwren,
Herpsilochmus sticturus,,22701563,Spot-tailed Antwren,
Herpsilochmus stotzi,,103657677,Aripuana Antwren,
Hesperiphona abeillei,,22720712,Hooded Grosbeak,"Hesperiphona abeillei abeillei, Coccothraustes abeillei"
Hesperiphona vespertina,,22720702,Evening Grosbeak,"Hesperiphona vespertina, Hesperiphona vespertina vespertina, Coccothraustes vespertinus"
Heteralocha acutirostris,,22708091,Huia,
Heterocercus aurantiivertex,Orange-crowned Manakin,22701165,Orange-crested Manakin,
Heterocercus flavivertex,Yellow-crowned Manakin,22701161,Yellow-crested Manakin,
Heterocercus linteatus,Flame-crowned Manakin,22701169,Flame-crested Manakin,
Heteromirafra archeri,"Archer's Lark, Sidamo Lark",84543703,Liben Lark,Heteromirafra sidamoensis
Heteromirafra ruddi,,22717153,Rudd's Lark,
Heteromunia pectoralis,Pictorella Munia,22719908,Pictorella Mannikin,
Heteromyias albispecularis,,103753407,Ashy Robin,
Heteromyias armiti,,103753484,Black-capped Robin,
Heteromyias cinereifrons,,103753555,Grey-headed Robin,
Heteronetta atricapilla,,22679833,Black-headed Duck,
Heterophasia auricularis,,22716711,White-eared Sibia,
Heterophasia capistrata,,22716699,Rufous Sibia,
Heterophasia desgodinsi,,22734613,Black-headed Sibia,
Heterophasia gracilis,,22716702,Grey Sibia,
Heterophasia melanoleuca,,22735192,Dark-backed Sibia,
Heterophasia picaoides,,22716717,Long-tailed Sibia,
Heterophasia pulchella,,22716714,Beautiful Sibia,
Heteroscenes pallidus,Palid Cuckoo,22683898,Pallid Cuckoo,"Cacomantis pallidus, Cuculus pallidus"
Heterospingus rubrifrons,,22722374,Sulphur-rumped Tanager,
Heterospingus xanthopygius,,22722377,Scarlet-browed Tanager,
