scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Aegithalos annamensis,103870959,Grey-crowned Tit,Grey-crowned Bushtit,
Aegithalos bonvaloti,22736055,Black-browed Tit,"Black-browed Bushtit, Pere Bonvalot's Tit, Père Bonvalot's Tit",
Aegithalos caudatus,103871923,Long-tailed Tit,Long-tailed Bushtit,
Aegithalos concinnus,103870880,Black-throated Tit,Black-throated Bushtit,
Aegithalos fuliginosus,22712024,Sooty Tit,"Sooty Bushtit, White-necklaced Tit",
Aegithalos glaucogularis,103871974,Silver-throated Tit,Silver-throated Bushtit,
Aegithalos iouschistos,103871775,Rufous-fronted Tit,Rufous-fronted Bushtit,
Aegithalos iredalei,103871108,Red-headed Tit,Red-headed Bushtit,
Aegithalos leucogenys,22712008,White-cheeked Tit,White-cheeked Bushtit,
Aegithalos niveogularis,22712016,White-throated Tit,White-throated Bushtit,
Aegithina lafresnayei,22707443,Great Iora,,
Aegithina nigrolutea,22707436,Marshall's Iora,White-tailed Iora,
Aegithina tiphia,22707433,Common Iora,,
Aegithina viridissima,22707440,Green Iora,,
Aegolius acadicus,22689366,Northern Saw-whet Owl,,
Aegolius funereus,22689362,Boreal Owl,Tengmalm's Owl,
Aegolius gradyi,62184893,Bermuda Saw-whet Owl,,
Aegolius harrisii,22689378,Buff-fronted Owl,,
Aegolius ridgwayi,22689371,Unspotted Saw-whet Owl,,
Aegotheles affinis,60814512,Allied Owlet-nightjar,,
Aegotheles albertisi,22689576,Mountain Owlet-nightjar,Mountain Owlet-Nightjar,
Aegotheles archboldi,22689572,Archbold's Owlet-nightjar,Archbold's Owlet-Nightjar,
Aegotheles bennettii,60814475,Barred Owlet-nightjar,,
Aegotheles crinifrons,22689546,Moluccan Owlet-nightjar,Long-whiskered Owlet-Nightjar,
Aegotheles cristatus,22689555,Australian Owlet-nightjar,Australian Owlet-Nightjar,
Aegotheles insignis,22689550,Feline Owlet-nightjar,,
Aegotheles savesi,22689559,New Caledonian Owlet-nightjar,"Enigmatic Owlet-Nightjar, New Caledonian Owlet-Nightjar",
Aegotheles tatei,22728459,Spangled Owlet-nightjar,,
Aegotheles wallacii,22689568,Wallace's Owlet-nightjar,Wallace's Owlet-Nightjar,
Aegypius monachus,22695231,Cinereous Vulture,"Black Vulture, Eurasian Black Vulture",
Aepypodius arfakianus,22678555,Wattled Brush-turkey,Wattled Brushturkey,
Aepypodius bruijnii,22678559,Waigeo Brush-turkey,Waigeo Brushturkey,
Aerodramus bartschi,22728583,Mariana Swiftlet,,"Aerodramus bartschi, Collocalia bartschi"
Aerodramus brevirostris,60824542,Himalayan Swiftlet,,Collocalia rogersi
Aerodramus elaphrus,22686507,Seychelles Swiftlet,,Collocalia elaphra
Aerodramus francicus,22686511,Mascarene Swiftlet,Mauritius Swiftlet,Collocalia francica
Aerodramus fuciphagus,60847684,Edible-nest Swiftlet,,Collocalia germani
Aerodramus hirundinaceus,22686525,Mountain Swiftlet,,Collocalia hirundinacea
Aerodramus infuscatus,22686522,Moluccan Swiftlet,,Collocalia infuscata
