scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Megadyptes antipodes,22697800,Yellow-eyed Penguin,,
Megalampitta gigantea,22706088,Greater Melampitta,,Melampitta gigantea
Megaloprepia formosa,22691362,Scarlet-breasted Fruit-dove,"Scarlet-breasted Fruit Dove, Scarlet-breasted Fruit-Dove",Ptilinopus bernsteinii
Megaloprepia magnifica,22691367,Wompoo Fruit-dove,"Wompoo Fruit Dove, Wompoo Fruit-Dove",Ptilinopus magnificus
Megalurus palustris,22715494,Striated Grassbird,,
Megapodius bernsteinii,22678593,Sula Scrubfowl,,
Megapodius cumingii,22678588,Philippine Scrubfowl,"Philippine Megapode, Tabon Scrubfowl",
Megapodius decollatus,22678607,New Guinea Scrubfowl,,Megapodius affinis
Megapodius eremita,22678611,Melanesian Scrubfowl,,
Megapodius freycinet,22678602,Dusky Scrubfowl,,
Megapodius geelvinkianus,22728514,Biak Scrubfowl,,
Megapodius laperouse,22678620,Micronesian Scrubfowl,"Mariana Megapode, Marianas Scrubfowl, Megapode Scrubfowl, Micronesian Megapode, Palau Scriubfowl",
Megapodius layardi,22678615,Vanuatu Scrubfowl,New Hebrides Scrubfowl,
Megapodius nicobariensis,22678583,Nicobar Scrubfowl,,
Megapodius pritchardii,22678625,Tongan Scrubfowl,"Nevafou Megapode, Niaufoou Scrubfowl, Polynesian Scrubfowl, Tongan Megapode",
Megapodius reinwardt,22734302,Orange-footed Scrubfowl,Scrubfowl,
Megapodius tenimberensis,22732420,Tanimbar Scrubfowl,,
Megarynchus pitangua,22700533,Boat-billed Flycatcher,,
Megascops albogularis,22688903,White-throated Screech-owl,"White-throated Screech Owl, White-throated Screech-Owl",Otus albogularis
Megascops asio,155660662,Eastern Screech-owl,"Autillo yanqui, Eastern Screech Owl, Eastern Screech-Owl",
Megascops atricapilla,22731897,Black-capped Screech-owl,"Black-capped Screech Owl, Black-capped Screech-Owl","Otus atricapillus atricapillus, Otus atricapilla"
Megascops barbarus,22688807,Bearded Screech-owl,"Bearded Screech Owl, Bearded Screech-Owl, Santa Barbara Screech-Owl",Otus barbarus
Megascops choliba,22688774,Tropical Screech-owl,"Tropical Screech Owl, Tropical Screech-Owl",Otus choliba
Megascops clarkii,22688799,Bare-shanked Screech-owl,"Bare-shanked Screech Owl, Bare-shanked Screech-Owl",Otus clarkii
Megascops colombianus,22688829,Colombian Screech-owl,Colombian Screech-Owl,Otus colombianus
Megascops cooperi,155658784,Pacific Screech-owl,"Pacific Screech Owl, Pacific Screech-Owl",Otus cooperi
Megascops gilesi,155254743,Santa Marta Screech-owl,,
Megascops guatemalae,61767847,Guatemalan Screech-owl,,
Megascops hoyi,22733712,Yungas Screech-owl,"Montane Forest Screech-Owl, Yungas Screech Owl",
Megascops ingens,22688820,Rufescent Screech-owl,"Rufescent Screech Owl, Rufescent Screech-Owl",Otus ingens
Megascops kennicottii,22688747,Western Screech-owl,"Western Screech Owl, Western Screech-Owl","Otus kennicottii, Otus kennicotti kennicotti"
Megascops koepckeae,22688782,Koepcke's Screech-owl,"Koepcke's Screech Owl, Koepcke's Screech-Owl",Otus koepckeae
Megascops marshalli,22688847,Cloudforest Screech-owl,"Cloud-forest Screech Owl, Cloud-forest Screech-Owl",Otus marshalli
Megascops nudipes,22688891,Puerto Rican Screech-owl,"Puerto Rican Screech Owl, Puerto Rican Screech-Owl",Otus nudipes
Megascops petersoni,22688840,Cinnamon Screech-owl,"Cinnamon Screech Owl, Cinnamon Screech-Owl",Otus petersoni
Megascops roboratus,22688790,Peruvian Screech-owl,"Peruvian Screech-Owl, West Peruvian Screech Owl, West Peruvian Screech-Owl",Otus roboratus
Megascops sanctaecatarinae,22688874,Long-tufted Screech-owl,"Long-tufted Screech Owl, Long-tufted Screech-Owl",Otus sanctaecatarinae
Megascops seductus,22724664,Balsas Screech-owl,"Balsas Screech Owl, Balsas Screech-Owl","Otus seductus, Otus vinaceus"
Megascops trichopsis,22688766,Whiskered Screech-owl,"Whiskered Screech Owl, Whiskered Screech-Owl",Otus trichopsis
Megascops vermiculatus,61769583,Vermiculated Screech-owl,,
Megascops watsonii,22688856,Tawny-bellied Screech-owl,"Tawny-bellied Screech Owl, Tawny-bellied Screech-Owl",Otus watsonii
Megastictus margaritatus,22701352,Pearly Antshrike,,
Megatriorchis doriae,22695706,Doria's Goshawk,,
Megaxenops parnaguae,22703001,Great Xenops,,
Megazosterops palauensis,22714341,Giant White-eye,,
Meiglyptes grammithorax,22727206,Buff-rumped Woodpecker,,Phaiopicus grammithorax
Meiglyptes jugularis,22681559,Black-and-buff Woodpecker,,
Meiglyptes tristis,22727198,White-rumped Woodpecker,Buff-rumped Woodpecker,
Meiglyptes tukki,22681562,Buff-necked Woodpecker,,
Melaenornis annamarulae,22709095,Nimba Flycatcher,"Liberian Black-flycatcher, West African Black-Flycatcher",
Melaenornis ardesiacus,22709090,Yellow-eyed Black-flycatcher,"Yellow-eyed Black Flycatcher, Yellow-eyed Black-Flycatcher",
Melaenornis brunneus,22709073,Angola Slaty-flycatcher,"Angola Slaty Flycatcher, Angola Slaty-Flycatcher",Dioptrornis brunneus
Melaenornis chocolatinus,22709061,Abyssinian Slaty-flycatcher,"Abyssinian Slaty Flycatcher, Abyssinian Slaty-Flycatcher",Dioptrornis chocolatinus
Melaenornis edolioides,22709079,Northern Black-flycatcher,"Northern Black Flycatcher, Northern Black-Flycatcher, Western Black Flycatcher",
Melaenornis fischeri,22709067,White-eyed Slaty-flycatcher,"White-eyed Slaty Flycatcher, White-eyed Slaty-Flycatcher",Dioptrornis fischeri
Melaenornis pammelaina,22709085,Southern Black-flycatcher,"Southern Black Flycatcher, Southern Black-Flycatcher",
Melampitta lugubris,22706085,Lesser Melampitta,,
Melamprosops phaeosoma,22720863,Poo-uli,"Black-faced Honeycreeper, Po'o-uli",
Melanerpes aurifrons,22680862,Golden-fronted Woodpecker,,
Melanerpes cactorum,22680831,White-fronted Woodpecker,,
Melanerpes candidus,22680798,White Woodpecker,,
Melanerpes carolinus,22680856,Red-bellied Woodpecker,,
Melanerpes chrysauchen,22733729,Golden-naped Woodpecker,,
Melanerpes chrysogenys,22680840,Golden-cheeked Woodpecker,,
Melanerpes cruentatus,22680824,Yellow-tufted Woodpecker,Tellow-tufted Woodpecker,
Melanerpes erythrocephalus,22680810,Red-headed Woodpecker,,
Melanerpes flavifrons,22680828,Yellow-fronted Woodpecker,,
Melanerpes formicivorus,22680813,Acorn Woodpecker,,
Melanerpes herminieri,22680804,Guadeloupe Woodpecker,,
Melanerpes hoffmannii,22680865,Hoffmann's Woodpecker,,
Melanerpes hypopolius,22680843,Grey-breasted Woodpecker,Gray-breasted Woodpecker,
Melanerpes lewis,22680801,Lewis's Woodpecker,,
Melanerpes portoricensis,22680807,Puerto Rican Woodpecker,,
Melanerpes pucherani,22680816,Black-cheeked Woodpecker,,
Melanerpes pulcher,22733737,Beautiful Woodpecker,,
Melanerpes pygmaeus,22680847,Yucatan Woodpecker,,
Melanerpes radiolatus,22680837,Jamaican Woodpecker,,
Melanerpes rubricapillus,22680850,Red-crowned Woodpecker,,
Melanerpes striatus,22680834,Hispaniolan Woodpecker,,
Melanerpes superciliaris,22680859,West Indian Woodpecker,,
Melanerpes uropygialis,22680853,Gila Woodpecker,,
Melaniparus afer,22711902,Grey Tit,Southern Grey Tit,Parus afer
Melaniparus albiventris,22711839,White-bellied Tit,,Parus albiventris
Melaniparus carpi,22732625,Carp's Tit,,Parus carpi
Melaniparus cinerascens,22711896,Ashy Tit,,Parus cinerascens
Melaniparus fasciiventer,22711875,Stripe-breasted Tit,,Parus fasciiventer
Melaniparus fringillinus,22711869,Red-throated Tit,,Parus fringillinus
Melaniparus funereus,22711852,Dusky Tit,,Parus funereus
Melaniparus griseiventris,22711889,Miombo Tit,Miombo Grey Tit,Parus griseiventris
Melaniparus guineensis,22711820,Pale-eyed Black Tit,White-shouldered Tit,Parus guineensis
Melaniparus leucomelas,22731092,Dark-eyed Black Tit,White-winged Tit,Parus leucomelas
Melaniparus leuconotus,22711845,White-backed Black Tit,White-backed Tit,Parus leuconotus
Melaniparus niger,103762456,Southern Black Tit,,
Melaniparus pallidiventris,22711864,Cinnamon-breasted Tit,,Parus pallidiventris
Melaniparus rufiventris,103762287,Rufous-bellied Tit,,
Melaniparus thruppi,22711881,Somali Tit,"Acacia Tit, Northern Grey Tit",Parus thruppi
Melanitta americana,22732425,Black Scoter,American Scoter,
Melanitta deglandi,22734194,White-winged Scoter,,
Melanitta fusca,22724836,Velvet Scoter,,"Melanitta fusca, Anas fusca"
Melanitta nigra,22724879,Common Scoter,Black Scoter,
Melanitta perspicillata,22680441,Surf Scoter,,
Melanitta stejnegeri,22724845,Siberian Scoter,Stejneger's Scoter,Melanitta fusca
Melanocharis arfakiana,22718134,Obscure Berrypecker,,
Melanocharis citreola,216552569,Satin Berrypecker,,
Melanocharis longicauda,22718140,Mid-mountain Berrypecker,Lemon-breasted Berrypecker,
Melanocharis nigra,22718137,Black Berrypecker,,
Melanocharis striativentris,22718146,Streaked Berrypecker,,
Melanocharis versteri,22718143,Fan-tailed Berrypecker,,
Melanochlora sultanea,22712001,Sultan Tit,,
Melanocichla calva,22715617,Bare-headed Babbler,Bare-headed Laughingthrush,"Allocotops calvus, Garrulax calvus"
Melanocichla lugubris,22715614,Black Babbler,Black Laughingthrush,"Garrulax lugubris, Timalia lugubris"
Melanocorypha bimaculata,22717288,Bimaculated Lark,,
Melanocorypha calandra,22717285,Calandra Lark,,
Melanocorypha maxima,22717292,Tibetan Lark,,
Melanocorypha mongolica,22717295,Mongolian Lark,,
Melanocorypha yeltoniensis,22717301,Black Lark,,
Melanodera melanodera,22723115,White-bridled Finch,Canary-winged Finch,
Melanodera xanthogramma,22723119,Yellow-bridled Finch,,
Melanodryas cucullata,22704837,Hooded Robin,,
Melanodryas vittata,22704840,Dusky Robin,,
Melanopareia elegans,22703457,Elegant Crescentchest,Elegant Crescent-chest,
Melanopareia maranonica,22703463,Maranon Crescentchest,"Maranon Crescent-chest, Marañon Crescent-chest, Marañón Crescent-chest",
Melanopareia maximiliani,22703453,Olive-crowned Crescentchest,Olive-crowned Crescent-chest,
Melanopareia torquata,22703449,Collared Crescentchest,Collared Crescent-chest,
Melanoperdix niger,22678934,Black Partridge,Black Wood-partridge,Melanoperdix nigra
Melanoptila glabrirostris,22711017,Black Catbird,,
Melanorectes nigrescens,22705589,Black Pitohui,,Pitohui nigrescens
Melanospiza bicolor,22723611,Black-faced Grassquit,,Tiaris bicolor
Melanospiza richardsoni,22723725,Saint Lucia Black Finch,"St Lucia Black Finch, St. Lucia Black Finch",
Melanotis caerulescens,22711020,Blue Mockingbird,,
Melanotis hypoleucus,22711023,Blue-and-white Mockingbird,,
Meleagris gallopavo,22679525,Wild Turkey,Turkey,
Meleagris ocellata,22679529,Ocellated Turkey,,Agriocharis ocellata ocellata
Meliarchus sclateri,22704292,Makira Honeyeater,San Cristobal Melidectes,Melidectes sclateri
Melichneutes robustus,22680655,Lyre-tailed Honeyguide,,
Melidectes belfordi,22704276,Belford's Honeyeater,Belford's Melidectes,
Melidectes foersteri,22704284,Huon Honeyeater,Huon Melidectes,
Melidectes leucostephes,22704272,Vogelkop Honeyeater,"Vogelkop Melidectes, White-capped Honeyeater",
Melidectes ochromelas,22704268,Cinnamon-browed Honeyeater,Cinnamon-browed Melidectes,
Melidectes rufocrissalis,22704280,Yellow-browed Honeyeater,Yellow-browed Melidectes,
Melidectes torquatus,22704288,Ornate Honeyeater,Ornate Melidectes,
Melidora macrorrhina,22683516,Hook-billed Kingfisher,,
Melierax canorus,22695438,Pale Chanting-goshawk,"Pale Chanting Goshawk, Pale Chanting-Goshawk",
Melierax metabates,22695425,Dark Chanting-goshawk,"Dark Chanting Goshawk, Dark Chanting-Goshawk",
Melierax poliopterus,22695431,Eastern Chanting-goshawk,"Eastern Chanting Goshawk, Eastern Chanting-Goshawk",
Melignomon eisentrauti,22680659,Yellow-footed Honeyguide,,
Melignomon zenkeri,22680663,Zenker's Honeyguide,,
Melilestes megarhynchus,22703934,Long-billed Honeyeater,,
Melionyx fuscus,22704252,Sooty Honeyeater,Sooty Melidectes,"Melidectes fuscus, Acanthochoera fusca"
Melionyx nouhuysi,22704260,Short-bearded Honeyeater,Short-bearded Melidectes,"Melidectes nouhuysi, Melirrhophetes nouhuysi"
Melionyx princeps,22704264,Long-bearded Honeyeater,Long-bearded Melidectes,Melidectes princeps
Meliphacator provocator,22704119,Kadavu Honeyeater,,Xanthotis provocator
Meliphaga aruensis,22703996,Puff-backed Honeyeater,,
Meliphaga lewinii,22704016,Lewin's Honeyeater,,
Meliphaga notata,22704010,Yellow-spotted Honeyeater,,
Melipotes ater,22704304,Spangled Honeyeater,,
Melipotes carolae,22735330,Foja Honeyeater,Wattled Smoky Honeyeater,
Melipotes fumigatus,103688019,Smoky Honeyeater,,
Melipotes gymnops,22704295,Arfak Honeyeater,Bare-eyed Honeyeater,
Melithreptus affinis,22704132,Black-headed Honeyeater,,
Melithreptus albogularis,22704135,White-throated Honeyeater,,
Melithreptus brevirostris,22704151,Brown-headed Honeyeater,,
Melithreptus chloropsis,103685491,Gilbert's Honeyeater,,
Melithreptus gularis,22704143,Black-chinned Honeyeater,,
Melithreptus laetior,22704138,Golden-backed Honeyeater,,
Melithreptus lunatus,103685459,White-naped Honeyeater,,
Melithreptus validirostris,22704148,Strong-billed Honeyeater,,
Melitograis gilolensis,22704170,White-streaked Friarbird,,
Mellisuga helenae,22688214,Bee Hummingbird,,Calypte helenae helenae
Mellisuga minima,22688229,Vervain Hummingbird,,
Melloria quoyi,22706285,Black Butcherbird,,Cracticus quoyi
Melocichla mentalis,22714634,Moustached Grass-warbler,"African Moustached Warbler, Moustached Grass Warbler, Moustached Grass-Warbler",
Melopsittacus undulatus,22685223,Budgerigar,,
Melopyrrha grandis,216918514,St Kitts Bullfinch,,Loxigilla portoricensis
Melopyrrha nigra,103813101,Cuban Bullfinch,,Pyrrhulagra nigra
Melopyrrha portoricensis,219527583,Puerto Rican Bullfinch,,"Pyrrhulagra portoricensis, Loxigilla portoricensis, Loxia portoricensis"
Melopyrrha taylori,103813133,Grand Cayman Bullfinch,,Pyrrhulagra taylori
Melopyrrha violacea,22723628,Greater Antillean Bullfinch,,"Loxigilla violacea, Pyrrhulagra violacea"
Melospiza georgiana,22721070,Swamp Sparrow,,Zonotrichia georgiana georgiana
Melospiza lincolnii,22721064,Lincoln's Sparrow,,Zonotrichia lincolnii lincolnii
Melospiza melodia,22721058,Song Sparrow,,Zonotrichia melodia melodia
Melozone aberti,22721315,Abert's Towhee,,Pipilo aberti
Melozone albicollis,22721339,White-throated Towhee,,Pipilo albicollis
Melozone biarcuata,103776515,Prevost's Ground-sparrow,,
Melozone cabanisi,103776650,Costa Rican Ground-sparrow,,
Melozone crissalis,22721323,California Towhee,,Pipilo crissalis
Melozone fusca,22721331,Canyon Towhee,,Pipilo fuscus
Melozone kieneri,22721347,Rusty-crowned Ground-sparrow,"Rusty-crowned Ground Sparrow, Rusty-crowned Ground-Sparrow",
Melozone leucotis,103776706,White-eared Ground-sparrow,,
Melozone occipitalis,103776727,Grey-crowned Ground-sparrow,,
Mentocrex beankaensis,22724980,Tsingy Wood-rail,,Canirallus beankaensis
Mentocrex kioloides,22692264,Madagascar Wood-rail,"Kioloides Rail, Madagascar Grey-throated Rail",Canirallus kioloides
Menura alberti,22703602,Albert's Lyrebird,,
Menura novaehollandiae,22703605,Superb Lyrebird,,
Merganetta armata,22680118,Torrent Duck,,
Mergellus albellus,22680465,Smew,,"Mergus albellus albellus, Mergus albellus"
Mergus australis,22680496,New Zealand Merganser,"Auckland Island Merganser, Auckland Merganser",
Mergus merganser,22680492,Goosander,,
Mergus octosetaceus,22680482,Brazilian Merganser,,
Mergus serrator,22680485,Red-breasted Merganser,,
Mergus squamatus,22680488,Scaly-sided Merganser,Chinese Merganser,
Meropogon forsteni,22683667,Purple-bearded Bee-eater,,
Merops albicollis,22683714,White-throated Bee-eater,,
Merops americanus,22725908,Rufous-crowned Bee-eater,,
Merops apiaster,22683756,European Bee-eater,Bee-eater,
Merops boehmi,22683728,Böhm's Bee-eater,,
Merops breweri,22683706,Black-headed Bee-eater,,
Merops bullockoides,22683684,White-fronted Bee-eater,,
Merops bulocki,22683680,Red-throated Bee-eater,,
Merops cyanophrys,22725894,Arabian Green Bee-eater,,
Merops gularis,22683670,Black Bee-eater,,
Merops hirundineus,22683702,Swallow-tailed Bee-eater,,
Merops lafresnayii,61627085,Ethiopian Bee-eater,,
Merops leschenaulti,22683761,Chestnut-headed Bee-eater,,
Merops malimbicus,22683764,Rosy Bee-eater,,
Merops mentalis,22736513,Blue-moustached Bee-eater,,
Merops muelleri,22736507,Blue-headed Bee-eater,,
Merops nubicoides,22683772,Southern Carmine Bee-eater,,
Merops nubicus,22683768,Northern Carmine Bee-eater,,
Merops oreobates,22683697,Cinnamon-chested Bee-eater,Cinnamon-breasted Bee-eater,
Merops orientalis,22725876,Asian Green Bee-eater,"Green Bee-eater, Guêpier d'Orient, Little Green Bee-eater",
Merops ornatus,22683753,Rainbow Bee-eater,,
Merops persicus,22683740,Blue-cheeked Bee-eater,,
Merops philippinus,22683750,Blue-tailed Bee-eater,,
Merops pusillus,22683688,Little Bee-eater,,
Merops revoilii,22683710,Somali Bee-eater,,
Merops superciliosus,22683744,Olive Bee-eater,Blue-cheeked Bee-eater,
Merops variegatus,61627052,Blue-breasted Bee-eater,,
Merops viridis,22725900,Blue-throated Bee-eater,,
Merops viridissimus,22725888,African Green Bee-eater,,
Merulaxis ater,22703474,Slaty Bristlefront,,
Merulaxis stresemanni,22703477,Stresemann's Bristlefront,,
Mesembrinibis cayennensis,22697460,Green Ibis,,
Mesitornis unicolor,22692966,Brown Mesite,Brown Roatelo,
Mesitornis variegatus,22692949,White-breasted Mesite,White-breasted Roatelo,Mesitornis variegata
Metabolus godeffroyi,22707333,Yap Monarch,,Monarcha godeffroyi
Metabolus rugensis,22707227,Chuuk Monarch,Truk Monarch,
Metabolus takatsukasae,22707336,Tinian Monarch,,Monarcha takatsukasae
Metallura aeneocauda,22688009,Scaled Metaltail,,
Metallura baroni,22687993,Violet-throated Metaltail,,
Metallura eupogon,22688005,Fire-throated Metaltail,Fiery-throated Metaltail,
Metallura iracunda,22688018,Perija Metaltail,Perijá Metaltail,
Metallura odomae,22687998,Neblina Metaltail,,
Metallura phoebe,22688012,Black Metaltail,,
Metallura theresiae,22688002,Coppery Metaltail,,
Metallura tyrianthina,22688015,Tyrian Metaltail,,
Metallura williami,22687990,Viridian Metaltail,,
Metopidius indicus,22693547,Bronze-winged Jacana,,
Metopothrix aurantiaca,22702679,Orange-fronted Plushcrown,,Metopothrix aurantiacus
Metriopelia aymara,22690844,Golden-spotted Ground-dove,"Golden-spotted Ground Dove, Golden-spotted Ground-Dove",
Metriopelia ceciliae,22690829,Bare-faced Ground-dove,"Bare-faced Ground Dove, Bare-faced Ground-Dove",
Metriopelia melanoptera,22690839,Black-winged Ground-dove,"Black-winged Ground Dove, Black-winged Ground-Dove",
Metriopelia morenoi,22690834,Moreno's Ground-dove,"Bare-eyed Ground-Dove, Moreno's Ground Dove",
Micrastur buckleyi,22696296,Buckley's Forest-falcon,"Buckley's Forest Falcon, Buckley's Forest-Falcon, Lesser Collared Forest-falcon, Traylor's Forest-falcon",
Micrastur gilvicollis,22696281,Lined Forest-falcon,"Lined Forest Falcon, Lined Forest-Falcon",
Micrastur mintoni,22733700,Cryptic Forest-falcon ,"Cryptic Forest Falcon, Cryptic Forest-Falcon",
Micrastur mirandollei,22696286,Slaty-backed Forest-falcon,"Slaty-backed Forest Falcon, Slaty-backed Forest-Falcon",
Micrastur plumbeus,22696275,Plumbeous Forest-falcon,"Plumbeous Forest Falcon, Plumbeous Forest-Falcon",
Micrastur ruficollis,22696270,Barred Forest-falcon,"Barred Forest Falcon, Barred Forest-Falcon",
Micrastur semitorquatus,22696291,Collared Forest-falcon,"Collared Forest Falcon, Collared Forest-Falcon",
Micrathene whitneyi,22689325,Elf Owl,,
Microbates cinereiventris,22711574,Tawny-faced Gnatwren,Half-collared Gnatwren,
Microbates collaris,22711571,Collared Gnatwren,,
Microcarbo africanus,22696725,Long-tailed Cormorant,,Phalacrocorax africanus
Microcarbo coronatus,22696730,Crowned Cormorant,,Phalacrocorax coronatus
Microcarbo melanoleucos,22696743,Little Pied Cormorant,Little Shag,"Microcarbo melanoleucos melanoleucos, Phalacrocorax melanoleucos"
Microcarbo niger,22696740,Little Cormorant,,Phalacrocorax niger
Microcarbo pygmaeus,22696734,Pygmy Cormorant,,"Phalacrocorax pygmaeus, Halietor pygmeus"
Microcerculus bambla,22711551,Wing-banded Wren,,
Microcerculus marginatus,22711542,Southern Nightingale-wren,"Scaly-breasted Wren, Southern Nightingale-Wren",
Microcerculus philomela,22711537,Northern Nightingale-wren,"Nightingale Wren, Northern Nightingale-Wren",
Microcerculus ustulatus,22711547,Flutist Wren,Fluting Wren,
Microchera albocoronata,22687649,Snowcap,,
Microchera chionura,22687643,White-tailed Emerald,,Elvira chionura
Microchera cupreiceps,22687646,Coppery-headed Emerald,,Elvira cupreiceps
Microdynamis parva,22684046,Dwarf Koel,,
Microeca fascinans,22704769,Jacky Winter,Jacky-winter,
Microeca flavigaster,103736933,Lemon-bellied Flyrobin,,
Microeca hemixantha,22704773,Tanimbar Flyrobin,Golden-bellied Flyrobin,
Microeca tormenti,22724769,Kimberley Flyrobin,,
Microgoura meeki,22691086,Choiseul Pigeon,"Kuvojo, Solomon Islands Crowned-pigeon, Solomons Crested Pigeon",
Microhierax caerulescens,22696324,Collared Falconet,,
Microhierax erythrogenys,22696336,Philippine Falconet,,
Microhierax fringillarius,22696327,Black-thighed Falconet,,
Microhierax latifrons,22696330,White-fronted Falconet,Bornean Falconet,
Microhierax melanoleucos,22696339,Pied Falconet,,Microhierax melanoleucus melanoleucus
Microligea palustris,22721864,Green-tailed Warbler,,
Micromacronus leytensis,22735027,Visayan Miniature Babbler,Visayan Miniature-babbler,
Micromacronus sordidus,22734573,Mindanao Miniature Babbler,Mindanao Miniature-babbler,
Micromonacha lanceolata,22682298,Lanceolated Monklet,,
Micronisus gabar,22695445,Gabar Goshawk,,"Micronisus gabar, Melierax gabar"
Microparra capensis,22693536,Lesser Jacana,,
Micropsitta bruijnii,22684871,Red-breasted Pygmy-parrot,"Red-breasted Pygmy-Parrot, Rose-breasted Pygmy Parrot",
Micropsitta finschii,22684866,Green Pygmy-parrot,"Emerald Pygmy Parrot, Finsch's Pygmy-Parrot",
Micropsitta geelvinkiana,22684850,Geelvink Pygmy-parrot,"Geelvink Pygmy Parrot, Geelvink Pygmy-Parrot",
Micropsitta keiensis,22684845,Yellow-capped Pygmy-parrot,"Yellow-capped Pygmy Parrot, Yellow-capped Pygmy-Parrot",
Micropsitta meeki,22684861,Yellow-breasted Pygmy-parrot,"Citrine Pygmy Parrot, Meek's Pygmy-Parrot",
Micropsitta pusio,22684856,Buff-faced Pygmy-parrot,"Buff-faced Pygmy Parrot, Buff-faced Pygmy-Parrot",
Micropternus brachyurus,22681314,Rufous Woodpecker,,Celeus brachyurus
Microptilotis albilineatus,22735776,White-lined Honeyeater,,Meliphaga albilineata
Microptilotis albonotatus,22703993,Scrub Honeyeater,,Meliphaga albonotata
Microptilotis analogus,22703999,Mimic Honeyeater,,Meliphaga analoga
Microptilotis cinereifrons,22734941,Elegant Honeyeater,,"Meliphaga cinereifrons, Meliphaga gracilis"
Microptilotis flavirictus,22704013,Yellow-gaped Honeyeater,,Meliphaga flavirictus
Microptilotis fordianus,22735687,Kimberley Honeyeater,,Meliphaga fordiana
Microptilotis gracilis,155108940,Graceful Honeyeater,,Microptilotis gracilis
Microptilotis imitatrix,155109013,Cryptic Honeyeater,"Imitator Honeyeater, Imitatress Honeyeater",Microptilotis gracilis
Microptilotis mimikae,22703987,Mottle-breasted Honeyeater,,Meliphaga mimikae
Microptilotis montanus,22703984,Forest Honeyeater,,Meliphaga montana
Microptilotis orientalis,22703990,Hill-forest Honeyeater,,Meliphaga orientalis
Microptilotis reticulatus,22704024,Streak-breasted Honeyeater,Streaky-breasted Honeyeater,Meliphaga reticulata
Microptilotis vicina,22704002,Tagula Honeyeater,"Louisiades Meliphaga, Sudest Meliphaga",Meliphaga vicina
Micropygia schomburgkii,22692282,Ocellated Crake,,
Microrhopias quixensis,22701589,Dot-winged Antwren,,
Microspingus alticola,22723224,Plain-tailed Warbling-finch,"Plain-tailed Warbling Finch, Plain-tailed Warbling-Finch",Poospiza alticola
Microspingus cabanisi,22736278,Grey-breasted Warbling-finch,"Gray-throated Warbling-Finch, Grey-throated Warbling-finch","Poospiza lateralis, Poospiza cabanisi"
Microspingus cinereus,22723301,Cinereous Warbling-finch,"Cinereous Warbling Finch, Cinereous Warbling-Finch",Poospiza cinerea
Microspingus erythrophrys,22723242,Rusty-browed Warbling-finch,"Rusty-browed Warbling Finch, Rusty-browed Warbling-Finch",Poospiza erythrophrys
Microspingus lateralis,22736273,Buff-breasted Warbling-finch,Buff-throated Warbling-finch,Poospiza lateralis
Microspingus melanoleucus,22723296,Black-capped Warbling-finch,"Black-capped Warbling Finch, Black-capped Warbling-Finch",Poospiza melanoleuca
Microspingus pectoralis,103827182,Black-breasted Warbling-finch,,
Microspingus torquatus,103827064,Ringed Warbling-finch,,
Microspingus trifasciatus,22722248,Three-striped Hemispingus,,Hemispingus trifasciatus
Microstilbon burmeisteri,22688182,Slender-tailed Woodstar,,
Microtarsus melanoleucos,22712616,Black-and-white Bulbul,,Pycnonotus melanoleucos
Microxenops milleri,22702984,Rufous-tailed Xenops,,Xenops milleri
Milvago chimachima,22696261,Yellow-headed Caracara,,
Milvus aegyptius,22734928,Yellow-billed Kite,,"Milvus migrans, Falco aegyptius"
Milvus migrans,181568721,Black Kite,,"Falco migrans, Milvus lineatus"
Milvus milvus,22695072,Red Kite,,Falco milvus
Mimus dorsalis,22711041,Brown-backed Mockingbird,,
Mimus gilvus,22711029,Tropical Mockingbird,,
Mimus graysoni,22711084,Socorro Mockingbird,Socorro Thrasher,"Mimodes graysoni, Harporhynchus graysoni"
Mimus gundlachii,22711032,Bahama Mockingbird,,
Mimus longicaudatus,22711047,Long-tailed Mockingbird,,
Mimus macdonaldi,22711070,Espanola Mockingbird,"Española Mockingbird, Hood Mockingbird",Nesomimus macdonaldi
Mimus melanotis,22711078,San Cristobal Mockingbird,,Mimus melanotis
Mimus parvulus,22711053,Galapagos Mockingbird,Galápagos Mockingbird,"Nesomimus transfasciatus transfasciatus, Nesomimus parvulus"
Mimus patagonicus,22711038,Patagonian Mockingbird,,
Mimus polyglottos,22711026,Northern Mockingbird,,
Mimus saturninus,22711035,Chalk-browed Mockingbird,,
Mimus thenca,22711050,Chilean Mockingbird,,
Mimus trifasciatus,22711063,Floreana Mockingbird,Charles Mockingbird,"Nesomimus trifasciatus, Orpheus trifasciatus"
Mimus triurus,22711044,White-banded Mockingbird,,
Minla ignotincta,22716582,Red-tailed Minla,,
Mino anais,22710952,Golden Myna,,
Mino dumontii,103878613,Yellow-faced Myna,,
Mino kreffti,103878667,Long-tailed Myna ,,
Mionectes galbinus,103680162,Olive-striped Flycatcher,,
Mionectes macconnelli,103680198,McConnell's Flycatcher,,
Mionectes oleagineus,22698796,Ochre-bellied Flycatcher,,
Mionectes olivaceus,103680120,Olive-streaked Flycatcher,,
Mionectes roraimae,103680258,Sierra de Lema Flycatcher,,
Mionectes rufiventris,22698803,Grey-hooded Flycatcher,Gray-hooded Flycatcher,
Mionectes striaticollis,22698790,Streak-necked Flycatcher,,
